Jahr;Insgesamt;männlich;weiblich
1993;1849;-;-
1994;2064;-;-
1995;2163;-;-
1996;2249;-;-
1997;2313;-;-
1998;2379;-;-
1999;2416;-;-
2000;2450;-;-
2001;2471;-;-
2002;2470;-;-
2003;2566;-;-
2004;2534;-;-
2005;2560;-;-
2006;2619;-;-
2007;2658;-;-
2008;2709;1358;1351
2009;2781;1395;1386
2010;2821;1397;1424
2011;2887;1408;1479
2012;2961;1429;1532
2013;3003;1434;1569
2014;3072;1452;1620
2015;3189;1503;1686
2016;3288;1527;1761
2017;3381;1562;1819
2018;3452;1588;1864
2019;3600;1628;1972
2020;3648;1642;2006
2021;3772;1677;2095
2022;3861;1695;2166
2023;3979;1724;2255
2024;4155;1743;2412
