Jahr;Insgesamt;darunter Allgemeinmedizin;darunter Innere Medizin;darunter Frauenheilkunde;darunter Chirugie;darunter Kinder- und Jugendmedizin
1993;647;223;67;43;29;-
1994;700;233;84;50;31;-
1995;710;241;85;54;31;-
1996;721;236;93;57;33;-
1997;757;239;102;67;32;-
1998;777;249;108;70;33;-
1999;822;252;114;73;33;-
2000;846;247;123;77;34;-
2001;843;240;132;77;32;-
2002;846;242;131;78;33;-
2003;855;234;138;78;33;-
2004;865;236;139;79;33;-
2005;872;234;141;80;30;-
2006;899;221;156;81;36;-
2007;925;227;158;85;36;-
2008;946;229;166;85;38;58
2009;980;229;179;86;42;58
2010;993;225;181;88;45;59
2011;1024;224;181;88;48;62
2012;1055;217;192;90;48;64
2013;1063;205;205;88;50;60
2014;1091;208;221;87;51;59
2015;1115;208;227;88;54;62
2016;1134;214;232;92;54;65
2017;1176;220;236;94;58;67
2018;1181;217;251;92;60;64
2019;1209;217;253;90;63;67
2020;1252;228;266;90;66;72
2021;1274;235;267;94;70;74
2022;1294;245;271;101;71;74
2023;1332;257;267;97;71;75
2024;1373;259;275;96;69;77
