Jahr;Insgesamt;männlich;weiblich;darunter in Praxen
1993;73;-;-;18
1994;73;-;-;19
1995;82;-;-;24
1996;83;-;-;29
1997;77;-;-;31
1998;80;-;-;31
1999;94;-;-;42
2000;93;-;-;45
2001;103;-;-;45
2002;112;-;-;44
2003;111;-;-;41
2004;115;-;-;47
2005;114;-;-;48
2006;112;-;-;55
2007;123;-;-;57
2008;122;50;72;57
2009;116;48;68;53
2010;129;49;80;57
2011;131;49;82;60
2012;137;50;87;63
2013;137;54;83;68
2014;145;54;91;72
2015;149;50;99;75
2016;148;47;101;71
2017;154;49;105;74
2018;161;50;111;82
2019;163;49;114;80
2020;152;47;105;80
2021;156;45;111;85
2022;160;45;115;84
2023;167;46;121;85
2024;168;44;124;91
