Jahr;Insgesamt;männlich;weiblich;Kieferorthopäden;darunter in Niederlassung
1993;543;-;-;-;448
1994;545;-;-;-;449
1995;542;-;-;-;451
1996;546;-;-;-;455
1997;542;-;-;-;444
1998;570;-;-;-;458
1999;566;-;-;-;465
2000;535;-;-;-;454
2001;547;-;-;-;460
2002;564;-;-;-;469
2003;559;-;-;-;468
2004;551;-;-;-;475
2005;548;-;-;-;476
2006;565;-;-;-;494
2007;562;-;-;-;493
2008;571;221;350;35;503
2009;578;210;368;32;504
2010;598;223;375;31;519
2011;584;219;365;31;518
2012;593;224;369;31;529
2013;596;228;368;36;526
2014;614;234;380;38;544
2015;620;236;384;42;546
2016;609;228;381;37;538
2017;621;234;387;37;550
2018;623;245;378;40;546
2019;630;239;391;40;552
2020;633;233;400;38;561
2021;635;228;407;37;561
2022;649;232;417;39;569
2023;655;243;412;41;583
2024;656;243;413;43;571
