Jahr;in öffentlichen Apotheken - männlich;in öffentlichen Apotheken - weiblich;in öffentlichen Apotheken - insgesamt;in Krankenhausapotheken - männlich;in Krankenhausapotheken - weiblich;in Krankenhausapotheken - insgesamt
2010;42;168;210;3;27;30
2011;50;167;217;3;30;33
2012;52;175;227;3;36;39
2013;53;177;230;3;35;38
2014;57;194;251;5;39;44
2015;59;208;267;7;38;45
2016;66;210;276;7;40;47
2017;64;223;287;9;48;57
2018;68;229;297;9;51;60
2019;71;239;310;9;45;54
2020;74;250;324;11;47;58
2021;72;255;327;-;-;-
2022;81;252;333;-;-;-
2023;-;-;-;-;-;-
2024;83;259;342;-;-;-
