Jahr;Quartal;Stadtbezirk mit zugeordneten Ortschaften;Insgesamt;Männer;Frauen;Deutsche;Ausländer;nach SGB II;nach SGB III;Anzahl unter 25 Jahre;Anzahl 25 bis 34 Jahre;Anzahl 35 bis 44 Jahre;Anzahl 45 bis 54 Jahre;Anzahl über 55 Jahre;ohne Berufsausbildung;mit Berufsausbildung;mit akademischer Ausbildung
2018;1. Quartal;StB 0 Altstadt;2283;1382;901;1514;768;1750;533;191;694;493;455;450;886;960;437
2018;1. Quartal;StB 1 Neustadt;1856;1146;710;1535;317;1249;607;134;645;482;329;266;580;761;513
2018;1. Quartal;StB 2 Pieschen;1925;1089;836;1738;187;1308;617;136;552;460;377;400;603;1099;223
2018;1. Quartal;StB 3 Klotzsche/nördliche Ortschaften;576;340;236;545;31;297;279;34;117;109;124;192;103;374;99
2018;1. Quartal;StB 4 Loschwitz/OS Schönfeld-Weißig;529;303;226;481;46;246;283;22;119;117;114;157;96;304;129
2018;1. Quartal;StB 5 Blasewitz;2042;1138;904;1765;275;1266;776;142;498;449;445;508;561;1088;392
2018;1. Quartal;StB 6 Leuben;1115;587;528;1035;80;758;357;86;238;238;251;302;327;675;113
2018;1. Quartal;StB 7 Prohlis;2740;1657;1083;2150;583;2189;551;260;749;585;560;586;1203;1314;223
2018;1. Quartal;StB 8 Plauen;1704;1046;658;1135;562;1223;481;179;551;351;299;324;701;665;338
2018;1. Quartal;StB 9 Cotta/westliche Ortschaften;3497;2115;1382;2911;579;2539;958;309;964;775;663;786;1277;1856;364
2018;1. Quartal;unbekannt;281;225;56;267;14;246;35;49;120;73;28;11;193;83;5
2018;2. Quartal;StB 0 Altstadt;2213;1305;908;1436;772;1742;471;200;653;481;448;431;921;891;401
2018;2. Quartal;StB 1 Neustadt;1771;1103;668;1457;309;1199;572;108;637;456;333;237;569;695;507
2018;2. Quartal;StB 2 Pieschen;1786;980;806;1615;171;1277;509;106;505;447;344;384;585;979;222
2018;2. Quartal;StB 3 Klotzsche/nördliche Ortschaften;540;305;235;507;33;268;272;28;119;111;106;176;99;338;103
2018;2. Quartal;StB 4 Loschwitz/OS Schönfeld-Weißig;495;270;225;439;56;248;247;19;98;110;121;147;91;280;124
2018;2. Quartal;StB 5 Blasewitz;1934;1046;888;1663;270;1227;707;141;476;413;429;475;539;1024;371
2018;2. Quartal;StB 6 Leuben;1036;544;492;964;72;735;301;89;229;213;232;273;308;635;93
2018;2. Quartal;StB 7 Prohlis;2587;1547;1040;1999;577;2114;473;230;716;540;549;552;1187;1198;202
2018;2. Quartal;StB 8 Plauen;1660;985;675;1052;599;1212;448;173;541;356;288;302;715;577;368
2018;2. Quartal;StB 9 Cotta/westliche Ortschaften;3265;1923;1342;2689;570;2473;792;312;877;692;620;764;1248;1664;353
2018;2. Quartal;unbekannt;247;195;52;230;17;221;26;48;106;61;26;6;173;70;4
2018;3. Quartal;StB 0 Altstadt;2189;1295;894;1361;824;1715;474;231;655;448;439;416;934;854;401
2018;3. Quartal;StB 1 Neustadt;1759;1067;692;1414;341;1148;611;147;609;467;308;228;581;705;473
2018;3. Quartal;StB 2 Pieschen;1769;953;816;1571;198;1212;557;157;484;423;326;379;576;973;220
2018;3. Quartal;StB 3 Klotzsche/nördliche Ortschaften;497;283;214;465;32;259;238;39;104;102;94;158;93;303;101
2018;3. Quartal;StB 4 Loschwitz/OS Schönfeld-Weißig;453;252;201;410;43;224;229;31;80;104;94;144;86;248;119
2018;3. Quartal;StB 5 Blasewitz;1883;1033;850;1590;291;1185;698;165;463;396;400;459;546;970;367
2018;3. Quartal;StB 6 Leuben;1020;528;492;939;81;706;314;83;223;220;221;273;304;624;92
2018;3. Quartal;StB 7 Prohlis;2544;1532;1012;1954;580;2068;476;256;675;554;532;527;1156;1189;199
2018;3. Quartal;StB 8 Plauen;1646;995;651;994;645;1197;449;213;524;341;283;285;728;572;346
2018;3. Quartal;StB 9 Cotta/westliche Ortschaften;3141;1876;1265;2547;587;2346;795;337;879;662;542;721;1209;1604;328
