Jahr;Monat;Angezeigte Kurzarbeit - geprüfte Anzeigen;Angezeigte Kurzarbeit - Beschäftigte;Realisierte Kurzarbeit - Betriebe;Realisierte Kurzarbeit - Beschäftigte in Kurzarbeit
2019;01;6;36;7;3091
2019;02;5;20;9;212
2019;03;4;55;7;206
2019;04;6;27;6;235
2019;05;5;71;5;205
2019;06;5;77;6;103
2019;07;3;41;5;58
2019;08;3;20;8;105
2019;09;7;96;8;176
2019;10;5;539;7;475
2019;11;10;115;13;640
2019;12;9;51;9;492
2020;01;7;75;13;585
2020;02;9;160;12;133
2020;03;1908;24087;2888;18267
2020;04;4313;38781;4498;35359
2020;05;355;4966;3828;31285
2020;06;132;3303;2668;24151
2020;07;91;1623;1983;18651
2020;08;76;868;1679;12878
2020;09;41;532;1433;11433
2020;10;101;1132;1303;10224
2020;11;730;8274;2095;17032
2020;12;703;6445;2706;21689
2021;01;1051;9755;3247;27757
2021;02;319;3181;3312;28280
2021;03;122;914;2833;23948
2021;04;98;715;2584;21378
2021;05;51;392;2399;19653
2021;06;38;240;1717;13466
2021;07;34;570;1051;7956
2021;08;18;46;842;4773
2021;09;16;68;731;3858
2021;10;36;465;627;3205
2021;11;284;2980;985;5718
2021;12;945;10278;1433;9263
2022;01;283;2396;1520;11079
2022;02;93;809;1271;9127
2022;03;56;633;965;6799
2022;04;28;177;484;2612
2022;05;18;295;362;1502
2022;06;12;83;296;1110
2022;07;14;136;53;225
2022;08;9;135;50;221
2022;09;18;60;48;230
2022;10;52;372;39;178
2022;11;37;243;38;153
2022;12;26;198;39;201
2023;01;40;325;39;217
2023;02;22;75;43;226
2023;03;19;105;38;210
2023;04;12;110;27;132
2023;05;14;89;23;108
2023;06;11;131;16;79
2023;07;6;88;11;99
2023;08;9;29;14;153
2023;09;8;43;12;130
2023;10;12;92;15;163
2023;11;14;80;25;225
2023;12;12;50;19;108
2024;01;15;152;25;159
2024;02;14;143;24;171
2024;03;12;156;26;179
2024;04;15;282;33;335
2024;05;14;407;29;336
2024;06;17;299;26;816
2024;07;10;45;30;524
2024;08;20;255;30;635
2024;09;19;262;34;796
2024;10;13;655;33;1293
2024;11;14;86;28;1299
2024;12;12;183;29;834
2025;01;22;256;42;1154
2025;02;21;154;42;900
2025;03;7;42;44;935
2025;04;21;322;45;902
2025;05;22;303;53;1029
2025;06;16;240;43;684
2025;07;24;236;42;670
2025;08;7;75;41;682
2025;09;17;322;37;628
2025;10;12;120;30;551
2025;11;15;274;26;618
2025;12;8;65;20;527
2026;01;13;255;-;-
2026;02;18;113;-;-
2026;03;17;156;-;-
2026;04;15;108;-;-
2026;05;10;183;-;-
