Stadtteil zus.;Stadtbezirk mit zugeordneten Ortschaften;Stadtraum;Bautätigkeit - Art;Genehmigungsjahr;Anzahl Gebäude;Wohnungen gesamt
01 Innere Altstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;1992;1;0
01 Innere Altstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;1993;1;0
01 Innere Altstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;1994;2;0
01 Innere Altstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;1996;1;0
01 Innere Altstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;1997;8;30
01 Innere Altstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;1998;8;4
01 Innere Altstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;1999;2;0
01 Innere Altstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;2000;1;0
01 Innere Altstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;2002;1;0
01 Innere Altstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;2003;1;0
01 Innere Altstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;2004;11;48
01 Innere Altstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;2005;1;0
01 Innere Altstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;2006;3;20
01 Innere Altstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;2007;11;63
01 Innere Altstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;2008;5;0
01 Innere Altstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;2009;10;53
01 Innere Altstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;2012;3;9
01 Innere Altstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;2014;7;98
