Stadtteil zus.;Stadtbezirk mit zugeordneten Ortschaften;Stadtraum;Bautätigkeit - Art;Fertigstellungsjahr;Anzahl Gebäude;Wohnungen gesamt
01 Innere Altstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;1994;1;0
01 Innere Altstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;1995;1;0
01 Innere Altstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;1998;4;16
01 Innere Altstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;1999;15;18
01 Innere Altstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;2002;3;0
01 Innere Altstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;2004;1;0
01 Innere Altstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;2005;1;0
01 Innere Altstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;2006;12;48
01 Innere Altstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;2007;1;0
01 Innere Altstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;2008;9;24
01 Innere Altstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;2009;3;5
01 Innere Altstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;2010;4;54
01 Innere Altstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;2011;4;16
01 Innere Altstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;2012;8;37
01 Innere Altstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;2013;2;9
01 Innere Altstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;2015;1;17
01 Innere Altstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;2017;6;81
01 Innere Altstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;2018;8;65
01 Innere Altstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;2019;6;117
01 Innere Altstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;2020;28;460
01 Innere Altstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;2021;1;0
01 Innere Altstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;Neubau;2022;5;53
