Jahr;Quartal;Stadtbezirk mit zugeordneten Ortschaften;Stadtraum;Insgesamt;Männer;Frauen;Deutsche;Ausländer;Anzahl unter 25 Jahre;Anzahl 25 bis 34 Jahre;Anzahl 35 bis 44 Jahre;Anzahl 45 bis 54 Jahre;Anzahl über 55 Jahre;ohne Berufsausbildung;mit Berufsausbildung;mit akademischer Ausbildung;ausschließlich geringfügig Beschäftigte
2017;3. Quartal;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;11719;6527;5192;10237;1478;1606;5002;2085;1597;1429;1420;5742;3600;1748
2017;3. Quartal;StB 0 Altstadt;02 Johannstadt;7867;3982;3885;7087;777;710;2665;1715;1520;1257;705;4110;2536;1083
2017;3. Quartal;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;16410;8693;7717;15069;1332;1087;6499;4564;2861;1399;1211;6191;7984;1777
2017;3. Quartal;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;5972;3232;2740;5631;339;506;2569;1743;766;388;488;2652;2459;719
2017;3. Quartal;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;11747;6229;5518;11210;532;994;4495;3168;1887;1203;983;6721;3282;993
2017;3. Quartal;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;13134;6648;6486;12745;389;921;3819;3388;2987;2019;805;8616;2847;967
2017;3. Quartal;StB 3 Klotzsche/nördliche Ortschaften;06 StB Klotzsche und nördliche OS;12536;6351;6185;12257;276;708;2149;3048;3795;2836;612;7561;3625;931
2017;3. Quartal;StB 4 Loschwitz/OS Schönfeld-Weißig;07 StB Loschwitz und OS Schönfeld-Weißig;12277;5929;6348;11898;374;630;2026;3227;3688;2706;559;6565;4365;1103
2017;3. Quartal;StB 5 Blasewitz;08 Blasewitz, Striesen;21130;10285;10845;20214;908;1315;6355;5490;4990;2980;1155;10190;8682;1701
2017;3. Quartal;StB 5 Blasewitz;09 Tolkewitz, Seidnitz, Gruna;15523;7651;7872;15044;479;1161;4328;3626;3754;2654;1011;10123;3393;1379
2017;3. Quartal;StB 6 Leuben;10 StB Leuben;15432;7667;7765;15132;299;1060;3415;3642;4315;3000;1006;10422;3038;1331
2017;3. Quartal;StB 7 Prohlis;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);7497;4057;3440;6934;562;801;1861;1617;1690;1528;906;5011;818;1083
2017;3. Quartal;StB 7 Prohlis;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);14120;7083;7037;13706;413;999;3291;3221;3718;2891;898;8389;3930;1364
2017;3. Quartal;StB 8 Plauen;13 Südvorstadt, Zschertnitz;10282;5736;4546;8933;1342;1148;3859;2049;1721;1505;1155;4484;3902;2149
2017;3. Quartal;StB 8 Plauen;14 Mockritz, Coschütz, Plauen;10261;5208;5053;9810;449;617;2810;2523;2338;1973;578;5057;4041;992
2017;3. Quartal;StB 9 Cotta/westliche Ortschaften;15 Cotta, Löbtau, Naußlitz, Dölzschen;20160;10497;9663;19468;687;1822;7831;4583;3373;2551;1587;11555;5836;2023
2017;3. Quartal;StB 9 Cotta/westliche Ortschaften;16 Gorbitz;7391;4114;3277;6839;549;797;2001;1443;1291;1859;926;4906;764;970
2017;3. Quartal;StB 9 Cotta/westliche Ortschaften;17 Briesnitz und westliche OS;10031;4982;5049;9894;137;559;1969;2461;2768;2274;499;6620;2322;795
2017;3. Quartal;unbekannt;00 unbekannt;345;166;179;312;33;28;89;103;84;41;31;193;93;64
2017;4. Quartal;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;11851;6608;5243;10332;1513;1672;5038;2105;1587;1449;1448;5763;3677;1755
2017;4. Quartal;StB 0 Altstadt;02 Johannstadt;7873;4003;3870;7076;795;701;2637;1750;1511;1274;693;4088;2573;1090
