Jahr;Besuche;Bibliotheksausweise;Entleihungen;Medienbestand;Gesamtausgaben in Euro
1995;1283433;92360;2867481;778549;12992943
1996;1378088;94489;3221031;758618;14646356
1997;1526367;101165;3494419;779389;15889001
1998;1786291;104941;4065339;773475;15779610
1999;1899150;109271;4547811;782052;17868634
2000;1786602;102931;4495365;751490;17286022
2001;1734783;77514;4170815;743668;18381245
2002;1695943;71810;4296994;747674;8036540
2003;1776301;70037;4688689;747612;8114717
2004;1842981;70218;5111864;716052;7865297
2005;1773249;69786;5291351;727451;8245180
2006;1748684;67705;5290411;730451;9320032
2007;1776458;66665;5364543;729334;9176983
2008;1797033;68134;5436545;732706;9960050
2009;1770478;68971;5415975;738481;11035814
2010;1727465;70124;5407206;737098;11164414
2011;1728133;72107;5498889;755675;10717986
2012;1773444;73269;5540136;751113;10340747
2013;1739751;73211;5675805;791607;10687074
2014;1637895;73168;5520413;773313;11155559
2015;1530747;73954;5546741;762391;12358228
2016;1507083;73819;5461793;742990;12039597
2017;1549802;76333;5257201;749586;14487562
2018;1690497;78575;5386224;767438;14713967
2019;1704003;80510;5416339;761019;15067365
2020;1154584;69638;4518273;761408;15007922
2021;878433;60982;4120455;769299;14059530
