Jahr;Bruttoinlandsprodukt zu Marktpreisen (in Mill. Euro);Bruttoinlandsprodukt zu Marktpreisen je Einwohner (in Euro/Person);Bruttoinlandsprodukt zu Marktpreisen je Erwerbstätigen (in Euro/Person);Bruttowertschöpfung - gesamt (in Mill. Euro);davon Land- und Forstwirtschaft, Fischerei (in Mill. Euro);davon Produzierendes Gewerbe (in Mill. Euro);darunter Verarbeitendes Gewerbe (in Mill. Euro);davon Baugewerbe (in Mill. Euro);davon Handel, Verkehr und Gastgewerbe, Information und Kommunikation (in Mill. Euro);davon Grundstücks- und Wohnungswesen, Finanz- und Unternehmensdienstleister (in Mill. Euro);davon Öffentliche und sonstige Dienstleister, Erziehung und Gesundheit (in Mill. Euro)
2000;12579;26677;45178;11312;9;2059;1662;745;2173;2935;3391
2001;13576;28770;48388;12228;10;2405;2007;667;2470;3096;3579
2002;14537;30767;51713;13099;10;2959;2538;633;2460;3338;3701
2003;15463;32594;54704;13911;9;3533;3123;728;2447;3407;3787
2004;16274;34088;57547;14684;11;4241;3796;605;2541;3375;3911
2005;15892;32929;56037;14317;9;3843;3410;552;2509;3463;3941
2006;16502;33625;56552;14861;9;3871;3417;602;2664;3593;4122
2007;17103;34455;57218;15310;11;3855;3408;668;2747;3791;4237
2008;16806;33640;55802;15038;12;3253;2816;653;2818;3865;4436
2009;16357;32468;54552;14585;9;2619;2215;678;2842;3856;4580
2010;17109;33638;56493;15317;12;2670;2244;751;3007;4159;4718
2011;17304;33629;56486;15444;15;2383;1985;762;3181;4231;4871
2012;17556;33668;56430;15674;14;2131;1691;810;3284;4344;5091
2013;18472;34990;58526;16471;13;2479;2068;802;3337;4590;5250
2014;19324;36220;60677;17238;15;2789;2440;794;3439;4643;5559
2015;20908;38713;65579;18646;13;3678;3331;813;3558;4880;5704
2016;21633;39657;66946;19311;13;3623;3263;926;3725;5066;5959
2017;22436;40858;68236;20040;15;3704;3302;931;3975;5166;6249
2018;23555;42606;70280;21051;16;3802;3408;1016;4287;5391;6539
2019;24433;43968;72096;21837;14;3770;3319;1034;4633;5499;6886
2020;23804;42775;70190;21385;12;3488;3046;1093;4280;5488;7024
2021;24727;44490;72993;22116;15;3377;2933;1112;4413;5891;7307
2022;26822;47954;77570;24169;23;4032;3392;1165;5032;6011;7906
2023;28607;50653;81721;26115;18;4657;3680;1320;5395;6277;8447
