Datum;Jahr;Monat;Tag;Laborbestätigte Fälle (Meldedatum);Laborbestätigte Fälle (kumuliert);Laborbestätigte Fälle (übermittelt);Einweisung Krankenhaus;Einweisung Krankenhaus (kumuliert);Sterbefälle;Sterbefälle (kumuliert);Genesene (geschätzt);Genesene (geschätzt, kumuliert)
2020-03-07;2020;03;07;2;2;2;0;0;0;0;0;0
2020-03-08;2020;03;08;0;2;2;0;0;0;0;0;0
2020-03-09;2020;03;09;1;3;3;0;0;0;0;0;0
2020-03-10;2020;03;10;2;5;5;0;0;0;0;0;0
2020-03-11;2020;03;11;4;9;9;0;0;0;0;0;0
2020-03-12;2020;03;12;6;15;15;0;0;0;0;0;0
2020-03-13;2020;03;13;7;22;22;0;0;0;0;0;0
2020-03-14;2020;03;14;11;33;33;0;0;0;0;0;0
2020-03-15;2020;03;15;4;37;37;0;0;0;0;0;0
2020-03-16;2020;03;16;5;42;42;0;0;0;0;0;0
2020-03-17;2020;03;17;17;59;59;1;1;0;0;0;0
2020-03-18;2020;03;18;16;75;75;2;3;0;0;0;0
2020-03-19;2020;03;19;28;103;103;1;4;0;0;0;0
2020-03-20;2020;03;20;21;124;124;1;5;0;0;0;0
2020-03-21;2020;03;21;35;159;159;0;5;0;0;2;2
2020-03-22;2020;03;22;0;159;159;1;6;0;0;0;2
2020-03-23;2020;03;23;17;176;176;3;9;1;1;0;2
2020-03-24;2020;03;24;41;217;217;4;13;1;2;1;3
2020-03-25;2020;03;25;13;230;230;3;16;0;2;4;7
2020-03-26;2020;03;26;34;264;264;3;19;0;2;6;13
2020-03-27;2020;03;27;36;300;300;7;26;0;2;7;20
2020-03-28;2020;03;28;24;324;324;1;27;1;3;11;31
2020-03-29;2020;03;29;9;333;333;2;29;0;3;4;35
2020-03-30;2020;03;30;18;351;351;6;35;1;4;4;39
2020-03-31;2020;03;31;19;370;370;1;36;0;4;16;55
2020-04-01;2020;04;01;21;391;391;2;38;0;4;13;68
2020-04-02;2020;04;02;10;401;401;1;39;0;4;27;95
2020-04-03;2020;04;03;26;427;427;7;46;0;4;20;115
2020-04-04;2020;04;04;20;447;447;2;48;1;5;34;149
2020-04-05;2020;04;05;4;451;451;1;49;0;5;-1;148
2020-04-06;2020;04;06;4;455;455;3;52;0;5;14;162
2020-04-07;2020;04;07;9;464;464;1;53;0;5;36;198
2020-04-08;2020;04;08;9;473;473;0;53;0;5;10;208
2020-04-09;2020;04;09;7;480;480;1;54;0;5;31;239
2020-04-10;2020;04;10;0;480;480;0;54;0;5;29;268
2020-04-11;2020;04;11;4;484;484;0;54;0;5;23;291
2020-04-12;2020;04;12;4;488;488;0;54;0;5;7;298
2020-04-13;2020;04;13;1;489;489;0;54;0;5;11;309
2020-04-14;2020;04;14;5;494;494;1;55;0;5;18;327
2020-04-15;2020;04;15;8;502;502;3;58;1;6;18;345
2020-04-16;2020;04;16;2;504;504;2;60;0;6;10;355
2020-04-17;2020;04;17;17;521;521;1;61;0;6;20;375
2020-04-18;2020;04;18;0;521;521;0;61;1;7;19;394
2020-04-19;2020;04;19;1;522;522;0;61;0;7;3;397
2020-04-20;2020;04;20;3;525;525;0;61;0;7;1;398
2020-04-21;2020;04;21;8;533;533;1;62;0;7;9;407
2020-04-22;2020;04;22;4;537;537;1;63;0;7;12;419
2020-04-23;2020;04;23;1;538;538;0;63;0;7;11;430
2020-04-24;2020;04;24;6;544;544;0;63;0;7;3;433
2020-04-25;2020;04;25;3;547;547;0;63;0;7;7;440
2020-04-26;2020;04;26;5;552;552;0;63;0;7;11;451
2020-04-27;2020;04;27;0;552;552;0;63;1;8;2;453
2020-04-28;2020;04;28;4;556;556;2;65;0;8;6;459
2020-04-29;2020;04;29;6;562;562;2;67;0;8;13;472
2020-04-30;2020;04;30;3;565;565;1;68;0;8;0;472
2020-05-01;2020;05;01;1;566;566;0;68;0;8;19;491
2020-05-02;2020;05;02;1;567;567;0;68;1;9;1;492
2020-05-03;2020;05;03;1;568;568;0;68;0;9;8;500
2020-05-04;2020;05;04;0;568;568;0;68;0;9;5;505
2020-05-05;2020;05;05;8;576;576;0;68;0;9;9;514
2020-05-06;2020;05;06;6;582;582;0;68;1;10;5;519
2020-05-07;2020;05;07;3;585;585;0;68;0;10;1;520
2020-05-08;2020;05;08;5;590;590;0;68;0;10;6;526
2020-05-09;2020;05;09;3;593;593;0;68;0;10;4;530
2020-05-10;2020;05;10;0;593;593;0;68;0;10;5;535
2020-05-11;2020;05;11;1;594;594;0;68;0;10;0;535
2020-05-12;2020;05;12;1;595;595;0;68;0;10;2;537
2020-05-13;2020;05;13;3;598;598;1;69;0;10;4;541
2020-05-14;2020;05;14;6;604;604;2;71;0;10;3;544
2020-05-15;2020;05;15;3;607;607;1;72;1;11;3;547
2020-05-16;2020;05;16;0;607;607;0;72;0;11;3;550
2020-05-17;2020;05;17;0;607;607;0;72;0;11;2;552
2020-05-18;2020;05;18;4;611;611;1;73;0;11;0;552
2020-05-19;2020;05;19;4;615;615;0;73;0;11;8;560
2020-05-20;2020;05;20;1;616;616;0;73;0;11;6;566
2020-05-21;2020;05;21;4;620;620;1;74;0;11;3;569
2020-05-22;2020;05;22;0;620;620;0;74;0;11;6;575
