Jahr-Prognose;Alter in Jahren bis 85 (über 85-Jährige werden Jahrgang 85 zugeordnet);Anzahl
2025;0 Jahre;3928
2025;1 Jahre;4032
2025;2 Jahre;4368
2025;3 Jahre;4788
2025;4 Jahre;5226
2025;5 Jahre;5129
2025;6 Jahre;5373
2025;7 Jahre;5702
2025;8 Jahre;5717
2025;9 Jahre;5827
2025;10 Jahre;5734
2025;11 Jahre;5725
2025;12 Jahre;5689
2025;13 Jahre;5670
2025;14 Jahre;5535
2025;15 Jahre;5497
2025;16 Jahre;5476
2025;17 Jahre;5497
2025;18 Jahre;5490
2025;19 Jahre;6072
2025;20 Jahre;6948
2025;21 Jahre;7297
2025;22 Jahre;7627
2025;23 Jahre;7688
2025;24 Jahre;8486
2025;25 Jahre;8640
2025;26 Jahre;8664
2025;27 Jahre;8401
2025;28 Jahre;8044
2025;29 Jahre;7653
2025;30 Jahre;6999
2025;31 Jahre;6825
2025;32 Jahre;6726
2025;33 Jahre;6964
2025;34 Jahre;8403
2025;35 Jahre;9580
2025;36 Jahre;9525
2025;37 Jahre;9450
2025;38 Jahre;9201
2025;39 Jahre;8775
2025;40 Jahre;8707
2025;41 Jahre;8335
2025;42 Jahre;8577
2025;43 Jahre;8116
2025;44 Jahre;7904
2025;45 Jahre;8079
2025;46 Jahre;7795
2025;47 Jahre;7729
2025;48 Jahre;7049
2025;49 Jahre;6418
2025;50 Jahre;6030
2025;51 Jahre;5781
2025;52 Jahre;5689
2025;53 Jahre;6718
2025;54 Jahre;6694
2025;55 Jahre;6857
2025;56 Jahre;6715
2025;57 Jahre;6696
2025;58 Jahre;6885
2025;59 Jahre;7135
2025;60 Jahre;6979
2025;61 Jahre;7208
2025;62 Jahre;6966
2025;63 Jahre;6637
2025;64 Jahre;6486
2025;65 Jahre;6306
2025;66 Jahre;5725
2025;67 Jahre;5396
2025;68 Jahre;5306
2025;69 Jahre;5382
2025;70 Jahre;5557
2025;71 Jahre;5602
2025;72 Jahre;5366
2025;73 Jahre;5574
2025;74 Jahre;5350
2025;75 Jahre;5341
2025;76 Jahre;4345
2025;77 Jahre;3664
2025;78 Jahre;3821
2025;79 Jahre;2812
2025;80 Jahre;4380
2025;81 Jahre;5164
2025;82 Jahre;4615
2025;83 Jahre;4966
2025;84 Jahre;4823
2025;85 Jahre u.älter;25425
2026;0 Jahre;4020
2026;1 Jahre;3880
2026;2 Jahre;4010
2026;3 Jahre;4330
2026;4 Jahre;4760
2026;5 Jahre;5190
2026;6 Jahre;5100
2026;7 Jahre;5360
2026;8 Jahre;5680
2026;9 Jahre;5740
2026;10 Jahre;5820
2026;11 Jahre;5750
2026;12 Jahre;5760
2026;13 Jahre;5700
2026;14 Jahre;5690
2026;15 Jahre;5570
2026;16 Jahre;5630
2026;17 Jahre;5650
2026;18 Jahre;5940
2026;19 Jahre;6450
2026;20 Jahre;6780
2026;21 Jahre;7360
2026;22 Jahre;7780
2026;23 Jahre;8030
2026;24 Jahre;8020
2026;25 Jahre;8660
2026;26 Jahre;8700
2026;27 Jahre;8620
2026;28 Jahre;8310
2026;29 Jahre;7950
2026;30 Jahre;7520
2026;31 Jahre;6920
2026;32 Jahre;6760
2026;33 Jahre;6750
2026;34 Jahre;6990
2026;35 Jahre;8370
2026;36 Jahre;9520
2026;37 Jahre;9460
2026;38 Jahre;9380
2026;39 Jahre;9140
2026;40 Jahre;8740
2026;41 Jahre;8670
2026;42 Jahre;8280
2026;43 Jahre;8540
2026;44 Jahre;8080
2026;45 Jahre;7890
2026;46 Jahre;8060
2026;47 Jahre;7790
2026;48 Jahre;7690
2026;49 Jahre;7020
2026;50 Jahre;6390
2026;51 Jahre;6020
2026;52 Jahre;5780
2026;53 Jahre;5700
2026;54 Jahre;6690
2026;55 Jahre;6670
2026;56 Jahre;6850
2026;57 Jahre;6690
2026;58 Jahre;6670
2026;59 Jahre;6840
2026;60 Jahre;7110
2026;61 Jahre;6950
2026;62 Jahre;7150
2026;63 Jahre;6910
2026;64 Jahre;6600
2026;65 Jahre;6430
2026;66 Jahre;6250
2026;67 Jahre;5660
2026;68 Jahre;5340
2026;69 Jahre;5250
2026;70 Jahre;5310
2026;71 Jahre;5470
2026;72 Jahre;5520
2026;73 Jahre;5280
2026;74 Jahre;5470
2026;75 Jahre;5240
2026;76 Jahre;5220
2026;77 Jahre;4240
2026;78 Jahre;3550
2026;79 Jahre;3680
2026;80 Jahre;2720
2026;81 Jahre;4200
2026;82 Jahre;4930
2026;83 Jahre;4400
2026;84 Jahre;4700
2026;85 Jahre u.älter;27000
2027;0 Jahre;4070
2027;1 Jahre;3970
2027;2 Jahre;3860
2027;3 Jahre;3990
2027;4 Jahre;4310
2027;5 Jahre;4730
2027;6 Jahre;5150
2027;7 Jahre;5100
2027;8 Jahre;5350
2027;9 Jahre;5700
2027;10 Jahre;5730
2027;11 Jahre;5830
2027;12 Jahre;5780
2027;13 Jahre;5780
2027;14 Jahre;5730
2027;15 Jahre;5730
2027;16 Jahre;5700
2027;17 Jahre;5800
2027;18 Jahre;6110
2027;19 Jahre;6840
2027;20 Jahre;7180
2027;21 Jahre;7280
2027;22 Jahre;7880
