Jahr-Prognose;Stadtbezirk mit zugeordneten Ortschaften;Anzahl
2025;StB 0 Altstadt;66474
2025;StB 1 Neustadt;53669
2025;StB 2 Pieschen;54212
2025;StB 3 Klotzsche/nördliche Ortschaften;31457
2025;StB 4 Loschwitz/OS Schönfeld-Weißig;33157
2025;StB 5 Blasewitz;88544
2025;StB 6 Leuben;39066
2025;StB 7 Prohlis;60190
2025;StB 8 Plauen;56633
2025;StB 9 Cotta/westliche Ortschaften;88074
2026;StB 0 Altstadt;66970
2026;StB 1 Neustadt;53780
2026;StB 2 Pieschen;54520
2026;StB 3 Klotzsche/nördliche Ortschaften;31390
2026;StB 4 Loschwitz/OS Schönfeld-Weißig;33150
2026;StB 5 Blasewitz;88710
2026;StB 6 Leuben;39030
2026;StB 7 Prohlis;60120
2026;StB 8 Plauen;56730
2026;StB 9 Cotta/westliche Ortschaften;88280
2027;StB 0 Altstadt;67630
2027;StB 1 Neustadt;53940
2027;StB 2 Pieschen;54960
2027;StB 3 Klotzsche/nördliche Ortschaften;31310
2027;StB 4 Loschwitz/OS Schönfeld-Weißig;33060
2027;StB 5 Blasewitz;88860
2027;StB 6 Leuben;38960
2027;StB 7 Prohlis;60160
2027;StB 8 Plauen;56930
2027;StB 9 Cotta/westliche Ortschaften;88530
2028;StB 0 Altstadt;68250
2028;StB 1 Neustadt;54060
2028;StB 2 Pieschen;55410
2028;StB 3 Klotzsche/nördliche Ortschaften;31140
2028;StB 4 Loschwitz/OS Schönfeld-Weißig;32810
2028;StB 5 Blasewitz;88880
2028;StB 6 Leuben;38810
2028;StB 7 Prohlis;60300
2028;StB 8 Plauen;56960
2028;StB 9 Cotta/westliche Ortschaften;88500
2029;StB 0 Altstadt;68770
2029;StB 1 Neustadt;54070
2029;StB 2 Pieschen;55840
2029;StB 3 Klotzsche/nördliche Ortschaften;30950
2029;StB 4 Loschwitz/OS Schönfeld-Weißig;32530
2029;StB 5 Blasewitz;88670
2029;StB 6 Leuben;38570
2029;StB 7 Prohlis;60420
2029;StB 8 Plauen;56700
2029;StB 9 Cotta/westliche Ortschaften;88210
2030;StB 0 Altstadt;69310
2030;StB 1 Neustadt;54270
2030;StB 2 Pieschen;56190
2030;StB 3 Klotzsche/nördliche Ortschaften;30830
2030;StB 4 Loschwitz/OS Schönfeld-Weißig;32270
2030;StB 5 Blasewitz;88540
2030;StB 6 Leuben;38350
2030;StB 7 Prohlis;60620
2030;StB 8 Plauen;56500
2030;StB 9 Cotta/westliche Ortschaften;87920
2031;StB 0 Altstadt;69960
2031;StB 1 Neustadt;54540
2031;StB 2 Pieschen;56580
2031;StB 3 Klotzsche/nördliche Ortschaften;30760
2031;StB 4 Loschwitz/OS Schönfeld-Weißig;32060
2031;StB 5 Blasewitz;88540
2031;StB 6 Leuben;38170
2031;StB 7 Prohlis;60790
2031;StB 8 Plauen;56350
2031;StB 9 Cotta/westliche Ortschaften;87740
2032;StB 0 Altstadt;70650
2032;StB 1 Neustadt;54840
2032;StB 2 Pieschen;56940
2032;StB 3 Klotzsche/nördliche Ortschaften;30720
2032;StB 4 Loschwitz/OS Schönfeld-Weißig;31880
2032;StB 5 Blasewitz;88600
2032;StB 6 Leuben;38020
2032;StB 7 Prohlis;61000
2032;StB 8 Plauen;56260
2032;StB 9 Cotta/westliche Ortschaften;87610
2033;StB 0 Altstadt;71220
2033;StB 1 Neustadt;55180
2033;StB 2 Pieschen;57280
2033;StB 3 Klotzsche/nördliche Ortschaften;30700
2033;StB 4 Loschwitz/OS Schönfeld-Weißig;31720
2033;StB 5 Blasewitz;88710
2033;StB 6 Leuben;37890
2033;StB 7 Prohlis;61240
2033;StB 8 Plauen;56250
2033;StB 9 Cotta/westliche Ortschaften;87540
2034;StB 0 Altstadt;71730
2034;StB 1 Neustadt;55500
2034;StB 2 Pieschen;57560
2034;StB 3 Klotzsche/nördliche Ortschaften;30660
2034;StB 4 Loschwitz/OS Schönfeld-Weißig;31560
2034;StB 5 Blasewitz;88860
2034;StB 6 Leuben;37820
2034;StB 7 Prohlis;61430
2034;StB 8 Plauen;56280
2034;StB 9 Cotta/westliche Ortschaften;87550
2035;StB 0 Altstadt;72220
2035;StB 1 Neustadt;55880
2035;StB 2 Pieschen;57870
2035;StB 3 Klotzsche/nördliche Ortschaften;30660
