Jahr;Quartal;Einwohnerbewegung;Staatsangehörigkeit;Geschlecht;Anzahl Einwohner
2006;1. Quartal;Eheschließung;Deutsche;männlich;203
2006;1. Quartal;Eheschließung;Deutsche;weiblich;211
2006;1. Quartal;Eheschließung;Ausländer;männlich;48
2006;1. Quartal;Eheschließung;Ausländer;weiblich;36
2006;1. Quartal;Ehescheidung;Deutsche;männlich;263
2006;1. Quartal;Ehescheidung;Deutsche;weiblich;257
2006;1. Quartal;Ehescheidung;Ausländer;männlich;29
2006;1. Quartal;Ehescheidung;Ausländer;weiblich;25
2006;1. Quartal;Geborene;Deutsche;männlich;522
2006;1. Quartal;Geborene;Deutsche;weiblich;554
2006;1. Quartal;Geborene;Ausländer;männlich;27
2006;1. Quartal;Geborene;Ausländer;weiblich;12
2006;1. Quartal;Gestorbene;Deutsche;männlich;540
2006;1. Quartal;Gestorbene;Deutsche;weiblich;707
2006;1. Quartal;Gestorbene;Ausländer;männlich;4
2006;1. Quartal;Gestorbene;Ausländer;weiblich;4
2006;2. Quartal;Eheschließung;Deutsche;männlich;677
2006;2. Quartal;Eheschließung;Deutsche;weiblich;689
2006;2. Quartal;Eheschließung;Ausländer;männlich;56
2006;2. Quartal;Eheschließung;Ausländer;weiblich;31
2006;2. Quartal;Ehescheidung;Deutsche;männlich;218
2006;2. Quartal;Ehescheidung;Deutsche;weiblich;238
2006;2. Quartal;Ehescheidung;Ausländer;männlich;27
2006;2. Quartal;Ehescheidung;Ausländer;weiblich;16
2006;2. Quartal;Geborene;Deutsche;männlich;559
2006;2. Quartal;Geborene;Deutsche;weiblich;558
2006;2. Quartal;Geborene;Ausländer;männlich;12
2006;2. Quartal;Geborene;Ausländer;weiblich;17
2006;2. Quartal;Gestorbene;Deutsche;männlich;546
2006;2. Quartal;Gestorbene;Deutsche;weiblich;634
2006;2. Quartal;Gestorbene;Ausländer;männlich;12
2006;2. Quartal;Gestorbene;Ausländer;weiblich;7
2006;3. Quartal;Eheschließung;Deutsche;männlich;928
2006;3. Quartal;Eheschließung;Deutsche;weiblich;910
2006;3. Quartal;Eheschließung;Ausländer;männlich;51
2006;3. Quartal;Eheschließung;Ausländer;weiblich;54
2006;3. Quartal;Ehescheidung;Deutsche;männlich;238
2006;3. Quartal;Ehescheidung;Deutsche;weiblich;243
2006;3. Quartal;Ehescheidung;Ausländer;männlich;27
2006;3. Quartal;Ehescheidung;Ausländer;weiblich;21
2006;3. Quartal;Geborene;Deutsche;männlich;726
2006;3. Quartal;Geborene;Deutsche;weiblich;673
2006;3. Quartal;Geborene;Ausländer;männlich;18
2006;3. Quartal;Geborene;Ausländer;weiblich;19
2006;3. Quartal;Gestorbene;Deutsche;männlich;501
2006;3. Quartal;Gestorbene;Deutsche;weiblich;591
2006;3. Quartal;Gestorbene;Ausländer;männlich;1
2006;3. Quartal;Gestorbene;Ausländer;weiblich;3
2006;4. Quartal;Eheschließung;Deutsche;männlich;470
2006;4. Quartal;Eheschließung;Deutsche;weiblich;467
2006;4. Quartal;Eheschließung;Ausländer;männlich;52
2006;4. Quartal;Eheschließung;Ausländer;weiblich;61
2006;4. Quartal;Ehescheidung;Deutsche;männlich;202
2006;4. Quartal;Ehescheidung;Deutsche;weiblich;213
2006;4. Quartal;Ehescheidung;Ausländer;männlich;29
2006;4. Quartal;Ehescheidung;Ausländer;weiblich;18
2006;4. Quartal;Geborene;Deutsche;männlich;610
2006;4. Quartal;Geborene;Deutsche;weiblich;564
2006;4. Quartal;Geborene;Ausländer;männlich;17
2006;4. Quartal;Geborene;Ausländer;weiblich;15
2006;4. Quartal;Gestorbene;Deutsche;männlich;482
2006;4. Quartal;Gestorbene;Deutsche;weiblich;642
2006;4. Quartal;Gestorbene;Ausländer;männlich;8
2006;4. Quartal;Gestorbene;Ausländer;weiblich;2
2007;1. Quartal;Eheschließung;Deutsche;männlich;213
2007;1. Quartal;Eheschließung;Deutsche;weiblich;211
2007;1. Quartal;Eheschließung;Ausländer;männlich;26
2007;1. Quartal;Eheschließung;Ausländer;weiblich;35
2007;1. Quartal;Ehescheidung;Deutsche;männlich;233
2007;1. Quartal;Ehescheidung;Deutsche;weiblich;273
2007;1. Quartal;Ehescheidung;Ausländer;männlich;26
2007;1. Quartal;Ehescheidung;Ausländer;weiblich;21
2007;1. Quartal;Geborene;Deutsche;männlich;609
2007;1. Quartal;Geborene;Deutsche;weiblich;577
2007;1. Quartal;Geborene;Ausländer;männlich;16
2007;1. Quartal;Geborene;Ausländer;weiblich;19
2007;1. Quartal;Gestorbene;Deutsche;männlich;536
2007;1. Quartal;Gestorbene;Deutsche;weiblich;688
2007;1. Quartal;Gestorbene;Ausländer;männlich;9
2007;1. Quartal;Gestorbene;Ausländer;weiblich;1
2007;2. Quartal;Eheschließung;Deutsche;männlich;602
2007;2. Quartal;Eheschließung;Deutsche;weiblich;597
2007;2. Quartal;Eheschließung;Ausländer;männlich;40
2007;2. Quartal;Eheschließung;Ausländer;weiblich;46
2007;2. Quartal;Ehescheidung;Deutsche;männlich;225
2007;2. Quartal;Ehescheidung;Deutsche;weiblich;238
2007;2. Quartal;Ehescheidung;Ausländer;männlich;21
2007;2. Quartal;Ehescheidung;Ausländer;weiblich;20
2007;2. Quartal;Geborene;Deutsche;männlich;646
2007;2. Quartal;Geborene;Deutsche;weiblich;591
2007;2. Quartal;Geborene;Ausländer;männlich;15
2007;2. Quartal;Geborene;Ausländer;weiblich;12
2007;2. Quartal;Gestorbene;Deutsche;männlich;527
2007;2. Quartal;Gestorbene;Deutsche;weiblich;663
2007;2. Quartal;Gestorbene;Ausländer;männlich;4
2007;2. Quartal;Gestorbene;Ausländer;weiblich;4
2007;3. Quartal;Eheschließung;Deutsche;männlich;987
2007;3. Quartal;Eheschließung;Deutsche;weiblich;975
2007;3. Quartal;Eheschließung;Ausländer;männlich;47
2007;3. Quartal;Eheschließung;Ausländer;weiblich;50
2007;3. Quartal;Ehescheidung;Deutsche;männlich;203
2007;3. Quartal;Ehescheidung;Deutsche;weiblich;230
2007;3. Quartal;Ehescheidung;Ausländer;männlich;24
2007;3. Quartal;Ehescheidung;Ausländer;weiblich;24
2007;3. Quartal;Geborene;Deutsche;männlich;727
2007;3. Quartal;Geborene;Deutsche;weiblich;709
2007;3. Quartal;Geborene;Ausländer;männlich;13
2007;3. Quartal;Geborene;Ausländer;weiblich;20
2007;3. Quartal;Gestorbene;Deutsche;männlich;483
2007;3. Quartal;Gestorbene;Deutsche;weiblich;660
2007;3. Quartal;Gestorbene;Ausländer;männlich;6
2007;3. Quartal;Gestorbene;Ausländer;weiblich;3
2007;4. Quartal;Eheschließung;Deutsche;männlich;406
2007;4. Quartal;Eheschließung;Deutsche;weiblich;425
2007;4. Quartal;Eheschließung;Ausländer;männlich;42
2007;4. Quartal;Eheschließung;Ausländer;weiblich;54
2007;4. Quartal;Ehescheidung;Deutsche;männlich;211
2007;4. Quartal;Ehescheidung;Deutsche;weiblich;250
2007;4. Quartal;Ehescheidung;Ausländer;männlich;21
2007;4. Quartal;Ehescheidung;Ausländer;weiblich;16
2007;4. Quartal;Geborene;Deutsche;männlich;667
2007;4. Quartal;Geborene;Deutsche;weiblich;589
2007;4. Quartal;Geborene;Ausländer;männlich;16
2007;4. Quartal;Geborene;Ausländer;weiblich;26
2007;4. Quartal;Gestorbene;Deutsche;männlich;489
2007;4. Quartal;Gestorbene;Deutsche;weiblich;628
2007;4. Quartal;Gestorbene;Ausländer;männlich;7
2007;4. Quartal;Gestorbene;Ausländer;weiblich;5
2008;1. Quartal;Eheschließung;Deutsche;männlich;255
2008;1. Quartal;Eheschließung;Deutsche;weiblich;251
2008;1. Quartal;Eheschließung;Ausländer;männlich;49
2008;1. Quartal;Eheschließung;Ausländer;weiblich;49
2008;1. Quartal;Ehescheidung;Deutsche;männlich;284
2008;1. Quartal;Ehescheidung;Deutsche;weiblich;294
2008;1. Quartal;Ehescheidung;Ausländer;männlich;33
2008;1. Quartal;Ehescheidung;Ausländer;weiblich;30
2008;1. Quartal;Geborene;Deutsche;männlich;631
2008;1. Quartal;Geborene;Deutsche;weiblich;592
2008;1. Quartal;Geborene;Ausländer;männlich;16
2008;1. Quartal;Geborene;Ausländer;weiblich;24
2008;1. Quartal;Gestorbene;Deutsche;männlich;614
2008;1. Quartal;Gestorbene;Deutsche;weiblich;771
2008;1. Quartal;Gestorbene;Ausländer;männlich;6
2008;1. Quartal;Gestorbene;Ausländer;weiblich;0
2008;2. Quartal;Eheschließung;Deutsche;männlich;700
2008;2. Quartal;Eheschließung;Deutsche;weiblich;711
2008;2. Quartal;Eheschließung;Ausländer;männlich;38
2008;2. Quartal;Eheschließung;Ausländer;weiblich;34
2008;2. Quartal;Ehescheidung;Deutsche;männlich;209
2008;2. Quartal;Ehescheidung;Deutsche;weiblich;236
2008;2. Quartal;Ehescheidung;Ausländer;männlich;24
2008;2. Quartal;Ehescheidung;Ausländer;weiblich;17
2008;2. Quartal;Geborene;Deutsche;männlich;670
2008;2. Quartal;Geborene;Deutsche;weiblich;648
2008;2. Quartal;Geborene;Ausländer;männlich;17
2008;2. Quartal;Geborene;Ausländer;weiblich;21
2008;2. Quartal;Gestorbene;Deutsche;männlich;545
2008;2. Quartal;Gestorbene;Deutsche;weiblich;672
2008;2. Quartal;Gestorbene;Ausländer;männlich;5
2008;2. Quartal;Gestorbene;Ausländer;weiblich;3
2008;3. Quartal;Eheschließung;Deutsche;männlich;981
2008;3. Quartal;Eheschließung;Deutsche;weiblich;983
2008;3. Quartal;Eheschließung;Ausländer;männlich;42
2008;3. Quartal;Eheschließung;Ausländer;weiblich;46
2008;3. Quartal;Ehescheidung;Deutsche;männlich;232
2008;3. Quartal;Ehescheidung;Deutsche;weiblich;249
2008;3. Quartal;Ehescheidung;Ausländer;männlich;27
2008;3. Quartal;Ehescheidung;Ausländer;weiblich;22
2008;3. Quartal;Geborene;Deutsche;männlich;753
2008;3. Quartal;Geborene;Deutsche;weiblich;749
2008;3. Quartal;Geborene;Ausländer;männlich;27
2008;3. Quartal;Geborene;Ausländer;weiblich;30
2008;3. Quartal;Gestorbene;Deutsche;männlich;477
2008;3. Quartal;Gestorbene;Deutsche;weiblich;614
2008;3. Quartal;Gestorbene;Ausländer;männlich;7
2008;3. Quartal;Gestorbene;Ausländer;weiblich;6
2008;4. Quartal;Eheschließung;Deutsche;männlich;429
2008;4. Quartal;Eheschließung;Deutsche;weiblich;423
2008;4. Quartal;Eheschließung;Ausländer;männlich;44
2008;4. Quartal;Eheschließung;Ausländer;weiblich;48
2008;4. Quartal;Ehescheidung;Deutsche;männlich;253
2008;4. Quartal;Ehescheidung;Deutsche;weiblich;298
2008;4. Quartal;Ehescheidung;Ausländer;männlich;32
2008;4. Quartal;Ehescheidung;Ausländer;weiblich;15
2008;4. Quartal;Geborene;Deutsche;männlich;608
2008;4. Quartal;Geborene;Deutsche;weiblich;650
2008;4. Quartal;Geborene;Ausländer;männlich;17
2008;4. Quartal;Geborene;Ausländer;weiblich;21
2008;4. Quartal;Gestorbene;Deutsche;männlich;522
2008;4. Quartal;Gestorbene;Deutsche;weiblich;605
2008;4. Quartal;Gestorbene;Ausländer;männlich;6
2008;4. Quartal;Gestorbene;Ausländer;weiblich;1
2009;1. Quartal;Eheschließung;Deutsche;männlich;247
2009;1. Quartal;Eheschließung;Deutsche;weiblich;250
2009;1. Quartal;Eheschließung;Ausländer;männlich;37
2009;1. Quartal;Eheschließung;Ausländer;weiblich;34
2009;1. Quartal;Ehescheidung;Deutsche;männlich;265
2009;1. Quartal;Ehescheidung;Deutsche;weiblich;260
2009;1. Quartal;Ehescheidung;Ausländer;männlich;34
2009;1. Quartal;Ehescheidung;Ausländer;weiblich;23
2009;1. Quartal;Geborene;Deutsche;männlich;615
2009;1. Quartal;Geborene;Deutsche;weiblich;650
2009;1. Quartal;Geborene;Ausländer;männlich;21
2009;1. Quartal;Geborene;Ausländer;weiblich;21
2009;1. Quartal;Gestorbene;Deutsche;männlich;636
2009;1. Quartal;Gestorbene;Deutsche;weiblich;845
2009;1. Quartal;Gestorbene;Ausländer;männlich;7
2009;1. Quartal;Gestorbene;Ausländer;weiblich;6
2009;2. Quartal;Eheschließung;Deutsche;männlich;714
2009;2. Quartal;Eheschließung;Deutsche;weiblich;725
2009;2. Quartal;Eheschließung;Ausländer;männlich;46
2009;2. Quartal;Eheschließung;Ausländer;weiblich;45
2009;2. Quartal;Ehescheidung;Deutsche;männlich;212
2009;2. Quartal;Ehescheidung;Deutsche;weiblich;241
2009;2. Quartal;Ehescheidung;Ausländer;männlich;24
2009;2. Quartal;Ehescheidung;Ausländer;weiblich;19
2009;2. Quartal;Geborene;Deutsche;männlich;696
2009;2. Quartal;Geborene;Deutsche;weiblich;624
2009;2. Quartal;Geborene;Ausländer;männlich;19
2009;2. Quartal;Geborene;Ausländer;weiblich;31
2009;2. Quartal;Gestorbene;Deutsche;männlich;563
2009;2. Quartal;Gestorbene;Deutsche;weiblich;644
2009;2. Quartal;Gestorbene;Ausländer;männlich;2
2009;2. Quartal;Gestorbene;Ausländer;weiblich;5
2009;3. Quartal;Eheschließung;Deutsche;männlich;1043
2009;3. Quartal;Eheschließung;Deutsche;weiblich;1054
2009;3. Quartal;Eheschließung;Ausländer;männlich;47
2009;3. Quartal;Eheschließung;Ausländer;weiblich;60
2009;3. Quartal;Ehescheidung;Deutsche;männlich;199
2009;3. Quartal;Ehescheidung;Deutsche;weiblich;220
2009;3. Quartal;Ehescheidung;Ausländer;männlich;20
2009;3. Quartal;Ehescheidung;Ausländer;weiblich;15
2009;3. Quartal;Geborene;Deutsche;männlich;749
2009;3. Quartal;Geborene;Deutsche;weiblich;688
2009;3. Quartal;Geborene;Ausländer;männlich;23
2009;3. Quartal;Geborene;Ausländer;weiblich;18
2009;3. Quartal;Gestorbene;Deutsche;männlich;544
2009;3. Quartal;Gestorbene;Deutsche;weiblich;650
2009;3. Quartal;Gestorbene;Ausländer;männlich;4
2009;3. Quartal;Gestorbene;Ausländer;weiblich;7
2009;4. Quartal;Eheschließung;Deutsche;männlich;502
2009;4. Quartal;Eheschließung;Deutsche;weiblich;485
