Jahr;Stadtbezirk mit zugeordneten Ortschaften;Stadtraum;Kinderanzahl im Haushalt in Klassen (4);Anzahl Einwohner;Kinderanzahl im Haushalt (sum);Anzahl Haushalte
1999;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;0 Kinder;20343;0;13818
1999;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;1 Kind;3450;1220;1220
1999;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;2 Kinder;2398;1232;616
1999;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;3 u.m. Kinder;673;438;126
1999;StB 0 Altstadt;02 Johannstadt;0 Kinder;16382;0;10064
1999;StB 0 Altstadt;02 Johannstadt;1 Kind;3552;1232;1232
1999;StB 0 Altstadt;02 Johannstadt;2 Kinder;2314;1200;600
1999;StB 0 Altstadt;02 Johannstadt;3 u.m. Kinder;681;442;133
1999;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;0 Kinder;15927;0;11347
1999;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;1 Kind;4711;1667;1667
1999;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;2 Kinder;3350;1730;865
1999;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;3 u.m. Kinder;1156;733;224
1999;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;0 Kinder;4991;0;3557
1999;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;1 Kind;1493;522;522
1999;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;2 Kinder;971;506;253
1999;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;3 u.m. Kinder;311;197;59
1999;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;0 Kinder;11024;0;7474
1999;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;1 Kind;3579;1272;1272
1999;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;2 Kinder;2327;1198;599
1999;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;3 u.m. Kinder;566;361;109
