Jahr;Stadtbezirk mit zugeordneten Ortschaften;Stadtraum;Kinderanzahl im Haushalt in Klassen (4);Anzahl Einwohner;Kinderanzahl im Haushalt (sum);Anzahl Haushalte
2019;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;0 Kinder;23622;0;18169
2019;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;1 Kind;3874;1405;1405
2019;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;2 Kinder;3023;1554;777
2019;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;3 u.m. Kinder;1258;794;234
2019;StB 0 Altstadt;02 Johannstadt;0 Kinder;16170;0;11728
2019;StB 0 Altstadt;02 Johannstadt;1 Kind;3059;1083;1083
2019;StB 0 Altstadt;02 Johannstadt;2 Kinder;2887;1486;743
2019;StB 0 Altstadt;02 Johannstadt;3 u.m. Kinder;1189;745;226
2019;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;0 Kinder;21798;0;17164
2019;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;1 Kind;6530;2336;2336
2019;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;2 Kinder;6913;3544;1772
2019;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;3 u.m. Kinder;2167;1345;425
2019;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;0 Kinder;7442;0;5967
2019;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;1 Kind;2245;822;822
2019;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;2 Kinder;2235;1144;572
2019;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;3 u.m. Kinder;590;364;116
2019;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;0 Kinder;14391;0;11137
2019;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;1 Kind;4627;1682;1682
2019;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;2 Kinder;4211;2182;1091
2019;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;3 u.m. Kinder;1493;935;292
2019;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;0 Kinder;17471;0;12458
2019;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;1 Kind;5301;1926;1926
2019;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;2 Kinder;4662;2396;1198
2019;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;3 u.m. Kinder;1429;894;283
2019;StB 3 Klotzsche/nördliche Ortschaften;06 StB Klotzsche und nördliche OS;0 Kinder;18293;0;11370
2019;StB 3 Klotzsche/nördliche Ortschaften;06 StB Klotzsche und nördliche OS;1 Kind;5016;1693;1693
2019;StB 3 Klotzsche/nördliche Ortschaften;06 StB Klotzsche und nördliche OS;2 Kinder;5906;2974;1487
2019;StB 3 Klotzsche/nördliche Ortschaften;06 StB Klotzsche und nördliche OS;3 u.m. Kinder;1950;1205;373
2019;StB 4 Loschwitz/OS Schönfeld-Weißig;07 StB Loschwitz und OS Schönfeld-Weißig;0 Kinder;19377;0;11905
2019;StB 4 Loschwitz/OS Schönfeld-Weißig;07 StB Loschwitz und OS Schönfeld-Weißig;1 Kind;5532;1854;1854
2019;StB 4 Loschwitz/OS Schönfeld-Weißig;07 StB Loschwitz und OS Schönfeld-Weißig;2 Kinder;6167;3108;1554
2019;StB 4 Loschwitz/OS Schönfeld-Weißig;07 StB Loschwitz und OS Schönfeld-Weißig;3 u.m. Kinder;2322;1428;449
2019;StB 5 Blasewitz;08 Blasewitz, Striesen;0 Kinder;29560;0;21136
2019;StB 5 Blasewitz;08 Blasewitz, Striesen;1 Kind;9139;3199;3199
2019;StB 5 Blasewitz;08 Blasewitz, Striesen;2 Kinder;9246;4712;2356
2019;StB 5 Blasewitz;08 Blasewitz, Striesen;3 u.m. Kinder;2759;1686;532
2019;StB 5 Blasewitz;09 Tolkewitz, Seidnitz, Gruna;0 Kinder;24972;0;17594
2019;StB 5 Blasewitz;09 Tolkewitz, Seidnitz, Gruna;1 Kind;6168;2261;2261
2019;StB 5 Blasewitz;09 Tolkewitz, Seidnitz, Gruna;2 Kinder;5326;2754;1377
2019;StB 5 Blasewitz;09 Tolkewitz, Seidnitz, Gruna;3 u.m. Kinder;1516;940;295
2019;StB 6 Leuben;10 StB Leuben;0 Kinder;25058;0;17060
2019;StB 6 Leuben;10 StB Leuben;1 Kind;6109;2201;2201
2019;StB 6 Leuben;10 StB Leuben;2 Kinder;5642;2896;1448
2019;StB 6 Leuben;10 StB Leuben;3 u.m. Kinder;1959;1224;377
2019;StB 7 Prohlis;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);0 Kinder;15368;0;11355
2019;StB 7 Prohlis;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);1 Kind;2945;1098;1098
2019;StB 7 Prohlis;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);2 Kinder;2732;1444;722
2019;StB 7 Prohlis;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);3 u.m. Kinder;1919;1250;370
2019;StB 7 Prohlis;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);0 Kinder;20844;0;13528
