Jahr;Stadtteil zus.;Stadtbezirk mit zugeordneten Ortschaften;Stadtraum;Anzahl Einwohner;Anzahl Haushalte
1999;01 Innere Altstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;85;34
1999;02 Pirnaische Vorstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;271;117
1999;03 Seevorstadt-Ost;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;222;98
1999;04 Wilsdruffer Vs./Seevs.-West;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;332;146
1999;05 Friedrichstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;378;154
1999;06 Johannstadt-Nord;StB 0 Altstadt;02 Johannstadt;667;263
1999;07 Johannstadt-Süd;StB 0 Altstadt;02 Johannstadt;620;269
1999;11 Äußere Neustadt (Antonstadt);StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;1015;434
1999;12 Radeberger Vorstadt;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;481;201
1999;13 Innere Neustadt;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;354;145
1999;14 Leipziger Vorstadt;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;584;247
1999;15 Albertstadt;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;89;37
1999;21 Pieschen-Süd;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;730;320
1999;22 Mickten;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;623;267
1999;23 Kaditz;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;232;101
1999;24 Trachau;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;469;201
1999;25 Pieschen-N/Trachenberge;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;610;258
1999;31 Klotzsche;StB 3 Klotzsche/nördliche Ortschaften;06 StB Klotzsche und nördliche OS;685;282
1999;32 Hellerau/Wilschdorf;StB 3 Klotzsche/nördliche Ortschaften;06 StB Klotzsche und nördliche OS;204;84
1999;35 Weixdorf;StB 3 Klotzsche/nördliche Ortschaften;06 StB Klotzsche und nördliche OS;183;79
1999;36 Langebrück/Schönborn;StB 3 Klotzsche/nördliche Ortschaften;06 StB Klotzsche und nördliche OS;149;59
1999;41 Loschwitz/Wachwitz;StB 4 Loschwitz/OS Schönfeld-Weißig;07 StB Loschwitz und OS Schönfeld-Weißig;194;83
1999;42 Bühlau/Weißer Hirsch;StB 4 Loschwitz/OS Schönfeld-Weißig;07 StB Loschwitz und OS Schönfeld-Weißig;361;153
1999;43 Hosterwitz/Pillnitz;StB 4 Loschwitz/OS Schönfeld-Weißig;07 StB Loschwitz und OS Schönfeld-Weißig;153;64
1999;45 Weißig;StB 4 Loschwitz/OS Schönfeld-Weißig;07 StB Loschwitz und OS Schönfeld-Weißig;271;115
1999;46 Gönnsdorf/Pappritz;StB 4 Loschwitz/OS Schönfeld-Weißig;07 StB Loschwitz und OS Schönfeld-Weißig;110;47
1999;47 Schönfeld/Schullwitz;StB 4 Loschwitz/OS Schönfeld-Weißig;07 StB Loschwitz und OS Schönfeld-Weißig;88;39
1999;51 Blasewitz;StB 5 Blasewitz;08 Blasewitz, Striesen;378;163
1999;52 Striesen-Ost;StB 5 Blasewitz;08 Blasewitz, Striesen;733;310
1999;53 Striesen-Süd;StB 5 Blasewitz;08 Blasewitz, Striesen;510;211
1999;54 Striesen-West;StB 5 Blasewitz;08 Blasewitz, Striesen;471;206
1999;55 Tolkewitz/Seidnitz-Nord;StB 5 Blasewitz;09 Tolkewitz, Seidnitz, Gruna;779;332
1999;56 Seidnitz/Dobritz;StB 5 Blasewitz;09 Tolkewitz, Seidnitz, Gruna;671;298
1999;57 Gruna;StB 5 Blasewitz;09 Tolkewitz, Seidnitz, Gruna;515;223
1999;61 Leuben;StB 6 Leuben;10 StB Leuben;697;296
1999;62 Laubegast;StB 6 Leuben;10 StB Leuben;565;243
1999;63 Kleinzschachwitz;StB 6 Leuben;10 StB Leuben;288;127
1999;64 Großzschachwitz;StB 6 Leuben;10 StB Leuben;316;132
1999;71 Prohlis-Nord;StB 7 Prohlis;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);413;172
1999;72 Prohlis-Süd;StB 7 Prohlis;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);514;205
1999;73 Niedersedlitz;StB 7 Prohlis;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);544;221
1999;74 Lockwitz;StB 7 Prohlis;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);169;70
1999;75 Leubnitz-Neuostra;StB 7 Prohlis;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);662;277
