Jahr;Stadtbezirk mit zugeordneten Ortschaften;Stadtraum;Kinderanzahl im Haushalt in Klassen (4);Anzahl Einwohner;Kinderanzahl im Haushalt (sum);Anzahl Haushalte
2018;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;1 Kind;697;348;348
2018;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;2 Kinder;384;256;128
2018;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;3 u.m. Kinder;113;86;27
2018;StB 0 Altstadt;02 Johannstadt;1 Kind;586;293;293
2018;StB 0 Altstadt;02 Johannstadt;2 Kinder;369;246;123
2018;StB 0 Altstadt;02 Johannstadt;3 u.m. Kinder;115;88;27
2018;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;1 Kind;1366;683;683
2018;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;2 Kinder;879;586;293
2018;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;3 u.m. Kinder;203;154;49
2018;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;1 Kind;520;260;260
2018;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;2 Kinder;288;192;96
2018;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;3 u.m. Kinder;72;55;17
2018;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;1 Kind;1016;508;508
2018;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;2 Kinder;618;412;206
2018;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;3 u.m. Kinder;245;187;58
2018;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;1 Kind;1164;582;582
2018;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;2 Kinder;564;376;188
2018;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;3 u.m. Kinder;227;172;55
2018;StB 3 Klotzsche/nördliche Ortschaften;06 StB Klotzsche und nördliche OS;1 Kind;716;358;358
2018;StB 3 Klotzsche/nördliche Ortschaften;06 StB Klotzsche und nördliche OS;2 Kinder;510;340;170
2018;StB 3 Klotzsche/nördliche Ortschaften;06 StB Klotzsche und nördliche OS;3 u.m. Kinder;97;74;23
2018;StB 4 Loschwitz/OS Schönfeld-Weißig;07 StB Loschwitz und OS Schönfeld-Weißig;1 Kind;812;406;406
2018;StB 4 Loschwitz/OS Schönfeld-Weißig;07 StB Loschwitz und OS Schönfeld-Weißig;2 Kinder;516;344;172
2018;StB 4 Loschwitz/OS Schönfeld-Weißig;07 StB Loschwitz und OS Schönfeld-Weißig;3 u.m. Kinder;158;120;38
2018;StB 5 Blasewitz;08 Blasewitz, Striesen;1 Kind;1582;791;791
2018;StB 5 Blasewitz;08 Blasewitz, Striesen;2 Kinder;942;628;314
2018;StB 5 Blasewitz;08 Blasewitz, Striesen;3 u.m. Kinder;184;140;44
2018;StB 5 Blasewitz;09 Tolkewitz, Seidnitz, Gruna;1 Kind;1500;750;750
2018;StB 5 Blasewitz;09 Tolkewitz, Seidnitz, Gruna;2 Kinder;771;514;257
2018;StB 5 Blasewitz;09 Tolkewitz, Seidnitz, Gruna;3 u.m. Kinder;174;133;41
2018;StB 6 Leuben;10 StB Leuben;1 Kind;1452;726;726
2018;StB 6 Leuben;10 StB Leuben;2 Kinder;765;510;255
2018;StB 6 Leuben;10 StB Leuben;3 u.m. Kinder;276;212;64
2018;StB 7 Prohlis;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);1 Kind;834;417;417
2018;StB 7 Prohlis;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);2 Kinder;579;386;193
2018;StB 7 Prohlis;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);3 u.m. Kinder;406;312;94
2018;StB 7 Prohlis;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);1 Kind;902;451;451
2018;StB 7 Prohlis;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);2 Kinder;495;330;165
2018;StB 7 Prohlis;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);3 u.m. Kinder;179;137;42
2018;StB 8 Plauen;13 Südvorstadt, Zschertnitz;1 Kind;655;327;327
2018;StB 8 Plauen;13 Südvorstadt, Zschertnitz;2 Kinder;426;284;142
