Jahr;Stadtteil zus.;Stadtbezirk mit zugeordneten Ortschaften;Stadtraum;AltK_05D__-24-44-59-64-;Geschlecht;Anzahl Einwohner
1999;01 Innere Altstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;bis 24 Jahre;männlich;24
1999;01 Innere Altstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;bis 24 Jahre;weiblich;23
1999;01 Innere Altstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;25 - 44 Jahre;männlich;74
1999;01 Innere Altstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;25 - 44 Jahre;weiblich;32
1999;01 Innere Altstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;45 - 59 Jahre;männlich;28
1999;01 Innere Altstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;45 - 59 Jahre;weiblich;14
1999;01 Innere Altstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;60 - 64 Jahre;männlich;10
1999;01 Innere Altstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;60 - 64 Jahre;weiblich;24
1999;01 Innere Altstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;65 Jahre u.älter;männlich;39
1999;01 Innere Altstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;65 Jahre u.älter;weiblich;173
1999;02 Pirnaische Vorstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;bis 24 Jahre;männlich;133
1999;02 Pirnaische Vorstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;bis 24 Jahre;weiblich;104
1999;02 Pirnaische Vorstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;25 - 44 Jahre;männlich;401
1999;02 Pirnaische Vorstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;25 - 44 Jahre;weiblich;124
1999;02 Pirnaische Vorstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;45 - 59 Jahre;männlich;177
1999;02 Pirnaische Vorstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;45 - 59 Jahre;weiblich;127
1999;02 Pirnaische Vorstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;60 - 64 Jahre;männlich;51
1999;02 Pirnaische Vorstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;60 - 64 Jahre;weiblich;151
1999;02 Pirnaische Vorstadt;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;65 Jahre u.älter;männlich;135
