Jahr;Quartal;Einwohnerbewegung;Wanderungsgebiet;Staatsangehörigkeit;Geschlecht;Anzahl Einwohner
2003;1. Quartal;Zuzug;unbekannt;Deutsche;männlich;55
2003;1. Quartal;Zuzug;unbekannt;Deutsche;weiblich;16
2003;1. Quartal;Zuzug;unbekannt;Ausländer;männlich;20
2003;1. Quartal;Zuzug;unbekannt;Ausländer;weiblich;9
2003;1. Quartal;Zuzug;Ausland;Deutsche;männlich;60
2003;1. Quartal;Zuzug;Ausland;Deutsche;weiblich;34
2003;1. Quartal;Zuzug;Ausland;Ausländer;männlich;410
2003;1. Quartal;Zuzug;Ausland;Ausländer;weiblich;296
2003;1. Quartal;Zuzug;Alte Bundesländer (mit Berlin);Deutsche;männlich;465
2003;1. Quartal;Zuzug;Alte Bundesländer (mit Berlin);Deutsche;weiblich;387
2003;1. Quartal;Zuzug;Alte Bundesländer (mit Berlin);Ausländer;männlich;76
2003;1. Quartal;Zuzug;Alte Bundesländer (mit Berlin);Ausländer;weiblich;41
2003;1. Quartal;Zuzug;Neue Bundesländer (ohne Sachsen);Deutsche;männlich;279
2003;1. Quartal;Zuzug;Neue Bundesländer (ohne Sachsen);Deutsche;weiblich;275
2003;1. Quartal;Zuzug;Neue Bundesländer (ohne Sachsen);Ausländer;männlich;34
2003;1. Quartal;Zuzug;Neue Bundesländer (ohne Sachsen);Ausländer;weiblich;17
2003;1. Quartal;Zuzug;Sachsen (ohne Umland Dresden);Deutsche;männlich;343
2003;1. Quartal;Zuzug;Sachsen (ohne Umland Dresden);Deutsche;weiblich;320
2003;1. Quartal;Zuzug;Sachsen (ohne Umland Dresden);Ausländer;männlich;40
2003;1. Quartal;Zuzug;Sachsen (ohne Umland Dresden);Ausländer;weiblich;41
2003;1. Quartal;Zuzug;Umland Dresden;Deutsche;männlich;606
2003;1. Quartal;Zuzug;Umland Dresden;Deutsche;weiblich;653
2003;1. Quartal;Zuzug;Umland Dresden;Ausländer;männlich;33
2003;1. Quartal;Zuzug;Umland Dresden;Ausländer;weiblich;16
2003;1. Quartal;Fortzug;unbekannt;Deutsche;männlich;206
2003;1. Quartal;Fortzug;unbekannt;Deutsche;weiblich;74
2003;1. Quartal;Fortzug;unbekannt;Ausländer;männlich;194
2003;1. Quartal;Fortzug;unbekannt;Ausländer;weiblich;57
2003;1. Quartal;Fortzug;Ausland;Deutsche;männlich;58
2003;1. Quartal;Fortzug;Ausland;Deutsche;weiblich;45
2003;1. Quartal;Fortzug;Ausland;Ausländer;männlich;196
2003;1. Quartal;Fortzug;Ausland;Ausländer;weiblich;162
2003;1. Quartal;Fortzug;Alte Bundesländer (mit Berlin);Deutsche;männlich;574
2003;1. Quartal;Fortzug;Alte Bundesländer (mit Berlin);Deutsche;weiblich;567
2003;1. Quartal;Fortzug;Alte Bundesländer (mit Berlin);Ausländer;männlich;124
2003;1. Quartal;Fortzug;Alte Bundesländer (mit Berlin);Ausländer;weiblich;84
2003;1. Quartal;Fortzug;Neue Bundesländer (ohne Sachsen);Deutsche;männlich;239
2003;1. Quartal;Fortzug;Neue Bundesländer (ohne Sachsen);Deutsche;weiblich;232
2003;1. Quartal;Fortzug;Neue Bundesländer (ohne Sachsen);Ausländer;männlich;31
2003;1. Quartal;Fortzug;Neue Bundesländer (ohne Sachsen);Ausländer;weiblich;28
2003;1. Quartal;Fortzug;Sachsen (ohne Umland Dresden);Deutsche;männlich;192
2003;1. Quartal;Fortzug;Sachsen (ohne Umland Dresden);Deutsche;weiblich;183
2003;1. Quartal;Fortzug;Sachsen (ohne Umland Dresden);Ausländer;männlich;17
2003;1. Quartal;Fortzug;Sachsen (ohne Umland Dresden);Ausländer;weiblich;11
2003;1. Quartal;Fortzug;Umland Dresden;Deutsche;männlich;607
2003;1. Quartal;Fortzug;Umland Dresden;Deutsche;weiblich;645
2003;1. Quartal;Fortzug;Umland Dresden;Ausländer;männlich;30
2003;1. Quartal;Fortzug;Umland Dresden;Ausländer;weiblich;15
2003;1. Quartal;Umzug;Innerhalb Dresdens;Deutsche;männlich;5465
2003;1. Quartal;Umzug;Innerhalb Dresdens;Deutsche;weiblich;5373
2003;1. Quartal;Umzug;Innerhalb Dresdens;Ausländer;männlich;486
2003;1. Quartal;Umzug;Innerhalb Dresdens;Ausländer;weiblich;348
2003;2. Quartal;Zuzug;unbekannt;Deutsche;männlich;51
2003;2. Quartal;Zuzug;unbekannt;Deutsche;weiblich;9
2003;2. Quartal;Zuzug;unbekannt;Ausländer;männlich;8
