Jahr;Stadtraum;Stadtbezirk mit zugeordneten Ortschaften;AltK_03A__-17-64-;Migrationshintergrund M2 (aggregiert);Anzahl Einwohner
2022;01 StB Altstadt ohne Johannstadt;StB 0 Altstadt;00 - 17 Jahre;Deutsche ohne Migrationshintergrund;2215
2022;01 StB Altstadt ohne Johannstadt;StB 0 Altstadt;00 - 17 Jahre;Deutsche mit Migrationshintergrund;1057
2022;01 StB Altstadt ohne Johannstadt;StB 0 Altstadt;00 - 17 Jahre;Ausländer;1653
2022;01 StB Altstadt ohne Johannstadt;StB 0 Altstadt;18 - 64 Jahre;Deutsche ohne Migrationshintergrund;16456
2022;01 StB Altstadt ohne Johannstadt;StB 0 Altstadt;18 - 64 Jahre;Deutsche mit Migrationshintergrund;1706
2022;01 StB Altstadt ohne Johannstadt;StB 0 Altstadt;18 - 64 Jahre;Ausländer;8021
2022;01 StB Altstadt ohne Johannstadt;StB 0 Altstadt;65 Jahre u.älter;Deutsche ohne Migrationshintergrund;7284
2022;01 StB Altstadt ohne Johannstadt;StB 0 Altstadt;65 Jahre u.älter;Deutsche mit Migrationshintergrund;295
2022;01 StB Altstadt ohne Johannstadt;StB 0 Altstadt;65 Jahre u.älter;Ausländer;354
2022;02 Johannstadt;StB 0 Altstadt;00 - 17 Jahre;Deutsche ohne Migrationshintergrund;2021
2022;02 Johannstadt;StB 0 Altstadt;00 - 17 Jahre;Deutsche mit Migrationshintergrund;655
2022;02 Johannstadt;StB 0 Altstadt;00 - 17 Jahre;Ausländer;1061
2022;02 Johannstadt;StB 0 Altstadt;18 - 64 Jahre;Deutsche ohne Migrationshintergrund;9543
2022;02 Johannstadt;StB 0 Altstadt;18 - 64 Jahre;Deutsche mit Migrationshintergrund;989
2022;02 Johannstadt;StB 0 Altstadt;18 - 64 Jahre;Ausländer;3199
2022;02 Johannstadt;StB 0 Altstadt;65 Jahre u.älter;Deutsche ohne Migrationshintergrund;7548
2022;02 Johannstadt;StB 0 Altstadt;65 Jahre u.älter;Deutsche mit Migrationshintergrund;271
2022;02 Johannstadt;StB 0 Altstadt;65 Jahre u.älter;Ausländer;236
2022;03 StB Neustadt ohne Leipziger Vorstadt;StB 1 Neustadt;00 - 17 Jahre;Deutsche ohne Migrationshintergrund;5610
2022;03 StB Neustadt ohne Leipziger Vorstadt;StB 1 Neustadt;00 - 17 Jahre;Deutsche mit Migrationshintergrund;1051
2022;03 StB Neustadt ohne Leipziger Vorstadt;StB 1 Neustadt;00 - 17 Jahre;Ausländer;961
2022;03 StB Neustadt ohne Leipziger Vorstadt;StB 1 Neustadt;18 - 64 Jahre;Deutsche ohne Migrationshintergrund;21631
2022;03 StB Neustadt ohne Leipziger Vorstadt;StB 1 Neustadt;18 - 64 Jahre;Deutsche mit Migrationshintergrund;1259
2022;03 StB Neustadt ohne Leipziger Vorstadt;StB 1 Neustadt;18 - 64 Jahre;Ausländer;4629
2022;03 StB Neustadt ohne Leipziger Vorstadt;StB 1 Neustadt;65 Jahre u.älter;Deutsche ohne Migrationshintergrund;3850
2022;03 StB Neustadt ohne Leipziger Vorstadt;StB 1 Neustadt;65 Jahre u.älter;Deutsche mit Migrationshintergrund;107
2022;03 StB Neustadt ohne Leipziger Vorstadt;StB 1 Neustadt;65 Jahre u.älter;Ausländer;208
2022;04 Leipziger Vorstadt, Pieschen;StB 1 Neustadt;00 - 17 Jahre;Deutsche ohne Migrationshintergrund;2098
2022;04 Leipziger Vorstadt, Pieschen;StB 1 Neustadt;00 - 17 Jahre;Deutsche mit Migrationshintergrund;286
2022;04 Leipziger Vorstadt, Pieschen;StB 1 Neustadt;00 - 17 Jahre;Ausländer;143
2022;04 Leipziger Vorstadt, Pieschen;StB 1 Neustadt;18 - 64 Jahre;Deutsche ohne Migrationshintergrund;8572
2022;04 Leipziger Vorstadt, Pieschen;StB 1 Neustadt;18 - 64 Jahre;Deutsche mit Migrationshintergrund;357
2022;04 Leipziger Vorstadt, Pieschen;StB 1 Neustadt;18 - 64 Jahre;Ausländer;922
2022;04 Leipziger Vorstadt, Pieschen;StB 1 Neustadt;65 Jahre u.älter;Deutsche ohne Migrationshintergrund;879
2022;04 Leipziger Vorstadt, Pieschen;StB 1 Neustadt;65 Jahre u.älter;Deutsche mit Migrationshintergrund;32
2022;04 Leipziger Vorstadt, Pieschen;StB 1 Neustadt;65 Jahre u.älter;Ausländer;37
2022;04 Leipziger Vorstadt, Pieschen;StB 2 Pieschen;00 - 17 Jahre;Deutsche ohne Migrationshintergrund;3884
