Jahr;Stadtbezirk mit zugeordneten Ortschaften;Stadtraum;Alter in Jahren bis 85 (über 85-Jährige werden Jahrgang 85 zugeordnet);Anzahl Einwohner
2015;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;0 Jahre;294
2015;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;1 Jahre;234
2015;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;2 Jahre;250
2015;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;3 Jahre;215
2015;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;4 Jahre;202
2015;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;5 Jahre;181
2015;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;6 Jahre;183
2015;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;7 Jahre;172
2015;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;8 Jahre;139
2015;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;9 Jahre;147
2015;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;10 Jahre;122
2015;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;11 Jahre;127
2015;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;12 Jahre;135
2015;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;13 Jahre;100
2015;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;14 Jahre;119
2015;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;15 Jahre;119
2015;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;16 Jahre;161
2015;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;17 Jahre;164
2015;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;18 Jahre;290
2015;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;19 Jahre;494
2015;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;20 Jahre;657
2015;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;21 Jahre;751
2015;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;22 Jahre;722
2015;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;23 Jahre;792
2015;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;24 Jahre;826
2015;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;25 Jahre;1053
2015;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;26 Jahre;1053
2015;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;27 Jahre;911
2015;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;28 Jahre;801
2015;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;29 Jahre;695
2015;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;30 Jahre;696
2015;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;31 Jahre;604
2015;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;32 Jahre;572
2015;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;33 Jahre;488
2015;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;34 Jahre;431
2015;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;35 Jahre;448
2015;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;36 Jahre;397
2015;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;37 Jahre;327
2015;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;38 Jahre;318
2015;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;39 Jahre;247
2015;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;40 Jahre;246
2015;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;41 Jahre;216
2015;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;42 Jahre;189
2015;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;43 Jahre;214
2015;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;44 Jahre;250
2015;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;45 Jahre;237
2015;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;46 Jahre;243
2015;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;47 Jahre;231
2015;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;48 Jahre;228
2015;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;49 Jahre;265
2015;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;50 Jahre;286
2015;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;51 Jahre;288
2015;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;52 Jahre;287
2015;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;53 Jahre;267
2015;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;54 Jahre;282
2015;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;55 Jahre;332
2015;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;56 Jahre;287
2015;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;57 Jahre;271
2015;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;58 Jahre;258
2015;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;59 Jahre;277
2015;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;60 Jahre;263
2015;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;61 Jahre;271
2015;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;62 Jahre;220
2015;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;63 Jahre;243
2015;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;64 Jahre;247
2015;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;65 Jahre;226
2015;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;66 Jahre;240
2015;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;67 Jahre;182
2015;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;68 Jahre;191
2015;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;69 Jahre;158
2015;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;70 Jahre;178
2015;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;71 Jahre;274
2015;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;72 Jahre;266
2015;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;73 Jahre;287
2015;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;74 Jahre;362
2015;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;75 Jahre;429
2015;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;76 Jahre;481
2015;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;77 Jahre;527
2015;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;78 Jahre;583
2015;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;79 Jahre;507
2015;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;80 Jahre;580
2015;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;81 Jahre;523
2015;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;82 Jahre;356
2015;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;83 Jahre;325
2015;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;84 Jahre;279
2015;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;85 Jahre u.älter;1772
2015;StB 0 Altstadt;02 Johannstadt;0 Jahre;208
2015;StB 0 Altstadt;02 Johannstadt;1 Jahre;232
2015;StB 0 Altstadt;02 Johannstadt;2 Jahre;209
2015;StB 0 Altstadt;02 Johannstadt;3 Jahre;195
2015;StB 0 Altstadt;02 Johannstadt;4 Jahre;213
2015;StB 0 Altstadt;02 Johannstadt;5 Jahre;172
2015;StB 0 Altstadt;02 Johannstadt;6 Jahre;179
2015;StB 0 Altstadt;02 Johannstadt;7 Jahre;137
2015;StB 0 Altstadt;02 Johannstadt;8 Jahre;161
2015;StB 0 Altstadt;02 Johannstadt;9 Jahre;159
2015;StB 0 Altstadt;02 Johannstadt;10 Jahre;125
2015;StB 0 Altstadt;02 Johannstadt;11 Jahre;160
2015;StB 0 Altstadt;02 Johannstadt;12 Jahre;113
2015;StB 0 Altstadt;02 Johannstadt;13 Jahre;123
2015;StB 0 Altstadt;02 Johannstadt;14 Jahre;106
2015;StB 0 Altstadt;02 Johannstadt;15 Jahre;110
2015;StB 0 Altstadt;02 Johannstadt;16 Jahre;114
2015;StB 0 Altstadt;02 Johannstadt;17 Jahre;108
2015;StB 0 Altstadt;02 Johannstadt;18 Jahre;161
2015;StB 0 Altstadt;02 Johannstadt;19 Jahre;233
2015;StB 0 Altstadt;02 Johannstadt;20 Jahre;256
2015;StB 0 Altstadt;02 Johannstadt;21 Jahre;259
2015;StB 0 Altstadt;02 Johannstadt;22 Jahre;308
2015;StB 0 Altstadt;02 Johannstadt;23 Jahre;309
2015;StB 0 Altstadt;02 Johannstadt;24 Jahre;367
2015;StB 0 Altstadt;02 Johannstadt;25 Jahre;485
2015;StB 0 Altstadt;02 Johannstadt;26 Jahre;467
2015;StB 0 Altstadt;02 Johannstadt;27 Jahre;478
2015;StB 0 Altstadt;02 Johannstadt;28 Jahre;424
2015;StB 0 Altstadt;02 Johannstadt;29 Jahre;411
2015;StB 0 Altstadt;02 Johannstadt;30 Jahre;400
2015;StB 0 Altstadt;02 Johannstadt;31 Jahre;385
2015;StB 0 Altstadt;02 Johannstadt;32 Jahre;344
2015;StB 0 Altstadt;02 Johannstadt;33 Jahre;319
2015;StB 0 Altstadt;02 Johannstadt;34 Jahre;316
2015;StB 0 Altstadt;02 Johannstadt;35 Jahre;282
2015;StB 0 Altstadt;02 Johannstadt;36 Jahre;293
2015;StB 0 Altstadt;02 Johannstadt;37 Jahre;241
2015;StB 0 Altstadt;02 Johannstadt;38 Jahre;261
2015;StB 0 Altstadt;02 Johannstadt;39 Jahre;209
2015;StB 0 Altstadt;02 Johannstadt;40 Jahre;206
2015;StB 0 Altstadt;02 Johannstadt;41 Jahre;193
2015;StB 0 Altstadt;02 Johannstadt;42 Jahre;194
2015;StB 0 Altstadt;02 Johannstadt;43 Jahre;222
2015;StB 0 Altstadt;02 Johannstadt;44 Jahre;217
2015;StB 0 Altstadt;02 Johannstadt;45 Jahre;248
2015;StB 0 Altstadt;02 Johannstadt;46 Jahre;220
2015;StB 0 Altstadt;02 Johannstadt;47 Jahre;202
2015;StB 0 Altstadt;02 Johannstadt;48 Jahre;228
2015;StB 0 Altstadt;02 Johannstadt;49 Jahre;229
2015;StB 0 Altstadt;02 Johannstadt;50 Jahre;242
2015;StB 0 Altstadt;02 Johannstadt;51 Jahre;248
2015;StB 0 Altstadt;02 Johannstadt;52 Jahre;206
2015;StB 0 Altstadt;02 Johannstadt;53 Jahre;260
2015;StB 0 Altstadt;02 Johannstadt;54 Jahre;222
2015;StB 0 Altstadt;02 Johannstadt;55 Jahre;226
2015;StB 0 Altstadt;02 Johannstadt;56 Jahre;222
2015;StB 0 Altstadt;02 Johannstadt;57 Jahre;198
2015;StB 0 Altstadt;02 Johannstadt;58 Jahre;199
2015;StB 0 Altstadt;02 Johannstadt;59 Jahre;198
2015;StB 0 Altstadt;02 Johannstadt;60 Jahre;245
2015;StB 0 Altstadt;02 Johannstadt;61 Jahre;241
2015;StB 0 Altstadt;02 Johannstadt;62 Jahre;226
2015;StB 0 Altstadt;02 Johannstadt;63 Jahre;248
2015;StB 0 Altstadt;02 Johannstadt;64 Jahre;259
2015;StB 0 Altstadt;02 Johannstadt;65 Jahre;284
2015;StB 0 Altstadt;02 Johannstadt;66 Jahre;303
2015;StB 0 Altstadt;02 Johannstadt;67 Jahre;233
2015;StB 0 Altstadt;02 Johannstadt;68 Jahre;293
2015;StB 0 Altstadt;02 Johannstadt;69 Jahre;232
