Jahr;Stadtteil zus.;Stadtbezirk mit zugeordneten Ortschaften;Familienstand;Geschlecht;Anzahl Einwohner
2019;01 Innere Altstadt;StB 0 Altstadt;ledig;männlich;539
2019;01 Innere Altstadt;StB 0 Altstadt;ledig;weiblich;407
2019;01 Innere Altstadt;StB 0 Altstadt;verheiratet;männlich;293
2019;01 Innere Altstadt;StB 0 Altstadt;verheiratet;weiblich;283
2019;01 Innere Altstadt;StB 0 Altstadt;verwitwet;männlich;39
2019;01 Innere Altstadt;StB 0 Altstadt;verwitwet;weiblich;137
2019;01 Innere Altstadt;StB 0 Altstadt;geschieden;männlich;35
2019;01 Innere Altstadt;StB 0 Altstadt;geschieden;weiblich;72
2019;02 Pirnaische Vorstadt;StB 0 Altstadt;ledig;männlich;1797
2019;02 Pirnaische Vorstadt;StB 0 Altstadt;ledig;weiblich;1401
2019;02 Pirnaische Vorstadt;StB 0 Altstadt;verheiratet;männlich;780
2019;02 Pirnaische Vorstadt;StB 0 Altstadt;verheiratet;weiblich;775
2019;02 Pirnaische Vorstadt;StB 0 Altstadt;verwitwet;männlich;86
2019;02 Pirnaische Vorstadt;StB 0 Altstadt;verwitwet;weiblich;488
2019;02 Pirnaische Vorstadt;StB 0 Altstadt;geschieden;männlich;208
2019;02 Pirnaische Vorstadt;StB 0 Altstadt;geschieden;weiblich;324
2019;03 Seevorstadt-Ost;StB 0 Altstadt;ledig;männlich;2747
2019;03 Seevorstadt-Ost;StB 0 Altstadt;ledig;weiblich;1897
2019;03 Seevorstadt-Ost;StB 0 Altstadt;verheiratet;männlich;1147
2019;03 Seevorstadt-Ost;StB 0 Altstadt;verheiratet;weiblich;1139
2019;03 Seevorstadt-Ost;StB 0 Altstadt;verwitwet;männlich;131
2019;03 Seevorstadt-Ost;StB 0 Altstadt;verwitwet;weiblich;589
2019;03 Seevorstadt-Ost;StB 0 Altstadt;geschieden;männlich;247
2019;03 Seevorstadt-Ost;StB 0 Altstadt;geschieden;weiblich;363
2019;04 Wilsdruffer Vs./Seevs.-West;StB 0 Altstadt;ledig;männlich;2626
2019;04 Wilsdruffer Vs./Seevs.-West;StB 0 Altstadt;ledig;weiblich;2046
2019;04 Wilsdruffer Vs./Seevs.-West;StB 0 Altstadt;verheiratet;männlich;1546
2019;04 Wilsdruffer Vs./Seevs.-West;StB 0 Altstadt;verheiratet;weiblich;1520
2019;04 Wilsdruffer Vs./Seevs.-West;StB 0 Altstadt;verwitwet;männlich;178
2019;04 Wilsdruffer Vs./Seevs.-West;StB 0 Altstadt;verwitwet;weiblich;779
2019;04 Wilsdruffer Vs./Seevs.-West;StB 0 Altstadt;geschieden;männlich;333
2019;04 Wilsdruffer Vs./Seevs.-West;StB 0 Altstadt;geschieden;weiblich;575
2019;05 Friedrichstadt;StB 0 Altstadt;ledig;männlich;4260
2019;05 Friedrichstadt;StB 0 Altstadt;ledig;weiblich;2843
2019;05 Friedrichstadt;StB 0 Altstadt;verheiratet;männlich;981
2019;05 Friedrichstadt;StB 0 Altstadt;verheiratet;weiblich;941
2019;05 Friedrichstadt;StB 0 Altstadt;verwitwet;männlich;67
2019;05 Friedrichstadt;StB 0 Altstadt;verwitwet;weiblich;344
2019;05 Friedrichstadt;StB 0 Altstadt;geschieden;männlich;265
2019;05 Friedrichstadt;StB 0 Altstadt;geschieden;weiblich;337
2019;06 Johannstadt-Nord;StB 0 Altstadt;ledig;männlich;3212
2019;06 Johannstadt-Nord;StB 0 Altstadt;ledig;weiblich;2971
2019;06 Johannstadt-Nord;StB 0 Altstadt;verheiratet;männlich;2059
2019;06 Johannstadt-Nord;StB 0 Altstadt;verheiratet;weiblich;2077
2019;06 Johannstadt-Nord;StB 0 Altstadt;verwitwet;männlich;216
2019;06 Johannstadt-Nord;StB 0 Altstadt;verwitwet;weiblich;863
2019;06 Johannstadt-Nord;StB 0 Altstadt;geschieden;männlich;324
2019;06 Johannstadt-Nord;StB 0 Altstadt;geschieden;weiblich;587
2019;07 Johannstadt-Süd;StB 0 Altstadt;ledig;männlich;2463
2019;07 Johannstadt-Süd;StB 0 Altstadt;ledig;weiblich;2346
2019;07 Johannstadt-Süd;StB 0 Altstadt;verheiratet;männlich;2437
2019;07 Johannstadt-Süd;StB 0 Altstadt;verheiratet;weiblich;2459
2019;07 Johannstadt-Süd;StB 0 Altstadt;verwitwet;männlich;296
2019;07 Johannstadt-Süd;StB 0 Altstadt;verwitwet;weiblich;1227
2019;07 Johannstadt-Süd;StB 0 Altstadt;geschieden;männlich;349
2019;07 Johannstadt-Süd;StB 0 Altstadt;geschieden;weiblich;825
2019;11 Äußere Neustadt (Antonstadt);StB 1 Neustadt;ledig;männlich;7431
2019;11 Äußere Neustadt (Antonstadt);StB 1 Neustadt;ledig;weiblich;6295
2019;11 Äußere Neustadt (Antonstadt);StB 1 Neustadt;verheiratet;männlich;1675
2019;11 Äußere Neustadt (Antonstadt);StB 1 Neustadt;verheiratet;weiblich;1645
2019;11 Äußere Neustadt (Antonstadt);StB 1 Neustadt;verwitwet;männlich;60
2019;11 Äußere Neustadt (Antonstadt);StB 1 Neustadt;verwitwet;weiblich;231
2019;11 Äußere Neustadt (Antonstadt);StB 1 Neustadt;geschieden;männlich;440
2019;11 Äußere Neustadt (Antonstadt);StB 1 Neustadt;geschieden;weiblich;534
2019;12 Radeberger Vorstadt;StB 1 Neustadt;ledig;männlich;2823
2019;12 Radeberger Vorstadt;StB 1 Neustadt;ledig;weiblich;2375
2019;12 Radeberger Vorstadt;StB 1 Neustadt;verheiratet;männlich;1464
2019;12 Radeberger Vorstadt;StB 1 Neustadt;verheiratet;weiblich;1465
2019;12 Radeberger Vorstadt;StB 1 Neustadt;verwitwet;männlich;57
2019;12 Radeberger Vorstadt;StB 1 Neustadt;verwitwet;weiblich;237
2019;12 Radeberger Vorstadt;StB 1 Neustadt;geschieden;männlich;297
2019;12 Radeberger Vorstadt;StB 1 Neustadt;geschieden;weiblich;377
2019;13 Innere Neustadt;StB 1 Neustadt;ledig;männlich;2633
2019;13 Innere Neustadt;StB 1 Neustadt;ledig;weiblich;2161
2019;13 Innere Neustadt;StB 1 Neustadt;verheiratet;männlich;1133
2019;13 Innere Neustadt;StB 1 Neustadt;verheiratet;weiblich;1110
2019;13 Innere Neustadt;StB 1 Neustadt;verwitwet;männlich;72
2019;13 Innere Neustadt;StB 1 Neustadt;verwitwet;weiblich;296
2019;13 Innere Neustadt;StB 1 Neustadt;geschieden;männlich;211
2019;13 Innere Neustadt;StB 1 Neustadt;geschieden;weiblich;323
2019;14 Leipziger Vorstadt;StB 1 Neustadt;ledig;männlich;5143
2019;14 Leipziger Vorstadt;StB 1 Neustadt;ledig;weiblich;4171
2019;14 Leipziger Vorstadt;StB 1 Neustadt;verheiratet;männlich;1323
2019;14 Leipziger Vorstadt;StB 1 Neustadt;verheiratet;weiblich;1320
2019;14 Leipziger Vorstadt;StB 1 Neustadt;verwitwet;männlich;67
2019;14 Leipziger Vorstadt;StB 1 Neustadt;verwitwet;weiblich;209
2019;14 Leipziger Vorstadt;StB 1 Neustadt;geschieden;männlich;276
2019;14 Leipziger Vorstadt;StB 1 Neustadt;geschieden;weiblich;319
2019;15 Albertstadt;StB 1 Neustadt;ledig;männlich;1057
2019;15 Albertstadt;StB 1 Neustadt;ledig;weiblich;717
2019;15 Albertstadt;StB 1 Neustadt;verheiratet;männlich;495
2019;15 Albertstadt;StB 1 Neustadt;verheiratet;weiblich;464
2019;15 Albertstadt;StB 1 Neustadt;verwitwet;männlich;34
2019;15 Albertstadt;StB 1 Neustadt;verwitwet;weiblich;166
2019;15 Albertstadt;StB 1 Neustadt;geschieden;männlich;104
2019;15 Albertstadt;StB 1 Neustadt;geschieden;weiblich;98
2019;21 Pieschen-Süd;StB 2 Pieschen;ledig;männlich;4443
2019;21 Pieschen-Süd;StB 2 Pieschen;ledig;weiblich;3922
2019;21 Pieschen-Süd;StB 2 Pieschen;verheiratet;männlich;1423
2019;21 Pieschen-Süd;StB 2 Pieschen;verheiratet;weiblich;1412
2019;21 Pieschen-Süd;StB 2 Pieschen;verwitwet;männlich;52
