Jahr;Stadtteil zus.;Stadtbezirk mit zugeordneten Ortschaften;Familienstand;Geschlecht;Anzahl Einwohner
2023;01 Innere Altstadt;StB 0 Altstadt;ledig;männlich;880
2023;01 Innere Altstadt;StB 0 Altstadt;ledig;weiblich;661
2023;01 Innere Altstadt;StB 0 Altstadt;verheiratet;männlich;420
2023;01 Innere Altstadt;StB 0 Altstadt;verheiratet;weiblich;413
2023;01 Innere Altstadt;StB 0 Altstadt;verwitwet;männlich;28
2023;01 Innere Altstadt;StB 0 Altstadt;verwitwet;weiblich;147
2023;01 Innere Altstadt;StB 0 Altstadt;geschieden;männlich;67
2023;01 Innere Altstadt;StB 0 Altstadt;geschieden;weiblich;91
2023;02 Pirnaische Vorstadt;StB 0 Altstadt;ledig;männlich;2275
2023;02 Pirnaische Vorstadt;StB 0 Altstadt;ledig;weiblich;1636
2023;02 Pirnaische Vorstadt;StB 0 Altstadt;verheiratet;männlich;711
2023;02 Pirnaische Vorstadt;StB 0 Altstadt;verheiratet;weiblich;707
2023;02 Pirnaische Vorstadt;StB 0 Altstadt;verwitwet;männlich;86
2023;02 Pirnaische Vorstadt;StB 0 Altstadt;verwitwet;weiblich;466
2023;02 Pirnaische Vorstadt;StB 0 Altstadt;geschieden;männlich;208
2023;02 Pirnaische Vorstadt;StB 0 Altstadt;geschieden;weiblich;326
2023;03 Seevorstadt-Ost;StB 0 Altstadt;ledig;männlich;3025
2023;03 Seevorstadt-Ost;StB 0 Altstadt;ledig;weiblich;2220
2023;03 Seevorstadt-Ost;StB 0 Altstadt;verheiratet;männlich;1072
2023;03 Seevorstadt-Ost;StB 0 Altstadt;verheiratet;weiblich;1079
2023;03 Seevorstadt-Ost;StB 0 Altstadt;verwitwet;männlich;136
2023;03 Seevorstadt-Ost;StB 0 Altstadt;verwitwet;weiblich;535
2023;03 Seevorstadt-Ost;StB 0 Altstadt;geschieden;männlich;215
2023;03 Seevorstadt-Ost;StB 0 Altstadt;geschieden;weiblich;344
2023;04 Wilsdruffer Vs./Seevs.-West;StB 0 Altstadt;ledig;männlich;3137
2023;04 Wilsdruffer Vs./Seevs.-West;StB 0 Altstadt;ledig;weiblich;2576
2023;04 Wilsdruffer Vs./Seevs.-West;StB 0 Altstadt;verheiratet;männlich;1553
2023;04 Wilsdruffer Vs./Seevs.-West;StB 0 Altstadt;verheiratet;weiblich;1525
2023;04 Wilsdruffer Vs./Seevs.-West;StB 0 Altstadt;verwitwet;männlich;149
2023;04 Wilsdruffer Vs./Seevs.-West;StB 0 Altstadt;verwitwet;weiblich;755
2023;04 Wilsdruffer Vs./Seevs.-West;StB 0 Altstadt;geschieden;männlich;336
2023;04 Wilsdruffer Vs./Seevs.-West;StB 0 Altstadt;geschieden;weiblich;555
2023;05 Friedrichstadt;StB 0 Altstadt;ledig;männlich;4808
2023;05 Friedrichstadt;StB 0 Altstadt;ledig;weiblich;3624
2023;05 Friedrichstadt;StB 0 Altstadt;verheiratet;männlich;1077
2023;05 Friedrichstadt;StB 0 Altstadt;verheiratet;weiblich;1054
