Jahr;Stadtraum;Staatsangehörigkeit-1 Deutsche / Ausländer;Wohndauer in 6 Klassen;Wohndauer in Monaten;Anzahl Einwohner
1999;01 StB Altstadt ohne Johannstadt;Deutsche;00 bis unter 1 Jahr;15444;3144
1999;01 StB Altstadt ohne Johannstadt;Deutsche;01 bis unter 3 Jahre;114358;5211
1999;01 StB Altstadt ohne Johannstadt;Deutsche;03 bis unter 5 Jahre;105400;2247
1999;01 StB Altstadt ohne Johannstadt;Deutsche;05 bis unter 10 Jahre;278560;3104
1999;01 StB Altstadt ohne Johannstadt;Deutsche;10 bis unter 20 Jahre;604862;3571
1999;01 StB Altstadt ohne Johannstadt;Deutsche;20 Jahre und mehr;3548334;8633
1999;01 StB Altstadt ohne Johannstadt;Ausländer;00 bis unter 1 Jahr;4077;752
1999;01 StB Altstadt ohne Johannstadt;Ausländer;01 bis unter 3 Jahre;13680;664
1999;01 StB Altstadt ohne Johannstadt;Ausländer;03 bis unter 5 Jahre;5795;134
1999;01 StB Altstadt ohne Johannstadt;Ausländer;05 bis unter 10 Jahre;9726;108
1999;01 StB Altstadt ohne Johannstadt;Ausländer;10 bis unter 20 Jahre;5132;32
1999;01 StB Altstadt ohne Johannstadt;Ausländer;20 Jahre und mehr;5465;15
1999;02 Johannstadt;Deutsche;00 bis unter 1 Jahr;14696;2767
1999;02 Johannstadt;Deutsche;01 bis unter 3 Jahre;92188;4103
1999;02 Johannstadt;Deutsche;03 bis unter 5 Jahre;94534;2063
1999;02 Johannstadt;Deutsche;05 bis unter 10 Jahre;238949;2605
1999;02 Johannstadt;Deutsche;10 bis unter 20 Jahre;540026;3113
1999;02 Johannstadt;Deutsche;20 Jahre und mehr;2661625;7679
1999;02 Johannstadt;Ausländer;00 bis unter 1 Jahr;1430;318
1999;02 Johannstadt;Ausländer;01 bis unter 3 Jahre;5650;289
1999;02 Johannstadt;Ausländer;03 bis unter 5 Jahre;2679;63
1999;02 Johannstadt;Ausländer;05 bis unter 10 Jahre;5617;64
1999;02 Johannstadt;Ausländer;10 bis unter 20 Jahre;6178;39
