Jahr;Stadtraum;Staatsangehörigkeit-1 Deutsche / Ausländer;Wohndauer in 6 Klassen;Wohndauer in Monaten;Anzahl Einwohner
2014;01 StB Altstadt ohne Johannstadt;Deutsche;00 bis unter 1 Jahr;20233;4084
2014;01 StB Altstadt ohne Johannstadt;Deutsche;01 bis unter 3 Jahre;119877;5468
2014;01 StB Altstadt ohne Johannstadt;Deutsche;03 bis unter 5 Jahre;154694;3359
2014;01 StB Altstadt ohne Johannstadt;Deutsche;05 bis unter 10 Jahre;367862;4363
2014;01 StB Altstadt ohne Johannstadt;Deutsche;10 bis unter 20 Jahre;707720;4166
2014;01 StB Altstadt ohne Johannstadt;Deutsche;20 Jahre und mehr;2745263;5358
2014;01 StB Altstadt ohne Johannstadt;Ausländer;00 bis unter 1 Jahr;5981;1356
2014;01 StB Altstadt ohne Johannstadt;Ausländer;01 bis unter 3 Jahre;22137;1050
2014;01 StB Altstadt ohne Johannstadt;Ausländer;03 bis unter 5 Jahre;21648;478
2014;01 StB Altstadt ohne Johannstadt;Ausländer;05 bis unter 10 Jahre;39831;478
2014;01 StB Altstadt ohne Johannstadt;Ausländer;10 bis unter 20 Jahre;38867;258
2014;01 StB Altstadt ohne Johannstadt;Ausländer;20 Jahre und mehr;1701;5
2014;02 Johannstadt;Deutsche;00 bis unter 1 Jahr;11697;2317
2014;02 Johannstadt;Deutsche;01 bis unter 3 Jahre;76499;3346
2014;02 Johannstadt;Deutsche;03 bis unter 5 Jahre;123402;2663
2014;02 Johannstadt;Deutsche;05 bis unter 10 Jahre;337540;3869
2014;02 Johannstadt;Deutsche;10 bis unter 20 Jahre;749905;4417
2014;02 Johannstadt;Deutsche;20 Jahre und mehr;2426749;5206
2014;02 Johannstadt;Ausländer;00 bis unter 1 Jahr;3396;750
2014;02 Johannstadt;Ausländer;01 bis unter 3 Jahre;13906;649
2014;02 Johannstadt;Ausländer;03 bis unter 5 Jahre;16714;368
2014;02 Johannstadt;Ausländer;05 bis unter 10 Jahre;35974;412
2014;02 Johannstadt;Ausländer;10 bis unter 20 Jahre;21591;139
2014;02 Johannstadt;Ausländer;20 Jahre und mehr;7611;19
2014;03 StB Neustadt ohne Leipziger Vorstadt;Deutsche;00 bis unter 1 Jahr;26866;5249
2014;03 StB Neustadt ohne Leipziger Vorstadt;Deutsche;01 bis unter 3 Jahre;179645;7921
2014;03 StB Neustadt ohne Leipziger Vorstadt;Deutsche;03 bis unter 5 Jahre;256922;5581
2014;03 StB Neustadt ohne Leipziger Vorstadt;Deutsche;05 bis unter 10 Jahre;586863;6931
2014;03 StB Neustadt ohne Leipziger Vorstadt;Deutsche;10 bis unter 20 Jahre;991070;5848
2014;03 StB Neustadt ohne Leipziger Vorstadt;Deutsche;20 Jahre und mehr;791959;1898
2014;03 StB Neustadt ohne Leipziger Vorstadt;Ausländer;00 bis unter 1 Jahr;4290;962
2014;03 StB Neustadt ohne Leipziger Vorstadt;Ausländer;01 bis unter 3 Jahre;18451;866
2014;03 StB Neustadt ohne Leipziger Vorstadt;Ausländer;03 bis unter 5 Jahre;18477;407
2014;03 StB Neustadt ohne Leipziger Vorstadt;Ausländer;05 bis unter 10 Jahre;42078;510
2014;03 StB Neustadt ohne Leipziger Vorstadt;Ausländer;10 bis unter 20 Jahre;35390;228
2014;03 StB Neustadt ohne Leipziger Vorstadt;Ausländer;20 Jahre und mehr;3636;10
2014;04 Leipziger Vorstadt, Pieschen;Deutsche;00 bis unter 1 Jahr;27216;5146
2014;04 Leipziger Vorstadt, Pieschen;Deutsche;01 bis unter 3 Jahre;185829;8194
2014;04 Leipziger Vorstadt, Pieschen;Deutsche;03 bis unter 5 Jahre;261307;5606
2014;04 Leipziger Vorstadt, Pieschen;Deutsche;05 bis unter 10 Jahre;627147;7413
2014;04 Leipziger Vorstadt, Pieschen;Deutsche;10 bis unter 20 Jahre;1045752;6180
2014;04 Leipziger Vorstadt, Pieschen;Deutsche;20 Jahre und mehr;1018577;2221
2014;04 Leipziger Vorstadt, Pieschen;Ausländer;00 bis unter 1 Jahr;2957;636
2014;04 Leipziger Vorstadt, Pieschen;Ausländer;01 bis unter 3 Jahre;12122;547
2014;04 Leipziger Vorstadt, Pieschen;Ausländer;03 bis unter 5 Jahre;12548;273
2014;04 Leipziger Vorstadt, Pieschen;Ausländer;05 bis unter 10 Jahre;27186;315
2014;04 Leipziger Vorstadt, Pieschen;Ausländer;10 bis unter 20 Jahre;27377;176
2014;04 Leipziger Vorstadt, Pieschen;Ausländer;20 Jahre und mehr;2463;8
2014;05 Mickten, Kaditz, Trachau;Deutsche;00 bis unter 1 Jahr;15694;2915
2014;05 Mickten, Kaditz, Trachau;Deutsche;01 bis unter 3 Jahre;110187;4787
2014;05 Mickten, Kaditz, Trachau;Deutsche;03 bis unter 5 Jahre;174718;3736
2014;05 Mickten, Kaditz, Trachau;Deutsche;05 bis unter 10 Jahre;472993;5490
2014;05 Mickten, Kaditz, Trachau;Deutsche;10 bis unter 20 Jahre;1193310;6868
2014;05 Mickten, Kaditz, Trachau;Deutsche;20 Jahre und mehr;1899349;4056
2014;05 Mickten, Kaditz, Trachau;Ausländer;00 bis unter 1 Jahr;1199;273
2014;05 Mickten, Kaditz, Trachau;Ausländer;01 bis unter 3 Jahre;6045;289
2014;05 Mickten, Kaditz, Trachau;Ausländer;03 bis unter 5 Jahre;5001;108
2014;05 Mickten, Kaditz, Trachau;Ausländer;05 bis unter 10 Jahre;12414;146
2014;05 Mickten, Kaditz, Trachau;Ausländer;10 bis unter 20 Jahre;12706;82
2014;05 Mickten, Kaditz, Trachau;Ausländer;20 Jahre und mehr;4526;12
2014;06 StB Klotzsche und nördliche OS;Deutsche;00 bis unter 1 Jahr;12469;2315
