Jahresquartal;Stadtraum;Stadtbezirk mit zugeordneten Ortschaften;AltK_13IRB-2-5-9-14-17-24-29-44-59-64-74-84-;Geschlecht;Anzahl Einwohner
20041;01 StB Altstadt ohne Johannstadt;StB 0 Altstadt;00 - 02 Jahre;männlich;210
20041;01 StB Altstadt ohne Johannstadt;StB 0 Altstadt;00 - 02 Jahre;weiblich;200
20041;01 StB Altstadt ohne Johannstadt;StB 0 Altstadt;03 - 05 Jahre;männlich;154
20041;01 StB Altstadt ohne Johannstadt;StB 0 Altstadt;03 - 05 Jahre;weiblich;160
20041;01 StB Altstadt ohne Johannstadt;StB 0 Altstadt;06 - 09 Jahre;männlich;175
20041;01 StB Altstadt ohne Johannstadt;StB 0 Altstadt;06 - 09 Jahre;weiblich;159
20041;01 StB Altstadt ohne Johannstadt;StB 0 Altstadt;10 - 14 Jahre;männlich;292
20041;01 StB Altstadt ohne Johannstadt;StB 0 Altstadt;10 - 14 Jahre;weiblich;259
20041;01 StB Altstadt ohne Johannstadt;StB 0 Altstadt;15 - 17 Jahre;männlich;287
20041;01 StB Altstadt ohne Johannstadt;StB 0 Altstadt;15 - 17 Jahre;weiblich;274
20041;01 StB Altstadt ohne Johannstadt;StB 0 Altstadt;18 - 24 Jahre;männlich;1405
20041;01 StB Altstadt ohne Johannstadt;StB 0 Altstadt;18 - 24 Jahre;weiblich;1346
20041;01 StB Altstadt ohne Johannstadt;StB 0 Altstadt;25 - 29 Jahre;männlich;903
20041;01 StB Altstadt ohne Johannstadt;StB 0 Altstadt;25 - 29 Jahre;weiblich;732
20041;01 StB Altstadt ohne Johannstadt;StB 0 Altstadt;30 - 44 Jahre;männlich;2207
20041;01 StB Altstadt ohne Johannstadt;StB 0 Altstadt;30 - 44 Jahre;weiblich;1643
20041;01 StB Altstadt ohne Johannstadt;StB 0 Altstadt;45 - 59 Jahre;männlich;1689
20041;01 StB Altstadt ohne Johannstadt;StB 0 Altstadt;45 - 59 Jahre;weiblich;1660
20041;01 StB Altstadt ohne Johannstadt;StB 0 Altstadt;60 - 64 Jahre;männlich;739
20041;01 StB Altstadt ohne Johannstadt;StB 0 Altstadt;60 - 64 Jahre;weiblich;1153
20041;01 StB Altstadt ohne Johannstadt;StB 0 Altstadt;65 - 74 Jahre;männlich;2377
20041;01 StB Altstadt ohne Johannstadt;StB 0 Altstadt;65 - 74 Jahre;weiblich;3178
20041;01 StB Altstadt ohne Johannstadt;StB 0 Altstadt;75 - 84 Jahre;männlich;882
20041;01 StB Altstadt ohne Johannstadt;StB 0 Altstadt;75 - 84 Jahre;weiblich;2092
20041;01 StB Altstadt ohne Johannstadt;StB 0 Altstadt;85 Jahre u.älter;männlich;183
20041;01 StB Altstadt ohne Johannstadt;StB 0 Altstadt;85 Jahre u.älter;weiblich;886
20041;02 Johannstadt;StB 0 Altstadt;00 - 02 Jahre;männlich;192
20041;02 Johannstadt;StB 0 Altstadt;00 - 02 Jahre;weiblich;196
20041;02 Johannstadt;StB 0 Altstadt;03 - 05 Jahre;männlich;206
20041;02 Johannstadt;StB 0 Altstadt;03 - 05 Jahre;weiblich;170
20041;02 Johannstadt;StB 0 Altstadt;06 - 09 Jahre;männlich;223
20041;02 Johannstadt;StB 0 Altstadt;06 - 09 Jahre;weiblich;207
20041;02 Johannstadt;StB 0 Altstadt;10 - 14 Jahre;männlich;346
20041;02 Johannstadt;StB 0 Altstadt;10 - 14 Jahre;weiblich;320
20041;02 Johannstadt;StB 0 Altstadt;15 - 17 Jahre;männlich;277
20041;02 Johannstadt;StB 0 Altstadt;15 - 17 Jahre;weiblich;271
20041;02 Johannstadt;StB 0 Altstadt;18 - 24 Jahre;männlich;884
20041;02 Johannstadt;StB 0 Altstadt;18 - 24 Jahre;weiblich;867
20041;02 Johannstadt;StB 0 Altstadt;25 - 29 Jahre;männlich;689
20041;02 Johannstadt;StB 0 Altstadt;25 - 29 Jahre;weiblich;657
20041;02 Johannstadt;StB 0 Altstadt;30 - 44 Jahre;männlich;1924
20041;02 Johannstadt;StB 0 Altstadt;30 - 44 Jahre;weiblich;1823
20041;02 Johannstadt;StB 0 Altstadt;45 - 59 Jahre;männlich;1529
20041;02 Johannstadt;StB 0 Altstadt;45 - 59 Jahre;weiblich;2023
20041;02 Johannstadt;StB 0 Altstadt;60 - 64 Jahre;männlich;1126
20041;02 Johannstadt;StB 0 Altstadt;60 - 64 Jahre;weiblich;1336
20041;02 Johannstadt;StB 0 Altstadt;65 - 74 Jahre;männlich;1833
20041;02 Johannstadt;StB 0 Altstadt;65 - 74 Jahre;weiblich;2288
20041;02 Johannstadt;StB 0 Altstadt;75 - 84 Jahre;männlich;702
20041;02 Johannstadt;StB 0 Altstadt;75 - 84 Jahre;weiblich;1546
20041;02 Johannstadt;StB 0 Altstadt;85 Jahre u.älter;männlich;141
20041;02 Johannstadt;StB 0 Altstadt;85 Jahre u.älter;weiblich;626
20041;03 StB Neustadt ohne Leipziger Vorstadt;StB 1 Neustadt;00 - 02 Jahre;männlich;476
20041;03 StB Neustadt ohne Leipziger Vorstadt;StB 1 Neustadt;00 - 02 Jahre;weiblich;535
20041;03 StB Neustadt ohne Leipziger Vorstadt;StB 1 Neustadt;03 - 05 Jahre;männlich;429
20041;03 StB Neustadt ohne Leipziger Vorstadt;StB 1 Neustadt;03 - 05 Jahre;weiblich;403
20041;03 StB Neustadt ohne Leipziger Vorstadt;StB 1 Neustadt;06 - 09 Jahre;männlich;316
20041;03 StB Neustadt ohne Leipziger Vorstadt;StB 1 Neustadt;06 - 09 Jahre;weiblich;327
20041;03 StB Neustadt ohne Leipziger Vorstadt;StB 1 Neustadt;10 - 14 Jahre;männlich;455
20041;03 StB Neustadt ohne Leipziger Vorstadt;StB 1 Neustadt;10 - 14 Jahre;weiblich;402
20041;03 StB Neustadt ohne Leipziger Vorstadt;StB 1 Neustadt;15 - 17 Jahre;männlich;359
20041;03 StB Neustadt ohne Leipziger Vorstadt;StB 1 Neustadt;15 - 17 Jahre;weiblich;336
20041;03 StB Neustadt ohne Leipziger Vorstadt;StB 1 Neustadt;18 - 24 Jahre;männlich;1730
20041;03 StB Neustadt ohne Leipziger Vorstadt;StB 1 Neustadt;18 - 24 Jahre;weiblich;1923
20041;03 StB Neustadt ohne Leipziger Vorstadt;StB 1 Neustadt;25 - 29 Jahre;männlich;1981
20041;03 StB Neustadt ohne Leipziger Vorstadt;StB 1 Neustadt;25 - 29 Jahre;weiblich;1962
20041;03 StB Neustadt ohne Leipziger Vorstadt;StB 1 Neustadt;30 - 44 Jahre;männlich;4720
20041;03 StB Neustadt ohne Leipziger Vorstadt;StB 1 Neustadt;30 - 44 Jahre;weiblich;3436
20041;03 StB Neustadt ohne Leipziger Vorstadt;StB 1 Neustadt;45 - 59 Jahre;männlich;1712
20041;03 StB Neustadt ohne Leipziger Vorstadt;StB 1 Neustadt;45 - 59 Jahre;weiblich;1670
20041;03 StB Neustadt ohne Leipziger Vorstadt;StB 1 Neustadt;60 - 64 Jahre;männlich;573
20041;03 StB Neustadt ohne Leipziger Vorstadt;StB 1 Neustadt;60 - 64 Jahre;weiblich;581
20041;03 StB Neustadt ohne Leipziger Vorstadt;StB 1 Neustadt;65 - 74 Jahre;männlich;721
20041;03 StB Neustadt ohne Leipziger Vorstadt;StB 1 Neustadt;65 - 74 Jahre;weiblich;932
20041;03 StB Neustadt ohne Leipziger Vorstadt;StB 1 Neustadt;75 - 84 Jahre;männlich;273
20041;03 StB Neustadt ohne Leipziger Vorstadt;StB 1 Neustadt;75 - 84 Jahre;weiblich;731
20041;03 StB Neustadt ohne Leipziger Vorstadt;StB 1 Neustadt;85 Jahre u.älter;männlich;58
20041;03 StB Neustadt ohne Leipziger Vorstadt;StB 1 Neustadt;85 Jahre u.älter;weiblich;282
20041;04 Leipziger Vorstadt, Pieschen;StB 1 Neustadt;00 - 02 Jahre;männlich;159
20041;04 Leipziger Vorstadt, Pieschen;StB 1 Neustadt;00 - 02 Jahre;weiblich;159
20041;04 Leipziger Vorstadt, Pieschen;StB 1 Neustadt;03 - 05 Jahre;männlich;127
20041;04 Leipziger Vorstadt, Pieschen;StB 1 Neustadt;03 - 05 Jahre;weiblich;111
20041;04 Leipziger Vorstadt, Pieschen;StB 1 Neustadt;06 - 09 Jahre;männlich;91
20041;04 Leipziger Vorstadt, Pieschen;StB 1 Neustadt;06 - 09 Jahre;weiblich;103
20041;04 Leipziger Vorstadt, Pieschen;StB 1 Neustadt;10 - 14 Jahre;männlich;153
