Jahr;Stadtbezirk mit zugeordneten Ortschaften;Stadtraum;Geschlecht;Geborene
1999;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;männlich;100
1999;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;weiblich;64
1999;StB 0 Altstadt;02 Johannstadt;männlich;60
1999;StB 0 Altstadt;02 Johannstadt;weiblich;73
1999;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;männlich;171
1999;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;weiblich;135
1999;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;männlich;48
1999;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;weiblich;38
1999;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;männlich;90
1999;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;weiblich;79
1999;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;männlich;101
1999;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;weiblich;93
1999;StB 3 Klotzsche/nördliche Ortschaften;06 StB Klotzsche und nördliche OS;männlich;98
1999;StB 3 Klotzsche/nördliche Ortschaften;06 StB Klotzsche und nördliche OS;weiblich;88
1999;StB 4 Loschwitz/OS Schönfeld-Weißig;07 StB Loschwitz und OS Schönfeld-Weißig;männlich;118
1999;StB 4 Loschwitz/OS Schönfeld-Weißig;07 StB Loschwitz und OS Schönfeld-Weißig;weiblich;109
1999;StB 5 Blasewitz;08 Blasewitz, Striesen;männlich;187
1999;StB 5 Blasewitz;08 Blasewitz, Striesen;weiblich;168
1999;StB 5 Blasewitz;09 Tolkewitz, Seidnitz, Gruna;männlich;122
1999;StB 5 Blasewitz;09 Tolkewitz, Seidnitz, Gruna;weiblich;118
1999;StB 6 Leuben;10 StB Leuben;männlich;146
1999;StB 6 Leuben;10 StB Leuben;weiblich;108
1999;StB 7 Prohlis;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);männlich;79
1999;StB 7 Prohlis;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);weiblich;89
1999;StB 7 Prohlis;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);männlich;120
1999;StB 7 Prohlis;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);weiblich;141
1999;StB 8 Plauen;13 Südvorstadt, Zschertnitz;männlich;74
1999;StB 8 Plauen;13 Südvorstadt, Zschertnitz;weiblich;81
1999;StB 8 Plauen;14 Mockritz, Coschütz, Plauen;männlich;73
1999;StB 8 Plauen;14 Mockritz, Coschütz, Plauen;weiblich;73
1999;StB 9 Cotta/westliche Ortschaften;15 Cotta, Löbtau, Naußlitz, Dölzschen;männlich;158
1999;StB 9 Cotta/westliche Ortschaften;15 Cotta, Löbtau, Naußlitz, Dölzschen;weiblich;153
1999;StB 9 Cotta/westliche Ortschaften;16 Gorbitz;männlich;55
1999;StB 9 Cotta/westliche Ortschaften;16 Gorbitz;weiblich;53
1999;StB 9 Cotta/westliche Ortschaften;17 Briesnitz und westliche OS;männlich;84
1999;StB 9 Cotta/westliche Ortschaften;17 Briesnitz und westliche OS;weiblich;83
2000;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;männlich;83
2000;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;weiblich;95
2000;StB 0 Altstadt;02 Johannstadt;männlich;77
2000;StB 0 Altstadt;02 Johannstadt;weiblich;68
2000;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;männlich;185
2000;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;weiblich;192
2000;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;männlich;54
2000;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;weiblich;38
2000;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;männlich;120
2000;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;weiblich;96
2000;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;männlich;136
2000;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;weiblich;126
2000;StB 3 Klotzsche/nördliche Ortschaften;06 StB Klotzsche und nördliche OS;männlich;107
2000;StB 3 Klotzsche/nördliche Ortschaften;06 StB Klotzsche und nördliche OS;weiblich;113
2000;StB 4 Loschwitz/OS Schönfeld-Weißig;07 StB Loschwitz und OS Schönfeld-Weißig;männlich;130
2000;StB 4 Loschwitz/OS Schönfeld-Weißig;07 StB Loschwitz und OS Schönfeld-Weißig;weiblich;129
2000;StB 5 Blasewitz;08 Blasewitz, Striesen;männlich;273
2000;StB 5 Blasewitz;08 Blasewitz, Striesen;weiblich;202
2000;StB 5 Blasewitz;09 Tolkewitz, Seidnitz, Gruna;männlich;133
2000;StB 5 Blasewitz;09 Tolkewitz, Seidnitz, Gruna;weiblich;125
2000;StB 6 Leuben;10 StB Leuben;männlich;145
2000;StB 6 Leuben;10 StB Leuben;weiblich;150
2000;StB 7 Prohlis;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);männlich;87
2000;StB 7 Prohlis;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);weiblich;79
2000;StB 7 Prohlis;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);männlich;140
2000;StB 7 Prohlis;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);weiblich;130
2000;StB 8 Plauen;13 Südvorstadt, Zschertnitz;männlich;73
2000;StB 8 Plauen;13 Südvorstadt, Zschertnitz;weiblich;83
2000;StB 8 Plauen;14 Mockritz, Coschütz, Plauen;männlich;99
2000;StB 8 Plauen;14 Mockritz, Coschütz, Plauen;weiblich;94
2000;StB 9 Cotta/westliche Ortschaften;15 Cotta, Löbtau, Naußlitz, Dölzschen;männlich;185
2000;StB 9 Cotta/westliche Ortschaften;15 Cotta, Löbtau, Naußlitz, Dölzschen;weiblich;178
2000;StB 9 Cotta/westliche Ortschaften;16 Gorbitz;männlich;79
2000;StB 9 Cotta/westliche Ortschaften;16 Gorbitz;weiblich;53
2000;StB 9 Cotta/westliche Ortschaften;17 Briesnitz und westliche OS;männlich;99
2000;StB 9 Cotta/westliche Ortschaften;17 Briesnitz und westliche OS;weiblich;88
2001;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;männlich;76
2001;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;weiblich;74
2001;StB 0 Altstadt;02 Johannstadt;männlich;64
