Jahr;Stadtbezirk mit zugeordneten Ortschaften;Stadtraum;Geschlecht;Geborene
2015;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;männlich;137
2015;StB 0 Altstadt;01 StB Altstadt ohne Johannstadt;weiblich;143
2015;StB 0 Altstadt;02 Johannstadt;männlich;112
2015;StB 0 Altstadt;02 Johannstadt;weiblich;97
2015;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;männlich;292
2015;StB 1 Neustadt;03 StB Neustadt ohne Leipziger Vorstadt;weiblich;293
2015;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;männlich;104
2015;StB 1 Neustadt;04 Leipziger Vorstadt, Pieschen;weiblich;108
2015;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;männlich;227
2015;StB 2 Pieschen;04 Leipziger Vorstadt, Pieschen;weiblich;214
2015;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;männlich;191
2015;StB 2 Pieschen;05 Mickten, Kaditz, Trachau;weiblich;174
2015;StB 3 Klotzsche/nördliche Ortschaften;06 StB Klotzsche und nördliche OS;männlich;146
2015;StB 3 Klotzsche/nördliche Ortschaften;06 StB Klotzsche und nördliche OS;weiblich;141
2015;StB 4 Loschwitz/OS Schönfeld-Weißig;07 StB Loschwitz und OS Schönfeld-Weißig;männlich;151
2015;StB 4 Loschwitz/OS Schönfeld-Weißig;07 StB Loschwitz und OS Schönfeld-Weißig;weiblich;133
2015;StB 5 Blasewitz;08 Blasewitz, Striesen;männlich;333
2015;StB 5 Blasewitz;08 Blasewitz, Striesen;weiblich;333
2015;StB 5 Blasewitz;09 Tolkewitz, Seidnitz, Gruna;männlich;214
2015;StB 5 Blasewitz;09 Tolkewitz, Seidnitz, Gruna;weiblich;176
2015;StB 6 Leuben;10 StB Leuben;männlich;199
2015;StB 6 Leuben;10 StB Leuben;weiblich;201
2015;StB 7 Prohlis;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);männlich;95
2015;StB 7 Prohlis;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);weiblich;111
2015;StB 7 Prohlis;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);männlich;160
2015;StB 7 Prohlis;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);weiblich;168
2015;StB 8 Plauen;13 Südvorstadt, Zschertnitz;männlich;136
2015;StB 8 Plauen;13 Südvorstadt, Zschertnitz;weiblich;134
2015;StB 8 Plauen;14 Mockritz, Coschütz, Plauen;männlich;151
2015;StB 8 Plauen;14 Mockritz, Coschütz, Plauen;weiblich;118
2015;StB 9 Cotta/westliche Ortschaften;15 Cotta, Löbtau, Naußlitz, Dölzschen;männlich;313
2015;StB 9 Cotta/westliche Ortschaften;15 Cotta, Löbtau, Naußlitz, Dölzschen;weiblich;277
2015;StB 9 Cotta/westliche Ortschaften;16 Gorbitz;männlich;86
2015;StB 9 Cotta/westliche Ortschaften;16 Gorbitz;weiblich;87
2015;StB 9 Cotta/westliche Ortschaften;17 Briesnitz und westliche OS;männlich;109
2015;StB 9 Cotta/westliche Ortschaften;17 Briesnitz und westliche OS;weiblich;123
