Jahr;Quartal;Jahresquartal;Alter;Geschlecht;Anzahl Einwohner
2019;4. Quartal;20194;" 85 Jahre";weiblich;26
2020;4. Quartal;20204;" 81 Jahre";weiblich;27
2026;2. Quartal;20262;" 79 Jahre";männlich;17
2026;2. Quartal;20262;" 82 Jahre";männlich;26
2024;4. Quartal;20244;" 97 Jahre";weiblich;12
2023;4. Quartal;20234;104 Jahre;männlich;1
2018;1. Quartal;20181;" 42 Jahre";weiblich;2
2018;2. Quartal;20182;" 90 Jahre";weiblich;37
2016;2. Quartal;20162;"  0 Jahre";männlich;2
2016;4. Quartal;20164;" 57 Jahre";weiblich;2
2025;3. Quartal;20253;" 91 Jahre";männlich;20
2022;2. Quartal;20222;" 61 Jahre";männlich;9
2023;1. Quartal;20231;" 84 Jahre";männlich;34
2018;1. Quartal;20181;" 24 Jahre";männlich;2
2022;2. Quartal;20222;100 Jahre;weiblich;7
2025;2. Quartal;20252;" 21 Jahre";weiblich;2
2026;2. Quartal;20262;" 98 Jahre";weiblich;11
2024;2. Quartal;20242;" 73 Jahre";weiblich;6
2017;3. Quartal;20173;" 67 Jahre";weiblich;8
2022;3. Quartal;20223;" 49 Jahre";weiblich;3
2023;2. Quartal;20232;" 52 Jahre";weiblich;4
2021;3. Quartal;20213;" 86 Jahre";männlich;23
2020;3. Quartal;20203;" 83 Jahre";männlich;22
2025;3. Quartal;20253;" 81 Jahre";weiblich;20
2020;4. Quartal;20204;" 77 Jahre";weiblich;11
2019;2. Quartal;20192;" 97 Jahre";weiblich;18
2020;1. Quartal;20201;" 83 Jahre";weiblich;33
2018;4. Quartal;20184;" 86 Jahre";weiblich;20
2024;4. Quartal;20244;" 62 Jahre";weiblich;4
2020;2. Quartal;20202;" 34 Jahre";männlich;1
2021;2. Quartal;20212;" 95 Jahre";männlich;8
2023;3. Quartal;20233;" 64 Jahre";weiblich;2
2019;4. Quartal;20194;" 92 Jahre";weiblich;31
2021;3. Quartal;20213;" 78 Jahre";weiblich;19
2026;1. Quartal;20261;" 60 Jahre";weiblich;6
2020;1. Quartal;20201;" 55 Jahre";weiblich;4
2021;2. Quartal;20212;" 69 Jahre";männlich;13
2016;3. Quartal;20163;" 24 Jahre";männlich;1
2019;1. Quartal;20191;" 49 Jahre";männlich;3
2018;4. Quartal;20184;" 94 Jahre";männlich;6
