Jahr;Geschlecht;Alter;Anzahl Einwohner
1999;männlich;"  0 Jahre";15
1999;männlich;"  3 Jahre";1
1999;männlich;"  8 Jahre";1
1999;männlich;" 16 Jahre";3
1999;männlich;" 17 Jahre";1
1999;männlich;" 18 Jahre";3
1999;männlich;" 19 Jahre";1
1999;männlich;" 20 Jahre";2
1999;männlich;" 22 Jahre";2
1999;männlich;" 23 Jahre";1
1999;männlich;" 24 Jahre";2
1999;männlich;" 25 Jahre";3
1999;männlich;" 26 Jahre";2
1999;männlich;" 27 Jahre";2
1999;männlich;" 28 Jahre";1
1999;männlich;" 29 Jahre";2
1999;männlich;" 30 Jahre";7
1999;männlich;" 31 Jahre";4
1999;männlich;" 32 Jahre";2
1999;männlich;" 33 Jahre";5
1999;männlich;" 34 Jahre";3
1999;männlich;" 35 Jahre";5
1999;männlich;" 36 Jahre";6
1999;männlich;" 37 Jahre";4
1999;männlich;" 38 Jahre";6
1999;männlich;" 39 Jahre";4
1999;männlich;" 40 Jahre";5
1999;männlich;" 41 Jahre";4
1999;männlich;" 42 Jahre";7
1999;männlich;" 43 Jahre";5
1999;männlich;" 44 Jahre";13
1999;männlich;" 45 Jahre";15
1999;männlich;" 46 Jahre";18
1999;männlich;" 47 Jahre";11
1999;männlich;" 48 Jahre";20
1999;männlich;" 49 Jahre";15
1999;männlich;" 50 Jahre";13
1999;männlich;" 51 Jahre";16
1999;männlich;" 52 Jahre";9
1999;männlich;" 53 Jahre";14
1999;männlich;" 54 Jahre";17
1999;männlich;" 55 Jahre";24
1999;männlich;" 56 Jahre";25
1999;männlich;" 57 Jahre";18
1999;männlich;" 58 Jahre";31
1999;männlich;" 59 Jahre";25
1999;männlich;" 60 Jahre";32
1999;männlich;" 61 Jahre";29
1999;männlich;" 62 Jahre";41
1999;männlich;" 63 Jahre";39
1999;männlich;" 64 Jahre";57
1999;männlich;" 65 Jahre";36
1999;männlich;" 66 Jahre";31
1999;männlich;" 67 Jahre";49
1999;männlich;" 68 Jahre";58
1999;männlich;" 69 Jahre";56
1999;männlich;" 70 Jahre";45
1999;männlich;" 71 Jahre";44
1999;männlich;" 72 Jahre";48
1999;männlich;" 73 Jahre";51
1999;männlich;" 74 Jahre";42
1999;männlich;" 75 Jahre";54
1999;männlich;" 76 Jahre";60
1999;männlich;" 77 Jahre";51
1999;männlich;" 78 Jahre";75
1999;männlich;" 79 Jahre";67
1999;männlich;" 80 Jahre";38
1999;männlich;" 81 Jahre";31
1999;männlich;" 82 Jahre";37
1999;männlich;" 83 Jahre";32
1999;männlich;" 84 Jahre";45
1999;männlich;" 85 Jahre";81
1999;männlich;" 86 Jahre";56
1999;männlich;" 87 Jahre";47
1999;männlich;" 88 Jahre";47
1999;männlich;" 89 Jahre";49
1999;männlich;" 90 Jahre";40
1999;männlich;" 91 Jahre";46
1999;männlich;" 92 Jahre";35
1999;männlich;" 93 Jahre";28
1999;männlich;" 94 Jahre";16
1999;männlich;" 95 Jahre";13
1999;männlich;" 96 Jahre";6
1999;männlich;" 97 Jahre";4
1999;männlich;" 98 Jahre";2
1999;männlich;" 99 Jahre";1
1999;männlich;100 Jahre;2
1999;männlich;101 Jahre;1
1999;männlich;106 Jahre;1
1999;weiblich;"  0 Jahre";7
