Jahr;Pos.-Nr. der ICD-10;Todesursache;1. Quartal;2. Quartal;3. Quartal;4. Quartal;Insgesamt
2015;A00-T98;"Insgesamt                                                                                                                                                                      ";1498;1242;1289;1455;5484
2015;A00-B99;"KAPITEL I: Bestimmte infektiöse und parasitäre Krankheiten                                                                                                                     ";23;22;18;28;91
2015;A00-A09;"Infektiöse Darmkrankheiten                                                                                                                                                     ";10;10;6;9;35
2015;C00-D48;"KAPITEL II: Neubildungen                                                                                                                                                       ";312;309;343;353;1317
2015;C00-C97;"Bösartige Neubildungen                                                                                                                                                         ";303;299;334;345;1281
2015;C00-C14;"Bösartige Neubildungen der Lippe, der Mundhöhle und des Pharynx                                                                                                                ";9;11;8;10;38
2015;C15-C26;"Bösartige Neubildungen der Verdauungsorgane                                                                                                                                    ";100;99;111;112;422
2015;C30-C39;"Bösartige Neubildungen der Atmungsorgane und sonstiger intrathorakaler Organe                                                                                                  ";51;41;69;51;212
2015;C43-C44;"Melanom und sonstige bösartige Neubildungen der Haut                                                                                                                           ";10;5;3;5;23
2015;C50;"Bösartige Neubildung der Brustdrüse                                                                                                                                            ";29;17;28;24;98
2015;C51-C58;"Bösartige Neubildungen der weiblichen Genitalorgane                                                                                                                            ";19;14;15;16;64
2015;C60-C63;"Bösartige Neubildungen der männlichen Genitalorgane                                                                                                                            ";11;22;19;22;74
2015;C64-C68;"Bösartige Neubildungen der Harnorgane                                                                                                                                          ";19;20;20;21;80
2015;C69-C72;"Bösartige Neubildungen des Auges, des Gehirns und des Zentralnervensystems                                                                                                     ";5;10;8;11;34
2015;C81-C96;"Bösartige Neubildungen des lymphatischen, blutbildenden und verwandten Gewebes                                                                                                 ";29;32;31;37;129
2015;D50-D89;"KAPITEL III: Krankheiten des Blutes und der blutbildenden Organe sowie bestimmte Störungen mit Beteiligung des Immunsystems                                                    ";4;3;5;6;18
2015;E00-E90;"KAPITEL IV: Endokrine, Ernährungs- und Stoffwechselkrankheiten                                                                                                                 ";42;46;40;46;174
2015;E10-E14;"Diabetes mellitus                                                                                                                                                              ";30;35;28;35;128
2015;F00-F99;"KAPITEL V: Psychische und Verhaltensstörungen                                                                                                                                  ";86;72;71;82;311
2015;F10-F19;"Psychische und Verhaltensstörungen durch psychotrope Substanzen                                                                                                                ";8;8;8;4;28
2015;G00-G99, H00-H95;"KAPITEL VI-VIII: Krankheiten des Nervensystems, des Auges und der Augenanhangsgebilde, des Ohres und des Warzenfortsatzes                                                      ";54;45;45;54;198
2015;I00-I99;"KAPITEL IX: Krankheiten des Kreislaufsystems                                                                                                                                   ";628;479;510;568;2185
2015;I10-I15;"Hypertonie (Hochdruckkrankheit)                                                                                                                                                ";106;89;71;92;358
2015;I20-I25;"Ischämische Herzkrankheiten                                                                                                                                                    ";249;178;210;227;864
2015;I21;"Akuter Myokardinfarkt                                                                                                                                                          ";84;63;64;94;305
2015;I30-I52;"Sonstige Formen der Herzkrankheit                                                                                                                                              ";148;104;126;126;504
2015;I60-I69;"Zerebrovaskuläre Krankheiten                                                                                                                                                   ";89;81;76;93;339
2015;I64;"Schlaganfall, nicht als Blutung oder Infarkt bez.                                                                                                                              ";14;12;16;16;58
2015;I70-I79;"Krankheiten der Arterien, Arteriolen und Kapillaren                                                                                                                            ";11;12;6;12;41
2015;J00-J99;"KAPITEL X: Krankheiten des Atmungssystems                                                                                                                                      ";120;69;75;76;340
2015;J09-J18;"Grippe und Pneumonie                                                                                                                                                           ";43;25;15;12;95
2015;J40-J47;"Chronische Krankheiten der unteren Atemwege                                                                                                                                    ";62;36;51;50;199
2015;K00-K93;"KAPITEL XI: Krankheiten des Verdauungssystems                                                                                                                                  ";66;58;58;54;236
2015;K70-K77;"Krankheiten der Leber                                                                                                                                                          ";34;30;30;23;117
2015;L00-L99, M00-M99;"Kapitel XII, XIII: Krankheiten der Haut und der Unterhaut, Krankheiten des Muskel-Skelett-Systems und des Bindegewebes                                                         ";12;8;10;18;48
2015;N00-N99;"KAPITEL XIV: Krankheiten des Urogenitalsystems                                                                                                                                 ";24;20;5;27;76
2015;N17-N19;"Niereninsuffizienz                                                                                                                                                             ";-;-;-;-;45
2015;O00-O99;"KAPITEL XV: Schwangerschaft, Geburt und Wochenbett                                                                                                                             ";0;0;0;0;0
2015;P00-P96, Q00-Q99;"KAPITEL XVI, XVII: Bestimmte Zustände, die ihren Ursprung in der Perinatalperiode haben, angeborene Fehlbildungen, Deformitäten und Chromosomenanomalien                       ";-;-;-;-;27
2015;R00-R99;"KAPITEL XVIII: Symptome und abnorme klinische und Laborbefunde, die a.n.k. sind                                                                                                ";44;37;26;52;159
2015;S00-T98;"KAPITEL XIX: Verletzungen, Vergiftungen und bestimmte andere Folgen äußerer Ursachen                                                                                           ";78;70;77;79;304
2015;S00-S09;"Verletzungen des Kopfes                                                                                                                                                        ";19;12;24;18;73
2015;S70-S79;"Verletzungen der Hüfte und des Oberschenkels                                                                                                                                   ";6;9;10;10;35
