Jahr;Kraftfahrzeuge insgesamt;darunter Krafträder;darunter PKW;darunter LKW;darunter Zugmaschinen;Kraftfahrzeuganhänger insgesamt
2005;21125;564;18970;1407;102;577
2006;22703;548;19996;1832;197;693
2007;19959;537;17257;1835;193;746
2008;18607;638;15741;1955;119;767
2009;22271;564;20031;1494;93;631
2010;18049;494;15742;1666;87;657
2011;19182;537;16366;2039;105;729
2012;19002;539;16475;1784;95;649
2013;18013;527;15472;1798;122;678
2014;18640;538;15934;1911;111;814
2015;19173;571;16338;1994;120;751
2016;21374;564;17990;2523;135;841
2017;21935;538;18593;2513;127;831
2018;20757;604;17469;2383;136;858
2019;21980;673;18232;2786;143;1003
2020;19882;902;16428;2335;111;1032
2021;17035;824;13711;2216;139;933
2022;15453;804;12625;1736;112;946
2023;16772;905;13668;1872;125;771
2024;18368;1045;14823;2216;133;741
