Jahr;Stadtbezirk mit zugeordneten Ortschaften;Kfz-Insgesamt;Pkw_privat;Pkw_gewerblich;Nutzfahrzeuge;Krafträder;Kfz-Anhänger
1999;StB 0 Altstadt;24052;17335;3625;2640;452;1964
1999;StB 1 Neustadt;15189;10574;2338;1748;529;1160
1999;StB 2 Pieschen;21214;15345;2060;3158;651;2069
1999;StB 3 Klotzsche/nördliche Ortschaften;16181;12890;1088;1601;602;2444
1999;StB 4 Loschwitz/OS Schönfeld-Weißig;16150;13428;703;1330;689;2033
1999;StB 5 Blasewitz;33488;28667;2135;1766;920;2169
1999;StB 6 Leuben;18031;15771;643;1025;592;1449
1999;StB 7 Prohlis;28510;23831;1761;2063;855;2319
1999;StB 8 Plauen;22386;18394;1764;1615;613;1861
1999;StB 9 Cotta/westliche Ortschaften;36081;30393;2015;2475;1198;2971
1999;unbekannt;7373;152;6995;226;0;49
2000;StB 0 Altstadt;23391;16610;3768;2555;458;1870
2000;StB 1 Neustadt;15305;10505;2415;1771;614;1145
2000;StB 2 Pieschen;22025;15916;2344;3010;755;1996
2000;StB 3 Klotzsche/nördliche Ortschaften;16501;13034;1095;1694;678;2522
2000;StB 4 Loschwitz/OS Schönfeld-Weißig;16555;13761;694;1338;762;2048
2000;StB 5 Blasewitz;34399;29510;2068;1806;1015;2030
2000;StB 6 Leuben;17958;15642;660;1032;624;1443
2000;StB 7 Prohlis;28027;22830;2251;2045;901;2332
2000;StB 8 Plauen;22390;18317;1824;1574;675;1756
2000;StB 9 Cotta/westliche Ortschaften;36380;30521;2070;2475;1314;2941
2000;unbekannt;5730;989;4418;271;52;63
2001;StB 0 Altstadt;22828;15973;3829;2545;481;1815
2001;StB 1 Neustadt;15380;10414;2538;1744;684;1050
2001;StB 2 Pieschen;21792;16276;2278;2419;819;1957
2001;StB 3 Klotzsche/nördliche Ortschaften;16598;13165;1125;1576;732;2303
2001;StB 4 Loschwitz/OS Schönfeld-Weißig;16370;13653;669;1269;779;2019
2001;StB 5 Blasewitz;34907;30013;2036;1757;1101;1959
2001;StB 6 Leuben;18084;15667;653;1095;669;1425
2001;StB 7 Prohlis;27678;22623;2052;2016;987;2230
2001;StB 8 Plauen;22503;18279;1903;1603;718;1691
2001;StB 9 Cotta/westliche Ortschaften;36245;30147;2229;2498;1371;2842
2001;unbekannt;4329;1303;1964;875;187;403
2002;StB 0 Altstadt;23051;15943;3996;2588;524;1786
2002;StB 1 Neustadt;15586;10557;2540;1702;787;1050
2002;StB 2 Pieschen;22193;16333;2694;2309;857;1932
2002;StB 3 Klotzsche/nördliche Ortschaften;16647;13211;1136;1508;792;2277
2002;StB 4 Loschwitz/OS Schönfeld-Weißig;16936;14133;676;1269;858;2033
2002;StB 5 Blasewitz;35252;30292;1988;1770;1202;1882
2002;StB 6 Leuben;18095;15688;660;1054;693;1400
2002;StB 7 Prohlis;27259;22222;2050;1954;1033;2185
2002;StB 8 Plauen;22898;18443;2062;1596;797;1671
2002;StB 9 Cotta/westliche Ortschaften;36211;29941;2291;2487;1492;2771
2002;unbekannt;5258;1170;3125;892;71;388
2003;StB 0 Altstadt;22905;15751;4056;2585;513;1764
2003;StB 1 Neustadt;15618;10825;2284;1706;803;1061
2003;StB 2 Pieschen;22459;16495;2785;2233;946;1898
2003;StB 3 Klotzsche/nördliche Ortschaften;17211;13643;1155;1581;832;2286
2003;StB 4 Loschwitz/OS Schönfeld-Weißig;17511;14655;694;1248;914;2065
2003;StB 5 Blasewitz;36062;31115;1932;1718;1297;1854
2003;StB 6 Leuben;18307;15880;667;1055;705;1388
2003;StB 7 Prohlis;27233;22410;1830;1932;1061;2136
2003;StB 8 Plauen;22830;18552;1853;1593;832;1605
2003;StB 9 Cotta/westliche Ortschaften;36574;30374;2202;2447;1551;2790
2003;unbekannt;5354;1318;3071;860;105;375
2004;StB 0 Altstadt;22423;15366;4047;2503;507;1753
2004;StB 1 Neustadt;15808;10948;2309;1714;837;1039
2004;StB 2 Pieschen;22485;16707;2569;2233;976;1869
2004;StB 3 Klotzsche/nördliche Ortschaften;17882;13949;1359;1666;908;2347
2004;StB 4 Loschwitz/OS Schönfeld-Weißig;17913;15044;645;1266;958;2097
2004;StB 5 Blasewitz;36434;31472;1966;1657;1339;1829
2004;StB 6 Leuben;18490;16037;659;1071;723;1363
2004;StB 7 Prohlis;26902;22298;1603;1914;1087;2136
2004;StB 8 Plauen;23086;18696;1866;1657;867;1587
2004;StB 9 Cotta/westliche Ortschaften;37031;30639;2330;2406;1656;2798
2004;unbekannt;4372;1087;2525;659;101;324
2005;StB 0 Altstadt;22268;15526;3776;2468;498;1713
2005;StB 1 Neustadt;16258;11337;2529;1552;840;1030
2005;StB 2 Pieschen;22606;17007;2477;2133;989;1841
2005;StB 3 Klotzsche/nördliche Ortschaften;19602;14299;2646;1682;975;2405
2005;StB 4 Loschwitz/OS Schönfeld-Weißig;18415;15448;691;1258;1018;2147
2005;StB 5 Blasewitz;36672;31848;1929;1526;1369;1780
2005;StB 6 Leuben;18853;16423;674;1003;753;1361
2005;StB 7 Prohlis;27380;22673;1645;1887;1175;2150
2005;StB 8 Plauen;23462;18971;1979;1629;883;1610
2005;StB 9 Cotta/westliche Ortschaften;36777;30589;2306;2223;1659;2713
2005;unbekannt;3983;549;2772;559;103;188
2006;StB 0 Altstadt;22322;15686;3621;2508;507;1675
2006;StB 1 Neustadt;17028;11659;2849;1637;883;1010
2006;StB 2 Pieschen;22970;17419;2342;2210;999;1803
2006;StB 3 Klotzsche/nördliche Ortschaften;20133;14509;2908;1714;1002;2448
2006;StB 4 Loschwitz/OS Schönfeld-Weißig;18928;15916;715;1274;1023;2174
2006;StB 5 Blasewitz;36660;31850;1913;1490;1407;1712
2006;StB 6 Leuben;19200;16769;646;1013;772;1399
2006;StB 7 Prohlis;27234;22636;1576;1820;1202;2098
2006;StB 8 Plauen;23715;18969;2155;1722;869;1565
2006;StB 9 Cotta/westliche Ortschaften;37819;31670;2203;2223;1723;2730
2006;unbekannt;4180;591;2798;659;132;279
2007;StB 0 Altstadt;20291;14199;3202;2428;462;1599
2007;StB 1 Neustadt;15676;10612;2665;1615;784;936
2007;StB 2 Pieschen;20856;16192;1646;2059;959;1753
