Jahr;Quartal;Betriebe;Beschäftigte;Brutto-Entgelte (in 1000 EUR);Geleistete Arbeitsstunden (gesamt in 1000h);Gesamtumsatz (in 1000 EUR)
2009;1. Quartal;61;2453;15249;692;61244
2009;2. Quartal;61;2516;16357;760;87463
2009;3. Quartal;60;2423;15917;738;99929
2009;4. Quartal;59;2420;16868;720;101591
2009;Jahreswert (endgültig);61;2486;65006;2965;353077
2010;1. Quartal;55;2362;14557;632;65793
2010;2. Quartal;55;2438;16169;693;87822
2010;3. Quartal;57;2738;18106;813;98500
2010;4. Quartal;57;2731;20373;818;109777
2010;Jahreswert (endgültig);57;2665;73967;3095;365773
2011;1. Quartal;60;2540;17108;724;66263
2011;2. Quartal;60;2612;18391;793;87348
2011;3. Quartal;59;2605;18368;797;91030
2011;4. Quartal;59;2531;19116;734;120633
2011;Jahreswert (endgültig);60;2572;72983;3048;365275
2012;1. Quartal;62;2614;18045;765;81057
2012;2. Quartal;63;2727;19337;800;77678
2012;3. Quartal;63;2758;19539;830;97702
2012;4. Quartal;63;2658;20690;793;105913
2012;Jahreswert (endgültig);63;2689;77611;3188;362349
2013;1. Quartal;68;2845;20199;818;72186
2013;2. Quartal;68;2944;22246;872;80337
2013;3. Quartal;68;2936;22714;930;86315
2013;4. Quartal;68;2891;23607;873;134464
2013;Jahreswert (endgültig);68;2904;88766;3493;373302
2014;1. Quartal;68;2997;22305;879;69758
2014;2. Quartal;70;3109;24668;912;89327
2014;3. Quartal;69;3094;24331;910;99949
2014;4. Quartal;69;3039;24989;842;125925
2014;Jahreswert (endgültig);69;3066;96426;3549;385702
2015;1. Quartal;67;2984;23022;836;75717
2015;2. Quartal;67;2982;24477;883;104017
2015;3. Quartal;67;3074;24371;914;100557
2015;4. Quartal;68;3080;26088;897;133304
2015;Jahreswert (endgültig);67;3030;97957;3530;413595
2016;1. Quartal;70;3141;24703;899;75584
2016;2. Quartal;70;3170;26351;957;141114
2016;3. Quartal;70;3211;26415;975;123161
2016;4. Quartal;70;3197;27635;912;158871
2016;Jahreswert (endgültig);70;3180;105104;3743;498730
2017;1. Quartal;77;3351;27498;968;82851
2017;2. Quartal;77;3410;29845;1026;128463
2017;3. Quartal;77;3494;30067;1006;106928
2017;4. Quartal;77;3378;30916;942;155627
2017;Jahreswert (endgültig);77;3408;118325;3942;473869
2018;1. Quartal;70;3282;27874;908;95292
2018;2. Quartal;70;3324;30031;925;143302
2018;3. Quartal;70;3374;29938;950;117999
2018;4. Quartal;70;3347;32612;912;203181
2018;Jahreswert (endgültig);70;3332;120456;3695;559774
2019;1. Quartal;68;3415;29090;936;96368
2019;2. Quartal;68;3428;31409;947;130840
2019;3. Quartal;68;3489;31361;980;129373
2019;4. Quartal;67;3430;33180;916;180961
2019;Jahreswert (endgültig);68;3441;125040;3779;537542
2020;1. Quartal;68;3333;30879;899;99426
2020;2. Quartal;68;3369;32605;914;119018
2020;3. Quartal;68;3394;32660;910;124770
2020;4. Quartal;68;3380;34034;831;233436
2020;Jahreswert (endgültig);68;3369;130177;3555;576651
2021;1. Quartal;85;3680;34096;947;104523
2021;2. Quartal;83;3629;36772;958;142216
2021;3. Quartal;83;3729;35647;994;149936
2021;4. Quartal;83;3709;37700;955;173271
2021;Jahreswert (endgültig);84;3687;144216;3854;569946
2022;1. Quartal;80;3650;35457;953;109444
2022;2. Quartal;80;3673;38746;1014;129980
2022;3. Quartal;80;3759;37666;1031;149593
2022;4. Quartal;80;3747;39777;980;240004
2022;Jahreswert (endgültig);80;3707;151647;3978;629021
2023;1. Quartal;82;3772;38014;1009;117347
2023;2. Quartal;82;3799;41307;1052;157148
2023;3. Quartal;81;3868;42190;1078;184373
2023;4. Quartal;81;3870;44411;981;269422
2023;Jahreswert (endgültig);82;3827;165922;4120;728290
2024;1. Quartal;79;3817;42119;1022;147265
2024;2. Quartal;79;3758;43059;1005;156353
2024;3. Quartal;79;3796;43420;1019;154612
2024;4. Quartal;79;3762;45506;974;261937
2024;Jahreswert (endgültig);79;3783;174104;4020;720167
2025;1. Quartal;78;3679;41706;971;126014
2025;2. Quartal;78;3729;42780;1020;149518
2025;3. Quartal;78;3761;43011;1023;150276
2025;4. Quartal;78;3760;44029;973;192810
2025;Jahreswert (endgültig);78;3732;171526;3987;618618
2026;1. Quartal;81;3884;42034;1028;128002
