Jahr;Quartal;Betriebe;Beschäftigte;Brutto-Entgelte (in 1000 EUR);Geleistete Arbeitsstunden (gesamt in 1000h);Gesamtumsatz (in 1000 EUR);Auftragseingang Wohnungsbau (in 1000 EUR);Auftragseingang gewerblicher und industrieller Hochbau (in 1000 EUR);Auftragseingang gewerblicher und industrieller Tiefbau (in 1000 EUR);Auftragseingang öffentlicher Hochbau (in 1000 EUR);Auftragseingang insgesamt (in 1000 EUR);Auftragseingang Hochbau insgesamt (in 1000 EUR);Auftragseingang Tiefbau insgesamt (in 1000 EUR)
2009;1. Quartal;42;2955;20862;529;52261;5294;6607;26167;2432;69011;14333;54680
2009;2. Quartal;42;3274;27402;934;101650;4870;62200;28185;1662;128441;68732;59710
2009;3. Quartal;42;3389;27894;1084;148664;8994;38200;43209;7591;137258;54785;82474
2009;4. Quartal;42;3439;29855;969;221685;3758;92208;36298;3063;183096;99029;84067
2009;Jahreswert (endgültig);42;3368;109468;3651;537343;22915;217892;133859;14747;536484;255554;280931
2010;1. Quartal;43;3382;23792;582;59491;4106;56118;30081;2256;159516;62480;97035
2010;2. Quartal;43;3445;28984;1021;137806;7648;8949;33725;3983;92939;20580;72357
2010;3. Quartal;44;3577;29794;1163;157062;4445;15900;53100;5983;106394;26328;80067
2010;4. Quartal;45;3491;30204;953;176398;11306;21574;31585;5235;83727;38115;45611
2010;Jahreswert (endgültig);44;3509;114126;3746;535304;27505;102542;148492;17457;445752;147504;298247
2011;1. Quartal;45;3305;25033;785;88540;10014;17272;37033;4646;115867;31932;83935
2011;2. Quartal;44;3354;29054;1044;148977;18575;34975;25419;6865;120539;60415;60123
2011;3. Quartal;44;3378;29909;1066;176139;14589;17710;32910;7975;100398;40274;60124
2011;4. Quartal;46;3429;31051;975;185984;16894;10842;23016;4587;75556;32323;43234
2011;Jahreswert (endgültig);45;3367;115047;3871;599641;60072;80799;118379;24073;412360;164944;247417
2012;1. Quartal;47;3383;25588;715;81171;17558;21725;23684;2038;80769;41321;39448
2012;2. Quartal;48;3333;28981;968;124496;16780;36975;36914;2483;130872;56238;74635
2012;3. Quartal;48;3390;29658;1042;151133;24403;33423;57940;4854;151923;62680;89244
2012;4. Quartal;48;3503;31399;955;158839;19361;24284;41026;4892;111567;48537;63030
2012;Jahreswert (endgültig);48;3402;115626;3679;515639;78101;116408;159565;14265;475132;208774;266357
2013;1. Quartal;48;3305;24707;626;80686;16231;17604;29877;2553;99454;36388;63064
2013;2. Quartal;48;3320;30069;973;143340;15686;12474;28861;4790;101209;32950;68257
2013;3. Quartal;48;3401;30840;1050;178022;23279;46607;42743;9060;142984;78946;64040
2013;4. Quartal;42;3274;30419;911;174128;12966;6393;30729;4027;82204;23386;58816
2013;Jahreswert (endgültig);47;3325;116035;3561;576176;68163;83077;132211;20432;425850;171672;254178
2014;1. Quartal;41;3169;25889;721;88401;17476;64000;19136;4482;155683;85958;69726
2014;2. Quartal;41;3150;29851;985;141605;26071;23199;34500;15586;138308;64856;73451
2014;3. Quartal;39;3181;30577;1110;145926;14533;9529;32835;5543;102711;29605;73106
2014;4. Quartal;39;3231;31769;1002;166830;28427;16271;41896;6177;100252;50875;49376
2014;Jahreswert (endgültig);40;3183;118088;3818;542763;86508;112999;128367;31788;496954;231295;265658
2015;1. Quartal;40;3125;26187;794;96689;22499;16114;29388;6380;108979;44993;63986
2015;2. Quartal;40;2996;27704;986;132691;18064;7158;20075;7799;81470;33021;48448
2015;3. Quartal;40;3018;29063;1040;158274;27165;9529;32790;11974;125635;48668;76967
2015;4. Quartal;40;3038;29113;930;158500;34300;12250;30725;36503;135275;83053;52221
2015;Jahreswert (endgültig);40;3044;112069;3749;546155;102028;45051;112978;62656;451358;209735;241622
2016;1. Quartal;39;2916;24654;720;95566;16502;19195;70675;6257;157958;41954;116005
2016;2. Quartal;39;2918;27615;993;137231;19964;10926;31874;13476;114282;44366;69914
2016;3. Quartal;39;2958;28928;1021;154668;29040;42848;31503;11163;131038;83051;47985
2016;4. Quartal;39;2968;29310;903;166395;9556;10840;43020;9225;101518;29621;71896
2016;Jahreswert (endgültig);39;2940;110505;3638;553859;75063;83810;177072;40121;504795;198994;305801
2017;1. Quartal;39;2864;24751;760;97866;24959;32043;25198;9781;118801;66783;52019
2017;2. Quartal;39;2927;28795;951;155163;19315;43467;40011;21219;182275;84001;98273
2017;3. Quartal;39;3024;30541;1031;174743;7885;-;-;-;141490;77231;64259
2017;4. Quartal;39;3014;30590;890;201073;40828;-;-;-;161105;72509;88596
2017;Jahreswert (endgültig);39;2957;114679;3631;628846;92987;157945;162041;49591;603669;300523;303147
2018;1. Quartal;44;3335;29612;838;120373;21451;25618;80398;7160;166684;54229;112453
2018;2. Quartal;44;3451;35748;1123;215136;33266;56739;64856;10712;206204;100717;105487
2018;3. Quartal;44;3479;36638;1164;255803;22689;37154;95855;13506;227315;73349;153968
2018;4. Quartal;44;3496;38491;1053;278132;43482;46945;117326;6682;266852;97109;169743
2018;Jahreswert (endgültig);44;3440;140490;4180;869443;120888;166456;358435;38061;867056;325405;541652
2019;1. Quartal;48;3630;34346;977;171216;60180;27662;62059;24032;214216;111874;102343
2019;2. Quartal;48;3762;39952;1221;261333;38284;77421;83111;13695;269932;129400;140532
2019;3. Quartal;48;3941;41533;1317;262189;9922;47155;114224;14159;260259;71236;189024
2019;4. Quartal;48;3912;43940;1158;307563;47994;79069;111087;10007;285000;137070;147930
2019;Jahreswert (endgültig);48;3811;159770;4673;1002302;156380;231306;370482;61892;1029407;449580;579829
2020;1. Quartal;54;4042;37934;1051;179196;66833;56558;70216;15390;250886;138781;112105
2020;2. Quartal;54;3981;42324;1228;221489;14820;81895;31249;23793;214149;120508;93640
2020;3. Quartal;54;3997;43777;1296;243882;38660;152785;46074;11804;296896;203249;93645
2020;4. Quartal;54;3962;44652;1141;268158;49621;11960;99799;13447;208056;75028;133028
2020;Jahreswert (endgültig);54;3996;168688;4716;912725;169933;303200;247339;64433;969986;537566;432420
2021;1. Quartal;56;4001;37186;993;160961;26401;25370;55125;12605;148973;64376;84597
2021;2. Quartal;57;4017;43868;1263;225891;18617;107957;86470;15955;283341;142529;140813
2021;3. Quartal;56;4041;45845;1289;270753;30448;42380;29825;17069;153354;89897;63455
2021;4. Quartal;55;3775;44143;1062;262058;18638;25931;68069;3895;151283;48464;102816
2021;Jahreswert (endgültig);56;3959;171041;4607;919661;94106;201638;239489;49526;736953;345270;391684
2022;1. Quartal;55;3734;37629;972;158122;82130;30236;62875;4337;265075;116703;148372
2022;2. Quartal;55;3769;44663;1141;225662;25498;32191;45580;2918;174734;60607;114128
2022;3. Quartal;54;3835;44594;1190;240889;27505;22028;43732;12863;152970;62396;90574
2022;4. Quartal;54;3809;46200;1057;277556;14007;29395;82552;6103;198662;49505;149156
2022;Jahreswert (endgültig);55;3787;173086;4360;902229;149141;113851;234739;26218;791439;289210;502229
2023;1. Quartal;49;3844;39783;1003;173303;18728;-;-;-;312068;173791;138276
2023;2. Quartal;49;3847;47950;1184;224819;24729;-;-;-;219741;93045;126695
2023;3. Quartal;49;3892;48412;1235;260184;9884;35024;63256;6417;221020;51325;169695
2023;4. Quartal;49;3911;52467;1069;276263;11485;30241;82630;1343;191970;43069;148901
2023;Jahreswert (endgültig);49;3874;188612;4491;934570;64826;284080;270664;12325;944798;361231;583567
2024;1. Quartal;50;3898;43174;999;184177;73359;20539;68512;1713;253429;97611;155818
2024;2. Quartal;49;3919;52514;1208;264253;22130;27875;75796;3395;192280;53399;138881
2024;3. Quartal;49;3934;53790;1231;265753;21099;40480;56732;5330;168001;66909;101093
2024;4. Quartal;49;3992;56896;1076;317604;13631;43384;69925;8466;158202;65481;92721
2024;Jahreswert (endgültig);49;3941;206373;4514;1031786;132219;132277;270966;18903;771912;283399;488513
2025;1. Quartal;45;3908;46520;962;171207;-;46429;67952;-;352028;73781;278249
2025;2. Quartal;45;3936;56210;1158;247185;70630;23463;51557;4680;188828;98773;90055
2025;3. Quartal;45;4007;57616;1246;246437;-;19032;142927;-;257290;83456;173833
2025;4. Quartal;45;4029;58770;1092;290000;28617;-;-;-;268320;131318;137000
2025;Jahreswert (endgültig);45;3970;219115;4459;954829;167423;188367;330400;31539;1066466;387329;679137
2026;1. Quartal;45;4157;50864;1002;153073;26461;35908;73271;21885;298005;84254;213751
2026;2. Quartal;46;4121;62467;1194;244742;31052;98081;70779;10234;274188;139367;134821
