Jahr;Hauptgruppen (WZ 08);Anzahl Betriebe;Tätige Personen;Brutto-Entgelte (in 1000 EUR);Brutto-Entgelte je tätiger Person;Gesamtumsatz (in 1000 EUR);"Umsatzanteil Ausland am Gesamtumsatz (absolut; in 1000 EUR)";Gesamtumsatz je tätiger Person;Exportquote (in Prozent)
2013;A+EN Vorleistungsgüter und Energie;74;11477;507650;44232;2958843;2102058;257806;71
2013;B Investitionsgüter;104;10555;430811;40816;2074260;1043565;196519;50,3
2013;GG Gebrauchsgüter;2;-;-;-;-;-;-;-
2013;VG Verbrauchsgüter;56;-;-;-;-;-;-;-
2013;Verarbeitendes Gewerbe gesamt;236;27155;1105070;40695;6399453;3370903;235664;52,7
2014;A+EN Vorleistungsgüter und Energie;72;11165;504363;45174;3061830;2174851;274235;71
2014;B Investitionsgüter;109;10681;442055;41387;2357696;1347592;220737;57,2
2014;GG Gebrauchsgüter;4;333;13126;39417;50980;20986;153093;41,2
2014;VG Verbrauchsgüter;57;5123;172268;33626;1158427;253028;226123;21,8
2014;Verarbeitendes Gewerbe gesamt;242;27302;1131811;41455;6628933;3796456;242800;57,3
2015;A+EN Vorleistungsgüter und Energie;74;11455;541678;47287;3679051;2328329;321174;63,3
2015;B Investitionsgüter;105;10714;452938;42275;1767788;787910;164998;44,6
2015;GG Gebrauchsgüter;4;375;14411;38429;58936;26519;157163;45
2015;VG Verbrauchsgüter;56;4985;173957;34896;1151466;278108;230986;24,2
2015;Verarbeitendes Gewerbe gesamt;239;27529;1182984;42972;6657241;3420867;241826;51,4
2016;A+EN Vorleistungsgüter und Energie;73;11274;529884;47001;3200561;1793487;283889;56
2016;B Investitionsgüter;106;10780;458681;42549;1660512;736333;154036;44,3
2016;GG Gebrauchsgüter;3;-;-;-;-;-;-;-
2016;VG Verbrauchsgüter;56;-;-;-;-;-;-;-
2016;Verarbeitendes Gewerbe gesamt;238;27377;1180614;43124;6278373;3053425;229330;48,6
2017;A+EN Vorleistungsgüter und Energie;79;11378;542346;47666;3413367;1951265;299997;57,2
2017;B Investitionsgüter;108;11160;484496;43414;1961523;907232;175764;46,3
2017;GG Gebrauchsgüter;2;-;-;-;-;-;-;-
2017;VG Verbrauchsgüter;54;-;-;-;-;-;-;-
2017;Verarbeitendes Gewerbe gesamt;243;27855;1226903;44046;6585872;3200892;236434;48,6
2018;A+EN Vorleistungsgüter und Energie;78;11676;555872;47608;3245084;1836793;277928;56,6
2018;B Investitionsgüter;109;11711;518832;44303;2459136;1264502;209985;51,4
2018;GG Gebrauchsgüter;2;-;-;-;-;-;-;-
2018;VG Verbrauchsgüter;54;-;-;-;-;-;-;-
2018;Verarbeitendes Gewerbe gesamt;243;28828;1287660;44667;6949843;3530203;241080;50,8
2019;A+EN Vorleistungsgüter und Energie;82;11567;583928;50482;3165328;1892405;273652;59,8
2019;B Investitionsgüter;108;11860;539036;45450;2577031;1390759;217288;54
2019;GG Gebrauchsgüter;3;-;-;-;-;-;-;-
2019;VG Verbrauchsgüter;53;-;-;-;-;-;-;-
2019;Verarbeitendes Gewerbe gesamt;246;29058;1346952;46354;7018941;3790805;241549;54
2020;A+EN Vorleistungsgüter und Energie;79;11841;583555;49283;2777407;1631665;234558;58,7
2020;B Investitionsgüter;113;12167;546699;44933;2353407;891086;193425;37,9
2020;GG Gebrauchsgüter;2;-;-;-;-;-;-;-
2020;VG Verbrauchsgüter;53;-;-;-;-;-;-;-
2020;Verarbeitendes Gewerbe gesamt;247;29407;1346644;45793;6370367;3078610;216628;48,3
2021;A+EN Vorleistungsgüter und Energie;76;12211;629504;51552;3237429;1884984;265124;58,2
2021;B Investitionsgüter;109;12022;561889;46738;2167310;1051224;180279;48,5
2021;GG Gebrauchsgüter;4;386;17122;44358;66696;34881;172788;52,3
2021;VG Verbrauchsgüter;50;5070;202963;40032;1163619;491978;229511;42,3
2021;Verarbeitendes Gewerbe gesamt;239;29689;1411479;47542;6635054;3463067;223485;52,2
2022;A+EN Vorleistungsgüter und Energie;74;12921;716928;55485;4491447;2615097;347608;58,2
2022;B Investitionsgüter;110;12455;607625;48786;2765999;1274297;222079;46,1
2022;GG Gebrauchsgüter;3;-;-;-;-;-;-;-
2022;VG Verbrauchsgüter;49;-;-;-;-;-;-;-
2022;Verarbeitendes Gewerbe gesamt;236;30614;1562693;51045;8640617;4460693;282244;51,6
2023;A+EN Vorleistungsgüter und Energie;71;12946;763643;58987;4749599;2550784;366878;53,7
2023;B Investitionsgüter;106;13543;704224;51999;3036022;1654030;224176;54,5
2023;GG Gebrauchsgüter;3;-;-;-;-;-;-;-
2023;VG Verbrauchsgüter;45;-;-;-;-;-;-;-
2023;Verarbeitendes Gewerbe gesamt;225;31227;1689045;54089;8933646;4740761;286087;53,1
2024;A+EN Vorleistungsgüter und Energie;69;12937;780679;60345;4463665;2461406;345031;55,1
