Jahr;Quartal;Monat;Hauptgruppen (WZ 08);Anzahl Betriebe;Tätige Personen (absolut);"Tätige Personen (Anteil an Gesamtbeschäftigten; in Prozent)";Geleistete Arbeitsstunden (gesamt in 1000h);Geleistete Arbeitsstunden je tätiger Person;Brutto-Entgelte (in 1000 EUR);Brutto-Entgelte je tätiger Person;Gesamtumsatz (in 1000 EUR);"Umsatzanteil Ausland am Gesamtumsatz (absolut; in 1000 EUR)";"Umsatzanteil Eurozone am Gesamtumsatz (absolut; in 1000 EUR)";Gesamtumsatz je tätiger Person;"Umsatzanteil (Anteil an Gesamtsumme des Verarb. Gewerbes; in Prozent)";Umsatz aus eigenen Erzeugnissen gesamt (in 1000 EUR);Umsatz aus eigenen Erzeugnissen Ausland (in 1000 EUR);Umsatz aus eigenen Erzeugnissen je tätiger Person
2014;1. Quartal;01;A+EN Vorleistungsgüter und Energie;39;10328;44;1539;149;36104;3496;187323;121947;-;18137;50,4;181396;119996;17564
2014;1. Quartal;01;B Investitionsgüter;56;8769;37,4;1303;149;30710;3502;102425;47436;-;11680;27,5;98598;46541;11244
2014;1. Quartal;01;GG Gebrauchsgüter;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2014;1. Quartal;01;VG Verbrauchsgüter;22;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2014;1. Quartal;01;Verarbeitendes Gewerbe gesamt;119;23468;100;3455;147;78925;3363;371782;189612;-;15842;100;359553;186644;15321
2014;1. Quartal;02;A+EN Vorleistungsgüter und Energie;39;10325;44;1421;138;37243;3607;285629;222329;196483;27664;55,7;279006;220176;27022
2014;1. Quartal;02;B Investitionsgüter;56;8775;37,4;1201;137;29483;3360;146723;84174;7808;16721;28,6;141002;82797;16069
2014;1. Quartal;02;GG Gebrauchsgüter;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2014;1. Quartal;02;VG Verbrauchsgüter;22;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2014;1. Quartal;02;Verarbeitendes Gewerbe gesamt;119;23452;100;3179;136;79025;3370;512998;328190;218297;21874;100;498067;324351;21238
2014;1. Quartal;03;A+EN Vorleistungsgüter und Energie;39;10324;44,1;1458;141;37181;3601;325041;263832;238655;31484;56,3;317750;261648;30778
2014;1. Quartal;03;B Investitionsgüter;55;8717;37,2;1260;145;28980;3325;162930;88429;9852;18691;28,2;153181;87617;17573
2014;1. Quartal;03;GG Gebrauchsgüter;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2014;1. Quartal;03;VG Verbrauchsgüter;22;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2014;1. Quartal;03;Verarbeitendes Gewerbe gesamt;118;23428;100;3308;141;82406;3517;577647;374047;263689;24656;100;557426;370944;23793
2014;1. Quartal;04;A+EN Vorleistungsgüter und Energie;40;10363;43,6;1460;141;37932;3660;226351;168464;147459;21842;50,1;221356;167204;21360
2014;1. Quartal;04;B Investitionsgüter;56;8912;37,5;1257;141;34478;3869;131049;70633;14685;14705;29;126047;69841;14144
2014;1. Quartal;04;GG Gebrauchsgüter;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2014;1. Quartal;04;VG Verbrauchsgüter;23;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2014;1. Quartal;04;Verarbeitendes Gewerbe gesamt;121;23763;100;3315;140;85490;3598;451826;259957;177073;19014;100;438160;257623;18439
2014;2. Quartal;05;A+EN Vorleistungsgüter und Energie;40;10315;43,5;1444;140;42716;4141;228116;163817;143061;22115;48,3;222883;162027;21608
2014;2. Quartal;05;B Investitionsgüter;56;8921;37,6;1238;139;35978;4033;155689;94959;19349;17452;33;148187;93999;16611
2014;2. Quartal;05;GG Gebrauchsgüter;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2014;2. Quartal;05;VG Verbrauchsgüter;23;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2014;2. Quartal;05;Verarbeitendes Gewerbe gesamt;121;23703;100;3273;138;91947;3879;472442;280923;177541;19932;100;456692;277988;19267
2014;2. Quartal;06;A+EN Vorleistungsgüter und Energie;40;10311;43,4;1424;138;47826;4638;227794;158935;132413;22092;43,8;223061;156706;21633
2014;2. Quartal;06;B Investitionsgüter;56;8976;37,8;1236;138;35310;3934;200426;86639;24638;22329;38,6;181150;73292;20182
2014;2. Quartal;06;GG Gebrauchsgüter;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2014;2. Quartal;06;VG Verbrauchsgüter;23;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2014;2. Quartal;06;Verarbeitendes Gewerbe gesamt;121;23746;100;3237;136;96801;4077;519869;267688;171147;21893;100;492735;251704;20750
2014;2. Quartal;07;A+EN Vorleistungsgüter und Energie;40;10287;43,3;1498;146;36458;3544;250798;174989;154760;24380;54,4;244186;172583;23737
2014;2. Quartal;07;B Investitionsgüter;56;8980;37,8;1315;146;31445;3502;115701;46946;12929;12884;25,1;107702;45371;11994
2014;2. Quartal;07;GG Gebrauchsgüter;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2014;2. Quartal;07;VG Verbrauchsgüter;23;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2014;2. Quartal;07;Verarbeitendes Gewerbe gesamt;121;23733;100;3445;145;80778;3404;461432;244629;182374;19443;100;442704;239950;18654
2014;3. Quartal;08;A+EN Vorleistungsgüter und Energie;40;10303;43,2;1427;139;38845;3770;300533;235806;216074;29169;63,1;295456;233874;28677
2014;3. Quartal;08;B Investitionsgüter;56;9049;38;1157;128;30250;3343;85599;33615;7853;9459;18;81530;33099;9010
2014;3. Quartal;08;GG Gebrauchsgüter;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2014;3. Quartal;08;VG Verbrauchsgüter;23;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2014;3. Quartal;08;Verarbeitendes Gewerbe gesamt;121;23827;100;3143;132;81719;3430;476099;291837;238534;19981;100;464143;289238;19480
2014;3. Quartal;09;A+EN Vorleistungsgüter und Energie;40;10330;43,1;1485;144;37020;3584;302109;227470;198011;29246;29,1;294041;223184;28465
2014;3. Quartal;09;B Investitionsgüter;56;9148;38,1;1322;145;30442;3328;634791;549620;9115;69391;61,2;624337;546027;68248
2014;3. Quartal;09;GG Gebrauchsgüter;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2014;3. Quartal;09;VG Verbrauchsgüter;23;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2014;3. Quartal;09;Verarbeitendes Gewerbe gesamt;121;23988;100;3410;142;80699;3364;1037144;800624;222808;43236;100;1015006;792616;42313
2014;4. Quartal;10;A+EN Vorleistungsgüter und Energie;39;10298;42,9;1460;142;36786;3572;315209;246600;205714;30609;61,2;302843;237924;29408
2014;4. Quartal;10;B Investitionsgüter;56;9147;38,1;1315;144;31219;3413;103828;43133;10929;11351;20,1;98697;42628;10790
2014;4. Quartal;10;GG Gebrauchsgüter;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2014;4. Quartal;10;VG Verbrauchsgüter;23;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2014;4. Quartal;10;Verarbeitendes Gewerbe gesamt;120;24007;100;3393;141;80997;3374;515408;311427;230816;21469;100;493936;302155;20575
2014;4. Quartal;11;A+EN Vorleistungsgüter und Energie;39;10291;42,9;1413;137;49977;4856;196114;131018;106167;19057;45,5;186917;127917;18163
2014;4. Quartal;11;B Investitionsgüter;56;9150;38,1;1258;137;40096;4382;137556;65628;10275;15033;31,9;129108;64096;14110
2014;4. Quartal;11;GG Gebrauchsgüter;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2014;4. Quartal;11;VG Verbrauchsgüter;23;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2014;4. Quartal;11;Verarbeitendes Gewerbe gesamt;120;24007;100;3248;135;109023;4541;431161;220310;132029;17960;100;410187;215561;17086
2014;4. Quartal;12;A+EN Vorleistungsgüter und Energie;39;10281;42,9;1339;130;42713;4155;170593;109696;79032;16593;37,4;165201;107573;16069
2014;4. Quartal;12;B Investitionsgüter;56;9158;38,2;1149;125;33358;3642;192400;99877;11829;21009;42,2;175098;93128;19120
2014;4. Quartal;12;GG Gebrauchsgüter;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2014;4. Quartal;12;VG Verbrauchsgüter;23;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2014;4. Quartal;12;Verarbeitendes Gewerbe gesamt;120;23979;100;2995;125;89685;3740;455584;233995;107807;18999;100;429405;224925;17908
2015;1. Quartal;01;A+EN Vorleistungsgüter und Energie;39;10276;43,2;1467;143;37772;3676;231707;165514;136977;22548;54,8;226537;163403;22045
2015;1. Quartal;01;B Investitionsgüter;55;9044;38;1295;143;32066;3546;112546;47114;12033;12444;26,6;108442;45587;11990
2015;1. Quartal;01;GG Gebrauchsgüter;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2015;1. Quartal;01;VG Verbrauchsgüter;24;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2015;1. Quartal;01;Verarbeitendes Gewerbe gesamt;120;23771;100;3310;139;82571;3474;422650;234206;164188;17780;100;409459;229865;17225
2015;1. Quartal;02;A+EN Vorleistungsgüter und Energie;39;10311;43,4;1386;134;38339;3718;378950;315361;293824;36752;62,1;368951;313058;35782
2015;1. Quartal;02;B Investitionsgüter;55;9065;38,2;1217;134;30830;3401;148418;86785;21956;16373;24,3;141225;83510;15579
2015;1. Quartal;02;GG Gebrauchsgüter;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2015;1. Quartal;02;VG Verbrauchsgüter;23;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2015;1. Quartal;02;Verarbeitendes Gewerbe gesamt;119;23756;100;3166;133;82118;3457;610357;424574;332129;25693;100;590013;418912;24836
2015;1. Quartal;03;A+EN Vorleistungsgüter und Energie;39;10337;43,5;1542;149;37615;3639;540011;471896;445383;52241;69,3;533774;470003;51637
2015;1. Quartal;03;B Investitionsgüter;55;9049;38;1336;148;30365;3356;144396;66253;10806;15957;18,5;136456;62712;15080
2015;1. Quartal;03;GG Gebrauchsgüter;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2015;1. Quartal;03;VG Verbrauchsgüter;23;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2015;1. Quartal;03;Verarbeitendes Gewerbe gesamt;119;23783;100;3503;147;83555;3513;779142;560463;470524;32760;100;760766;554760;31988
2015;1. Quartal;04;A+EN Vorleistungsgüter und Energie;40;10412;43,6;1461;140;45658;4385;233342;116765;89983;22411;50,3;229253;114566;22018
2015;1. Quartal;04;B Investitionsgüter;55;9108;38,1;1270;139;35792;3930;137734;66725;7863;15122;29,7;132346;65244;14531
2015;1. Quartal;04;GG Gebrauchsgüter;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2015;1. Quartal;04;VG Verbrauchsgüter;23;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2015;1. Quartal;04;Verarbeitendes Gewerbe gesamt;120;23896;100;3321;139;94885;3971;463528;209696;113669;19398;100;450868;205793;18868
2015;2. Quartal;05;A+EN Vorleistungsgüter und Energie;40;10471;43,6;1378;132;44199;4221;272571;137014;113420;26031;57,2;266673;134671;25468
2015;2. Quartal;05;B Investitionsgüter;55;9189;38,3;1090;119;32928;3583;115640;50736;9966;12585;24,3;107526;46131;11702
2015;2. Quartal;05;GG Gebrauchsgüter;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2015;2. Quartal;05;VG Verbrauchsgüter;22;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2015;2. Quartal;05;Verarbeitendes Gewerbe gesamt;119;24018;100;2992;125;90450;3766;476711;212655;140421;19848;100;459728;205592;19141
2015;2. Quartal;06;A+EN Vorleistungsgüter und Energie;40;10570;43,9;1518;144;46179;4369;388009;289184;258987;36709;62,6;381939;286479;36134
2015;2. Quartal;06;B Investitionsgüter;55;9115;37,9;1343;147;35996;3949;140582;62771;14109;15423;22,7;133896;60573;14690
2015;2. Quartal;06;GG Gebrauchsgüter;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2015;2. Quartal;06;VG Verbrauchsgüter;22;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2015;2. Quartal;06;Verarbeitendes Gewerbe gesamt;119;24058;100;3479;145;96691;4019;619529;377275;288554;25751;100;603406;372186;25081
2015;2. Quartal;07;A+EN Vorleistungsgüter und Energie;40;10559;43,9;1477;140;37947;3594;235953;127171;101467;22346;50,8;230302;124922;21811
2015;2. Quartal;07;B Investitionsgüter;55;9107;37,9;1293;142;32696;3590;128914;53364;12280;14155;27,8;121168;49645;13305
2015;2. Quartal;07;GG Gebrauchsgüter;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2015;2. Quartal;07;VG Verbrauchsgüter;22;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2015;2. Quartal;07;Verarbeitendes Gewerbe gesamt;119;24054;100;3389;141;83768;3482;464073;208156;129750;19293;100;447592;201921;18608
2015;3. Quartal;08;A+EN Vorleistungsgüter und Energie;40;10598;43,8;1398;132;38385;3622;237526;123891;95027;22412;51,1;231093;120134;21805
2015;3. Quartal;08;B Investitionsgüter;55;9186;38;1163;127;31427;3421;130117;71056;14130;14165;28;123809;67875;13478
2015;3. Quartal;08;GG Gebrauchsgüter;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2015;3. Quartal;08;VG Verbrauchsgüter;22;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2015;3. Quartal;08;Verarbeitendes Gewerbe gesamt;119;24202;100;3130;129;83073;3432;465173;221699;126286;19220;100;448387;214074;18527
2015;3. Quartal;09;A+EN Vorleistungsgüter und Energie;40;10600;42,6;1494;141;37770;3563;392466;277180;233332;37025;62,2;375859;266636;35458
2015;3. Quartal;09;B Investitionsgüter;54;9869;39,6;1318;134;30671;3108;140006;70342;13673;14186;22,2;133328;67892;13510
2015;3. Quartal;09;GG Gebrauchsgüter;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2015;3. Quartal;09;VG Verbrauchsgüter;22;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2015;3. Quartal;09;Verarbeitendes Gewerbe gesamt;118;24909;100;3413;137;81687;3279;631267;373909;265407;25343;100;604323;360656;24261
2015;4. Quartal;10;A+EN Vorleistungsgüter und Energie;40;10602;42,5;1501;142;38734;3653;206755;97801;75878;19502;48,3;201861;96025;19040
2015;4. Quartal;10;B Investitionsgüter;54;9882;39,7;1306;132;31552;3193;120492;45821;9727;12193;28,1;113922;43862;11528
2015;4. Quartal;10;GG Gebrauchsgüter;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2015;4. Quartal;10;VG Verbrauchsgüter;22;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2015;4. Quartal;10;Verarbeitendes Gewerbe gesamt;118;24921;100;3422;137;84008;3371;428392;169798;102738;17190;100;413469;165794;16591
2015;4. Quartal;11;A+EN Vorleistungsgüter und Energie;40;10588;42,6;1466;138;51230;4838;285785;182631;159385;26991;54,7;279337;180649;26382
2015;4. Quartal;11;B Investitionsgüter;54;9807;39,5;1276;130;41377;4219;133995;67899;15549;13663;25,6;128196;66301;13072
2015;4. Quartal;11;GG Gebrauchsgüter;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2015;4. Quartal;11;VG Verbrauchsgüter;22;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2015;4. Quartal;11;Verarbeitendes Gewerbe gesamt;118;24829;100;3337;134;111858;4505;522559;276348;191036;21046;100;506435;272520;20397
2015;4. Quartal;12;A+EN Vorleistungsgüter und Energie;40;10578;43,9;1363;129;61105;5777;479941;370840;337424;45372;65,1;474104;368133;44820
2015;4. Quartal;12;B Investitionsgüter;54;9118;37,9;1144;125;33193;3640;156602;71239;16716;17175;21,3;141413;68674;15509
2015;4. Quartal;12;GG Gebrauchsgüter;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2015;4. Quartal;12;VG Verbrauchsgüter;22;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2015;4. Quartal;12;Verarbeitendes Gewerbe gesamt;118;24076;100;3041;126;107603;4469;736916;467099;370925;30608;100;712488;461746;29593
2016;1. Quartal;01;A+EN Vorleistungsgüter und Energie;37;10410;43,4;1453;140;44367;4262;186096;77979;55196;17877;50;181602;76725;17445
2016;1. Quartal;01;B Investitionsgüter;55;9200;38,4;1297;141;32328;3514;100373;41502;10313;10910;27;95733;40037;10406
2016;1. Quartal;01;GG Gebrauchsgüter;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2016;1. Quartal;01;VG Verbrauchsgüter;22;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2016;1. Quartal;01;Verarbeitendes Gewerbe gesamt;116;23963;100;3334;139;89498;3735;372010;147528;85136;15524;100;359882;144245;15018
2016;1. Quartal;02;A+EN Vorleistungsgüter und Energie;37;10338;43,3;1430;138;39116;3784;253048;160381;141102;24477;56,1;246809;159193;23874
2016;1. Quartal;02;B Investitionsgüter;55;9206;38,6;1301;141;32325;3511;106712;50272;12176;11592;23,7;102593;48954;11144
2016;1. Quartal;02;GG Gebrauchsgüter;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2016;1. Quartal;02;VG Verbrauchsgüter;22;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2016;1. Quartal;02;Verarbeitendes Gewerbe gesamt;116;23854;100;3330;140;84791;3555;450771;240589;172868;18897;100;437323;237544;18333
2016;1. Quartal;03;A+EN Vorleistungsgüter und Energie;37;10336;43,3;1472;142;38153;3691;265111;160840;137558;25649;53;260084;159595;25163
2016;1. Quartal;03;B Investitionsgüter;55;9204;38,6;1306;142;32185;3497;133895;64322;11896;14547;26,8;128041;62589;13911
2016;1. Quartal;03;GG Gebrauchsgüter;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2016;1. Quartal;03;VG Verbrauchsgüter;22;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2016;1. Quartal;03;Verarbeitendes Gewerbe gesamt;116;23853;100;3376;142;86930;3644;500150;259603;170547;20968;100;486400;256362;20392
2016;1. Quartal;04;A+EN Vorleistungsgüter und Energie;37;10325;43,2;1456;141;38086;3689;211990;111739;90352;20532;50,9;208619;110511;20205
2016;1. Quartal;04;B Investitionsgüter;57;9245;38,7;1343;145;35117;3798;113797;53983;12514;12309;27,3;109028;52648;11793
2016;1. Quartal;04;GG Gebrauchsgüter;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2016;1. Quartal;04;VG Verbrauchsgüter;22;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2016;1. Quartal;04;Verarbeitendes Gewerbe gesamt;118;23884;100;3419;143;87371;3658;416142;194185;123833;17423;100;404707;191203;16945
