Jahr;Wirtschaftszweig 2-Steller;Anzahl Betriebe;Tätige Personen;Brutto-Entgelte (in 1000 EUR);Brutto-Entgelte je tätiger Person;Gesamtumsatz (in 1000 EUR);"Umsatzanteil Ausland am Gesamtumsatz (absolut; in 1000 EUR)";Gesamtumsatz je tätiger Person;Exportquote (in Prozent)
2013;Verarbeitendes Gewerbe gesamt;236;27155;1105070;40695;6399453;3370903;235664;52,7
2013;08-Gewinn. v. Steinen+Erden, sonstiger Bergbau;0;0;0;0;0;0;0;0
2013;10-Herst. von Nahrungs- und Futtermitteln;24;939;20119;21426;144485;-;153871;-
2013;11-Getränkeherstellung;1;-;-;-;-;-;-;-
2013;12-TabakVerarb.;1;-;-;-;-;-;-;-
2013;13-Herst. von Textilien;1;-;-;-;-;-;-;-
2013;16-Herst. Holz-,Flecht-,Korb-+Korkw. (oh.Möbel);1;-;-;-;-;-;-;-
2013;17-Herst. von Papier, Pappe und Waren daraus;1;-;-;-;-;-;-;-
2013;"18-Druckerzeugn.;Vervielf. Ton-,Bild-,Datentr.";20;1881;50633;26918;223565;29829;118854;13,3
2013;20-Herst. von chemischen Erzeugnissen;5;483;14328;29665;108789;31923;225236;29,3
2013;21-Herst. von pharmazeutischen Erzeugnissen;6;-;-;-;-;-;-;-
2013;22-Herst. von Gummi- und Kunststoffwaren;6;365;9452;25896;59227;28202;162266;47,6
2013;23-Glas+Glasw.,Keramik,Verarb. v. Stein+Erden;11;246;8572;34846;56152;-;228260;-
2013;24-Metallerzeugung und -bearbeitung;2;-;-;-;-;-;-;-
2013;25-Herst. von Metallerzeugnissen;22;1450;37470;25841;148547;11955;102446;8
2013;26-Herst. DVgeräten,elektron.+opt. Erzeugnissen;29;8546;413400;48374;2458380;1988668;287664;80,9
2013;27-Herst. von elektrischen Ausrüstungen;19;1989;82266;41360;338163;163161;170017;48,2
2013;28-Maschinenbau;34;4378;179261;40946;844786;553374;192962;65,5
2013;29-Herst. von Kraftwagen und Kraftwagenteilen;2;-;-;-;-;-;-;-
2013;30-Sonstiger Fahrzeugbau;3;-;-;-;-;-;-;-
2013;31-Herst. von Möbeln;1;-;-;-;-;-;-;-
2013;32-Herst. von sonstigen Waren;14;761;17258;22678;53305;-;70046;-
2013;33-Rep. + Install. v. Maschinen + Ausrüstungen;33;2051;84575;41236;321369;59810;156689;18,6
2014;Verarbeitendes Gewerbe gesamt;242;27302;1131811;41455;6628933;3796456;242800;57,3
2014;08-Gewinn. v. Steinen+Erden, sonstiger Bergbau;1;-;-;-;-;-;-;-
2014;10-Herst. von Nahrungs- und Futtermitteln;26;975;21370;21918;143163;4027;146834;2,8
2014;11-Getränkeherstellung;1;-;-;-;-;-;-;-
2014;12-TabakVerarb.;1;-;-;-;-;-;-;-
2014;13-Herst. von Textilien;1;-;-;-;-;-;-;-
2014;16-Herst. Holz-,Flecht-,Korb-+Korkw. (oh.Möbel);1;-;-;-;-;-;-;-
2014;17-Herst. von Papier, Pappe und Waren daraus;1;-;-;-;-;-;-;-
2014;"18-Druckerzeugn.;Vervielf. Ton-,Bild-,Datentr.";19;1893;51807;27368;220045;-;116241;-
2014;20-Herst. von chemischen Erzeugnissen;5;491;15470;31507;117036;37257;238363;31,8
2014;21-Herst. von pharmazeutischen Erzeugnissen;6;-;-;-;-;-;-;-
2014;22-Herst. von Gummi- und Kunststoffwaren;5;-;-;-;-;-;-;-
2014;23-Glas+Glasw.,Keramik,Verarb. v. Stein+Erden;10;253;9034;35708;59408;-;234814;-
2014;24-Metallerzeugung und -bearbeitung;1;-;-;-;-;-;-;-
2014;25-Herst. von Metallerzeugnissen;22;1525;39707;26037;153861;11601;100892;7,5
2014;26-Herst. DVgeräten,elektron.+opt. Erzeugnissen;34;8523;419965;49274;2584657;2046875;303257;79,2
2014;27-Herst. von elektrischen Ausrüstungen;19;1882;79427;42204;328608;164530;174606;50,1
2014;28-Maschinenbau;34;4481;185377;41370;1256170;964759;280333;76,8
2014;29-Herst. von Kraftwagen und Kraftwagenteilen;4;-;-;-;-;-;-;-
2014;30-Sonstiger Fahrzeugbau;3;-;-;-;-;-;-;-
2014;31-Herst. von Möbeln;1;-;-;-;-;-;-;-
2014;32-Herst. von sonstigen Waren;14;774;17752;22935;54712;-;70687;-
2014;33-Rep. + Install. v. Maschinen + Ausrüstungen;33;1913;80358;42006;289380;59488;151270;20,6
