Jahr;Quartal;Monat;Wirtschaftszweig 2-Steller;Anzahl Betriebe;Tätige Personen (absolut);"Tätige Personen (Anteil an Gesamtbeschäftigten; in Prozent)";Geleistete Arbeitsstunden (gesamt in 1000h);Geleistete Arbeitsstunden je tätiger Person;Brutto-Entgelte (in 1000 EUR);Brutto-Entgelte je tätiger Person;Gesamtumsatz (in 1000 EUR);"Umsatzanteil Ausland am Gesamtumsatz (absolut; in 1000 EUR)";"Umsatzanteil Eurozone am Gesamtumsatz (absolut; in 1000 EUR)";Gesamtumsatz je tätiger Person;"Umsatzanteil (Anteil an Gesamtsumme des Verarb. Gewerbes; in Prozent)";Umsatz aus eigenen Erzeugnissen gesamt (in 1000 EUR);Umsatz aus eigenen Erzeugnissen Ausland (in 1000 EUR);Umsatz aus eigenen Erzeugnissen je tätiger Person
2014;1. Quartal;01;Verarbeitendes Gewerbe gesamt;119;23468;100;3455;147;78925;3363;371782;189612;-;15842;100;359553;186644;15321
2014;1. Quartal;01;10-Herst. von Nahrungs- und Futtermitteln;7;547;2,3;75;137;1126;2059;7199;-;-;13160;1,9;6871;-;12561
2014;1. Quartal;01;11-Getränkeherstellung;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2014;1. Quartal;01;12-TabakVerarb.;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2014;1. Quartal;01;16-Herst. Holz-,Flecht-,Korb-+Korkw. (oh.Möbel);1;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2014;1. Quartal;01;"18-Druckerzeugn.;Vervielf. Ton-,Bild-,Datentr.";7;1472;6,3;202;137;3502;2379;14838;-;-;10080;4;14256;-;9685
2014;1. Quartal;01;20-Herst. von chemischen Erzeugnissen;5;483;2,1;72;149;1151;2383;8543;2278;-;17687;2,3;7280;2252;15072
2014;1. Quartal;01;21-Herst. von pharmazeutischen Erzeugnissen;4;1424;6,1;206;145;4686;3291;14494;-;-;10178;3,9;14110;-;9909
2014;1. Quartal;01;22-Herst. von Gummi- und Kunststoffwaren;3;293;1,2;44;150;675;2304;6204;-;-;21174;1,7;6152;-;20997
2014;1. Quartal;01;23-Glas+Glasw.,Keramik,Verarb. v. Stein+Erden;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2014;1. Quartal;01;25-Herst. von Metallerzeugnissen;12;1161;4,9;178;153;2490;2145;8612;710;-;7417;2,3;8437;631;7267
2014;1. Quartal;01;26-Herst. DVgeräten,elektron.+opt. Erzeugnissen;20;8088;34,5;1198;148;29981;3707;154112;110286;-;19054;41,5;150736;109615;18637
2014;1. Quartal;01;27-Herst. von elektrischen Ausrüstungen;11;1692;7,2;258;152;5740;3392;22261;11354;-;13156;6;20799;10064;12293
2014;1. Quartal;01;28-Maschinenbau;22;3955;16,9;601;152;14022;3545;28684;17781;-;7252;7,7;28311;17706;7158
2014;1. Quartal;01;29-Herst. von Kraftwagen und Kraftwagenteilen;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2014;1. Quartal;01;30-Sonstiger Fahrzeugbau;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2014;1. Quartal;01;32-Herst. von sonstigen Waren;7;571;2,4;79;138;1044;1828;3148;-;-;5513;0,8;1389;-;2433
