Jahr;Quartal;Verfahren insgesamt;Eröffnete Verfahren;Mangels Masse abgewiesene Verfahren;Voraussichtliche Forderungen in Mio. Euro
2011;1. Quartal;208;183;25;39,1
2011;2. Quartal;188;166;21;27
2011;3. Quartal;191;179;12;24
2011;4. Quartal;193;180;12;29,5
2012;1. Quartal;187;174;13;88,5
2012;2. Quartal;217;200;17;54,7
2012;3. Quartal;214;196;18;43,9
2012;4. Quartal;171;150;21;37,2
2013;1. Quartal;183;172;10;67,9
2013;2. Quartal;155;139;16;36,5
2013;3. Quartal;189;178;10;30,6
2013;4. Quartal;149;128;21;21,7
2014;1. Quartal;158;139;18;54,1
2014;2. Quartal;198;181;16;1048,4
2014;3. Quartal;165;146;19;-
2014;4. Quartal;135;123;12;-
2015;1. Quartal;153;147;6;18,5
2015;2. Quartal;185;168;17;26,1
2015;3. Quartal;155;143;12;34,7
2015;4. Quartal;182;170;12;36,5
2016;1. Quartal;192;169;21;18,5
2016;2. Quartal;177;162;15;72,6
2016;3. Quartal;168;149;16;18,3
2016;4. Quartal;145;138;7;30,2
2017;1. Quartal;118;106;12;18,7
2017;2. Quartal;137;128;9;18,8
2017;3. Quartal;155;143;12;26,6
2017;4. Quartal;142;133;8;114,7
2018;1. Quartal;135;126;7;30,5
2018;2. Quartal;161;145;14;18,2
2018;3. Quartal;148;133;15;395,5
2018;4. Quartal;142;130;11;23,2
2019;1. Quartal;128;120;7;27,7
2019;2. Quartal;154;138;15;21,1
2019;3. Quartal;137;130;5;10,2
2019;4. Quartal;132;119;13;15
2020;1. Quartal;151;131;18;9,7
2020;2. Quartal;140;125;12;20
2020;3. Quartal;46;39;7;14,1
2020;4. Quartal;45;37;8;39,1
2021;1. Quartal;198;193;5;18,6
2021;2. Quartal;171;165;6;22,5
2021;3. Quartal;156;153;3;16,6
2021;4. Quartal;139;131;8;17,9
2022;1. Quartal;158;146;10;19,4
2022;2. Quartal;154;146;8;25,4
2022;3. Quartal;145;139;6;13,3
2022;4. Quartal;125;120;4;14,8
2023;1. Quartal;117;112;5;18,3
2023;2. Quartal;159;152;6;18,1
2023;3. Quartal;161;156;4;18,3
2023;4. Quartal;155;144;11;36,8
2024;1. Quartal;167;158;9;26,9
2024;2. Quartal;175;168;7;30,6
2024;3. Quartal;191;182;9;23,2
2024;4. Quartal;183;167;16;48,2
2025;1. Quartal;171;153;18;27,3
2025;2. Quartal;166;156;10;41,3
2025;3. Quartal;170;159;11;26,7
2025;4. Quartal;183;175;8;43,7
2026;1. Quartal;196;172;24;24
