Jahr;Quartal;Eröffnete Verfahren;Mangels Masse abgewiesene Verfahren;Schuldnerart - ehemals selbstständig Tätige mit Regelinsolvenzverfahren;Schuldnerart - ehemals selbstständig Tätige mit Verbraucherinsolvenzverfahren;Schuldnerart - Verbraucher;Schuldnerart - natürrliche Personen als Gesellschafter u.Ä., Nachlässe u. Gesamtgut
2011;1. Quartal;143;9;45;5;99;3
2011;2. Quartal;127;5;50;5;77;1
2011;3. Quartal;133;5;43;9;82;4
2011;4. Quartal;141;4;27;4;104;11
2012;1. Quartal;136;6;28;6;103;5
2012;2. Quartal;168;6;41;7;122;4
2012;3. Quartal;153;6;32;7;117;3
2012;4. Quartal;115;4;20;14;84;1
2013;1. Quartal;132;3;21;17;97;1
2013;2. Quartal;98;6;25;6;69;4
2013;3. Quartal;141;2;20;16;107;1
2013;4. Quartal;102;6;21;7;79;1
2014;1. Quartal;98;4;26;8;67;2
2014;2. Quartal;135;3;30;9;99;1
2014;3. Quartal;117;7;25;15;80;4
2014;4. Quartal;94;4;15;12;69;2
2015;1. Quartal;122;3;26;8;89;2
2015;2. Quartal;129;8;30;13;90;4
2015;3. Quartal;112;3;25;22;68;0
2015;4. Quartal;134;8;29;21;91;1
2016;1. Quartal;131;10;22;17;99;5
2016;2. Quartal;117;6;17;10;90;6
2016;3. Quartal;119;12;30;13;84;7
2016;4. Quartal;100;3;21;14;66;2
2017;1. Quartal;78;6;11;12;57;4
2017;2. Quartal;101;7;15;16;73;4
2017;3. Quartal;121;5;18;14;88;6
2017;4. Quartal;103;1;14;9;81;1
2018;1. Quartal;94;3;18;12;66;3
2018;2. Quartal;120;3;20;10;90;5
2018;3. Quartal;105;3;14;14;76;4
2018;4. Quartal;110;3;8;14;87;5
2019;1. Quartal;97;2;14;7;77;2
2019;2. Quartal;111;6;17;15;80;6
2019;3. Quartal;115;4;13;12;89;7
2019;4. Quartal;103;8;16;9;79;7
2020;1. Quartal;119;7;11;14;92;11
2020;2. Quartal;97;7;13;7;79;8
2020;3. Quartal;29;3;6;1;22;3
2020;4. Quartal;22;7;4;0;16;9
2021;1. Quartal;173;2;13;14;147;1
2021;2. Quartal;148;2;10;18;118;4
2021;3. Quartal;141;0;14;19;106;2
2021;4. Quartal;114;2;11;17;85;3
2022;1. Quartal;129;1;14;24;91;3
2022;2. Quartal;132;2;15;20;97;2
2022;3. Quartal;118;2;14;13;90;3
2022;4. Quartal;104;1;17;16;70;3
2023;1. Quartal;92;1;21;11;61;0
2023;2. Quartal;127;2;20;10;99;1
2023;3. Quartal;128;1;24;14;90;2
2023;4. Quartal;123;3;16;16;91;3
2024;1. Quartal;110;0;18;15;76;1
2024;2. Quartal;135;2;20;16;99;2
2024;3. Quartal;152;0;8;18;124;2
2024;4. Quartal;139;5;18;11;114;1
2025;1. Quartal;138;7;21;8;110;6
2025;2. Quartal;124;2;14;16;95;1
2025;3. Quartal;125;2;11;18;94;4
2025;4. Quartal;135;4;14;24;97;4
2026;1. Quartal;154;9;21;7;128;7
