Jahr;Quartal;Insolvenzverfahren (insgesamt);darunter eröffnete Verfahren;Einzelunternehmen;Personengesellschaften;Gesellschaften mbH;Aktiengesellschaften, KGaA;Private Company Limited by Shares (Ltd);sonstige Rechtsformen;C Verarbeitendes Gewerbe;F Baugewerbe;"G Handel; Instandhaltung und Reparatur von Kfz";H Verkehr und Lagerei;I Gastgewerbe;J Information und Kommunikation;K Erbringung von Finanz- und Versicherungsdienstleistungen;L Grundstücks- und Wohnungswesen;M Erbringung von freiberuflichen, wissenschaftlichen und technischen Dienstleistungen;N Erbringung von sonstigen wirtschaftlichen Dienstleistungen;Q Gesundheits- und Sozialwesen;R Kunst, Unterhaltung und Erholung;S Erbringung von sonstigen Dienstleistungen;Übrige Wirtschaftsbereiche (A, B, D, E, P)
2011;1. Quartal;56;40;14;5;33;1;1;2;6;6;4;1;8;0;2;3;14;3;3;2;4;0
2011;2. Quartal;55;39;18;10;24;0;2;1;3;14;7;1;10;0;1;5;7;5;0;1;1;0
2011;3. Quartal;53;46;20;2;29;1;0;1;2;8;9;3;0;3;1;5;6;8;0;4;2;2
2011;4. Quartal;47;39;22;6;18;1;0;0;2;10;7;3;4;2;3;1;6;5;1;1;2;0
2012;1. Quartal;45;38;19;3;21;0;2;0;1;10;7;0;5;2;1;3;11;3;1;0;1;0
2012;2. Quartal;43;32;20;1;19;0;0;3;2;9;5;0;5;1;2;2;4;4;1;2;6;0
2012;3. Quartal;55;43;24;5;23;2;0;1;4;7;5;2;4;4;2;3;11;5;5;1;1;1
2012;4. Quartal;52;35;27;2;19;1;2;1;3;6;10;2;5;2;0;0;13;4;1;0;4;2
2013;1. Quartal;47;40;21;3;21;0;1;1;9;2;7;2;3;2;3;4;5;2;1;1;4;2
2013;2. Quartal;51;41;20;8;20;0;2;1;2;11;7;2;3;4;2;0;7;5;1;2;2;3
2013;3. Quartal;45;37;21;5;17;1;0;1;4;6;8;2;3;1;4;3;5;5;1;2;1;0
2013;4. Quartal;41;26;17;4;20;0;0;0;5;8;5;1;3;5;1;0;4;4;1;0;2;2
2014;1. Quartal;55;41;24;1;28;2;0;0;2;11;9;1;1;2;3;3;9;7;1;3;2;1
2014;2. Quartal;59;46;21;2;29;5;0;2;3;7;8;4;3;4;5;6;8;9;0;1;1;0
2014;3. Quartal;41;29;16;1;23;0;1;0;3;8;8;0;3;0;3;2;7;2;0;2;2;1
2014;4. Quartal;37;29;14;2;19;0;1;1;1;2;7;1;4;1;0;1;6;6;2;1;3;2
2015;1. Quartal;28;25;10;1;16;0;0;1;3;5;3;1;7;0;0;1;2;2;0;2;1;1
2015;2. Quartal;48;39;27;0;21;0;0;0;4;6;9;2;5;2;2;4;3;9;0;1;1;0
2015;3. Quartal;40;31;17;2;20;1;0;0;3;8;7;0;3;3;2;1;1;7;1;1;3;0
2015;4. Quartal;40;36;21;3;15;1;0;0;4;4;7;1;4;0;0;1;4;8;1;1;1;4
2016;1. Quartal;49;38;28;2;17;0;0;2;4;7;4;1;6;1;1;3;8;8;1;2;1;2
2016;2. Quartal;54;45;31;2;20;0;0;1;3;10;9;4;5;0;3;0;7;8;1;1;2;1
2016;3. Quartal;34;30;19;0;15;0;0;0;3;3;5;1;5;3;1;1;7;0;0;3;2;0
