Jahr;Quartal;Aufnahme (in Euro);Tilgung (in Euro);Berichtigungen, sonstige Zu- und Abgänge (in Euro);Schuldenstand am Ende des Berichtsquartals (in Euro)
1996;1. Quartal;0;290445,5;0;703928676,8
1996;2. Quartal;0;5462682,8;0;698465994
1996;3. Quartal;0;299854,8;0;698166139,2
1996;4. Quartal;20451675,2;26376363;1713252,2;693954703,6
1997;1. Quartal;0;377892,8;0;693576810,9
1997;2. Quartal;0;6056815,3;0;687519995,6
1997;3. Quartal;0;750472,2;4924689,8;691694213,2
1997;4. Quartal;91455545,7;6636827,8;1624321,6;778137252,7
1998;1. Quartal;25564594,1;30006915,7;0;773694931
1998;2. Quartal;0;5906282,8;0;767788648,3
1998;3. Quartal;0;1016303,6;0;766772344,7
1998;4. Quartal;0;9049464,9;-3232902,1;754489977,7
1999;1. Quartal;0;5513884,6;2458,3;748978551,3
1999;2. Quartal;40903350,5;46779083,6;23751330,1;766854148,4
1999;3. Quartal;22056620,5;860017,5;-4916,6;788045834,8
1999;4. Quartal;98655565,7;93803762,6;-3354006,7;789543631,1
2000;1. Quartal;0;6119301,8;0;783424329,3
2000;2. Quartal;0;6373635,8;0;777050693,6
2000;3. Quartal;0;3295919,4;0;773754774,2
2000;4. Quartal;57264690,7;5202144,4;-65185,6;825752134,9
2001;1. Quartal;0;6893490,7;-2693659,5;816164984,7
2001;2. Quartal;0;6481559,8;-22190578,9;787492846
2001;3. Quartal;0;2901539;0;784591307
2001;4. Quartal;43742025,6;6648174,9;-548315,6;821136842,2
2002;1. Quartal;0;7370883;0;813765959,2
2002;2. Quartal;0;6723627;0;807042332,2
2002;3. Quartal;0;3652011;0;803390321,2
2002;4. Quartal;8072300;6558357;0;804904264,2
2003;1. Quartal;0;6503025;0;798401239,2
2003;2. Quartal;0;7058117;0;791343122,2
2003;3. Quartal;0;13616946;0;777726176,2
2003;4. Quartal;42690440;98966772;-686785;720763059,2
2004;1. Quartal;22669750;6739679;0;736693130,2
2004;2. Quartal;0;7449193;0;729243937,2
2004;3. Quartal;0;4761576;0;724482361,2
2004;4. Quartal;31966950;6777690;-49478;749622143,2
2005;1. Quartal;0;7368569;0;742253572
2005;2. Quartal;28376699;8559780;0;762070491
2005;3. Quartal;0;5920193;0;756150298
2005;4. Quartal;0;8105755;-52368;747992175
2006;1. Quartal;0;6832396;0;741159779
2006;2. Quartal;0;310918145;0;430241634
2006;3. Quartal;0;190367760;0;239873874
2006;4. Quartal;0;204588471;0;35285403
2007;1. Quartal;0;517855;0;34767548
2007;2. Quartal;0;120842;0;34646706
2007;3. Quartal;0;16294226;0;18352480
2007;4. Quartal;0;0;-27000;18325480
2008;1. Quartal;0;18325480;0;0
2008;2. Quartal;0;0;0;0
2008;3. Quartal;0;0;0;0
2008;4. Quartal;0;0;0;0
2009;1. Quartal;0;0;0;0
2009;2. Quartal;0;0;0;0
2009;3. Quartal;0;0;0;0
2009;4. Quartal;0;0;0;0
2010;1. Quartal;0;0;0;0
2010;2. Quartal;0;0;0;0
2010;3. Quartal;0;0;0;0
2010;4. Quartal;0;0;0;0
2011;1. Quartal;0;0;0;0
2011;2. Quartal;0;0;0;0
2011;3. Quartal;0;0;0;0
2011;4. Quartal;0;0;0;0
2012;1. Quartal;0;0;0;0
2012;2. Quartal;0;0;0;0
2012;3. Quartal;0;0;0;0
2012;4. Quartal;0;0;0;0
2013;1. Quartal;0;0;0;0
2013;2. Quartal;0;0;0;0
2013;3. Quartal;0;0;0;0
2013;4. Quartal;0;0;0;0
2014;1. Quartal;0;0;0;0
2014;2. Quartal;0;0;0;0
2014;3. Quartal;0;0;0;0
2014;4. Quartal;0;0;0;0
2015;1. Quartal;0;0;0;0
2015;2. Quartal;0;0;0;0
2015;3. Quartal;0;0;0;0
2015;4. Quartal;0;0;0;0
2016;1. Quartal;0;0;0;0
2016;2. Quartal;0;0;0;0
2016;3. Quartal;0;0;0;0
2016;4. Quartal;0;0;0;0
2017;1. Quartal;0;0;0;0
2017;2. Quartal;0;0;0;0
2017;3. Quartal;0;0;0;0
2017;4. Quartal;0;0;0;0
2018;1. Quartal;0;0;0;0
2018;2. Quartal;0;0;0;0
2018;3. Quartal;0;0;0;0
2018;4. Quartal;0;0;0;0
2019;1. Quartal;0;0;0;0
2019;2. Quartal;0;0;0;0
2019;3. Quartal;0;0;0;0
2019;4. Quartal;0;0;0;0
2020;1. Quartal;0;0;0;0
2020;2. Quartal;0;0;0;0
2020;3. Quartal;0;0;0;0
2020;4. Quartal;0;0;0;0
2021;1. Quartal;0;0;0;0
2021;2. Quartal;0;0;0;0
2021;3. Quartal;0;0;0;0
2021;4. Quartal;0;0;0;0
2022;1. Quartal;0;0;0;0
2022;2. Quartal;0;0;0;0
2022;3. Quartal;0;0;0;0
2022;4. Quartal;0;0;0;0
