Jahr;Region;Einwohner;Einwohner (Promille);Haushalte;Haushalte (Promille);Kaufkraft (in Mio EUR);Kaufkraft (Promille);Kaufkraft pro Einwohner (in EUR);Kaufkraft pro Einwohner (Index);Kaufkraft pro Einwohner Index (Europa);Kaufkraft pro Haushalt (in EUR);Kaufkraft pro Haushalt (Index);Kaufkraft pro Haushalt Index (Europa);Einzelhandelskaufkraft (in Mio EUR);Einzelhandelskaufkraft (in Promille);Einzelhandelskaufkraft pro Einwohner (in EUR);Einzelhandelskaufkraft (Index);Einzelhandelsumsatz (in Mio EUR);Einzelhandelsumsatz (in Promille);Einzelhandelsumsatz pro Einwohner (in EUR);Einzelhandelsumsatz (Index);Einzelhandelszentralität
2013;Bundesrepublik Deutschland;81843743;1000;39893262;1000;1687700;1000;20621;100;160;42305,4;100;128,9;450100;1000;5499,5;100;412100;1000;5035,2;100;100
2013;Sachsen;4046385;50,1;2121759;53,6;73273,4;42,3;18108,4;84,4;133,3;34534,3;78,9;100,4;20346;45,2;4918;89,4;17923,2;43,5;4332,4;86;96,2
2013;Chemnitz;243173;3;131489;3,3;4402,1;2,6;18102,6;87,8;140,4;33478,6;79,1;102;1248;2,8;5132,1;93,3;1406,3;3,4;5783,2;114,9;123,1
2013;Dresden;529781;6,5;291200;7,3;9847,6;5,8;18588,1;90,1;144,2;33817,4;79,9;103;2791,4;6,2;5268,9;95,8;2782,5;6,8;5252,1;104,3;108,9
2013;Leipzig;531809;6,5;302558;7,6;9264,8;5,5;17421,2;84,5;135,1;30621,4;72,4;93,3;2664,3;5,9;5009,9;91,1;2546,3;6,2;4788,1;95,1;104,4
2014;Bundesrepublik Deutschland;80523746;1000;39408068;1000;1705400;1000;21178,8;100;162,1;43275,4;100;129,5;455500;1000;5656,7;100;408000;1000;5066,8;100;100
2014;Sachsen;4050204;50,3;2136677;54,2;71058,4;41,7;17544,4;82,8;145,8;33256,5;76,8;103,2;20381,5;44,7;5032,2;89;17699,9;43,4;4370,1;86,2;97
2014;Chemnitz;241210;3;131402;3,3;4438,1;2,6;18399,2;86,9;140,8;33774,8;78;101,1;1247,7;2,7;5172,8;91,4;1377,4;3,4;5710,2;112,7;123,2
2014;Dresden;525105;6,5;290092;7,4;9999,7;5,9;19043,2;89,9;145,8;34470,7;79,7;103,2;2820,8;6,2;5371,9;95;2736,7;6,7;5211,8;102,9;108,3
2014;Leipzig;520838;6,5;299835;7,6;9358,5;5,5;17968,2;84,8;137,5;31212,3;72,1;93,4;2687,8;5,9;5160,5;91,2;2462,8;6;4728,5;93,3;102,3
2015;Bundesrepublik Deutschland;80767463;1000;39567336;1000;1732400;1000;21449,2;100;156,3;43783,6;100;114,5;459700;1000;5691,6;100;403900;1000;5000,8;100;100
2015;Sachsen;4046385;50,1;2121759;53,6;73273,4;42,3;18108,4;84,4;132,8;34534,3;78,9;101,4;20711,2;45,1;5118,4;89,9;17359,2;43;4290;85,8;95,4
2015;Chemnitz;242022;3;131130;3,3;4587,5;2,6;18954,8;88,4;139;34984,3;79,9;102,8;1266,4;2,8;5232,7;91,9;1334,5;3,3;5513,8;110,3;119,9
2015;Dresden;530754;6,6;290953;7,4;10343,2;6;19487,7;90,9;142,9;35549,2;81,2;104,4;2879,4;6,3;5425;95,3;2758,4;6,8;5197,1;103,9;109
2015;Leipzig;531562;6,6;304284;7,7;9826,4;5,7;18485,9;86,2;135,6;32293,5;73,8;94,9;2781;6;5231,8;91,9;2571,6;6,4;4837,7;96,7;105,2
2016;Bundesrepublik Deutschland;81197537;1000;39957094;1000;1776500;1000;21878,7;100;160;44460,2;100;130,4;465200;1000;5729,2;100;411300;1000;5065,4;100;100
