Jahr;Stadtraum;Einkommen-Haushalt (Äquivalenz-);Anteil Haushalte mit relativ geringem Einkommen - arm;Anteil Haushalte mit mittlerem Einkommen;Anteil Haushalte mit relativ hohem Einkommen - reich
1993;01 StB Altstadt ohne Johannstadt;894,8;11,3;85,2;3,5
1993;02 Johannstadt;937,4;7,7;86,9;5,4
1993;03 StB Neustadt ohne Leipziger Vorstadt;766,9;23,7;75,9;0,4
1993;04 Leipziger Vorstadt, Pieschen;721,9;19,6;78,2;2,2
1993;05 Mickten, Kaditz, Trachau;791,3;16,1;81,5;2,5
1993;06 StB Klotzsche und nördliche OS;847,8;14,3;80,2;5,5
1993;07 StB Loschwitz und OS Schönfeld-Weißig;937,4;15,7;78,3;6
1993;08 Blasewitz, Striesen;913;12,9;82;5
1993;09 Tolkewitz, Seidnitz, Gruna;894,8;15,4;79,9;4,8
1993;10 StB Leuben;894,8;11,1;86,6;2,3
1993;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);894,8;13,6;83,7;2,6
1993;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);931,1;9,8;85;5,1
1993;13 Südvorstadt, Zschertnitz;894,8;19,4;77,2;3,4
1993;14 Mockritz, Coschütz, Plauen;889,2;14,2;79,8;6,1
1993;15 Cotta, Löbtau, Naußlitz, Dölzschen;781,1;17,5;78,1;4,4
1993;16 Gorbitz;894,8;7,6;90,8;1,6
1993;17 Briesnitz und westliche OS;749;11,8;86,7;1,5
1993;18 Dresden gesamt;894,8;14,1;82,3;3,6
1995;01 StB Altstadt ohne Johannstadt;937,4;11,1;85,4;3,5
1995;02 Johannstadt;937,4;8,6;88,7;2,6
1995;03 StB Neustadt ohne Leipziger Vorstadt;818,1;21,7;75,5;2,8
1995;04 Leipziger Vorstadt, Pieschen;786,6;25,1;73,2;1,6
1995;05 Mickten, Kaditz, Trachau;937,4;11,5;85,2;3,3
1995;06 StB Klotzsche und nördliche OS;818,1;14,4;78;7,6
1995;07 StB Loschwitz und OS Schönfeld-Weißig;937,4;7,6;86,7;5,7
1995;08 Blasewitz, Striesen;907,9;8,5;88,7;2,8
1995;09 Tolkewitz, Seidnitz, Gruna;916,4;9,3;87,4;3,3
1995;10 StB Leuben;937,4;10,2;84,5;5,3
1995;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);937,4;9,2;87,2;3,5
1995;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);937,4;14,9;80,1;5
1995;13 Südvorstadt, Zschertnitz;818,1;21,9;74,2;3,9
1995;14 Mockritz, Coschütz, Plauen;937,4;7,3;84;8,7
1995;15 Cotta, Löbtau, Naußlitz, Dölzschen;818,1;7,7;89,1;3,2
1995;16 Gorbitz;917,2;9,8;89,1;1,1
1995;17 Briesnitz und westliche OS;937,4;8,2;86,3;5,6
