Jahr;Stadtraum;Befindlichkeitsart;"Anteil Benotung ""gut""";"Anteil Benotung ""teils/teils""";"Anteil Benotung ""schlecht"""
1993;01 StB Altstadt ohne Johannstadt;Gesundheitszustand;41,4;53,7;5
1993;01 StB Altstadt ohne Johannstadt;Wohlbefinden;38,2;56,4;5,4
1993;02 Johannstadt;Gesundheitszustand;44,6;46,9;8,5
1993;02 Johannstadt;Wohlbefinden;45,3;49,1;5,6
1993;03 StB Neustadt ohne Leipziger Vorstadt;Gesundheitszustand;61,2;35;3,8
1993;03 StB Neustadt ohne Leipziger Vorstadt;Wohlbefinden;42,9;52,3;4,8
1993;04 Leipziger Vorstadt, Pieschen;Gesundheitszustand;47,5;46,6;6
1993;04 Leipziger Vorstadt, Pieschen;Wohlbefinden;41,4;52;6,7
1993;05 Mickten, Kaditz, Trachau;Gesundheitszustand;43,8;51,3;5
1993;05 Mickten, Kaditz, Trachau;Wohlbefinden;43;51,2;5,8
1993;06 StB Klotzsche und nördliche OS;Gesundheitszustand;55,4;43,3;1,4
1993;06 StB Klotzsche und nördliche OS;Wohlbefinden;51,7;47,6;0,7
1993;07 StB Loschwitz und OS Schönfeld-Weißig;Gesundheitszustand;50,6;47,7;1,7
1993;07 StB Loschwitz und OS Schönfeld-Weißig;Wohlbefinden;50,9;44,3;4,8
1993;08 Blasewitz, Striesen;Gesundheitszustand;53,9;41;5,1
1993;08 Blasewitz, Striesen;Wohlbefinden;42,6;51,1;6,3
1993;09 Tolkewitz, Seidnitz, Gruna;Gesundheitszustand;49,7;44,7;5,5
1993;09 Tolkewitz, Seidnitz, Gruna;Wohlbefinden;51,7;44,7;3,6
1993;10 StB Leuben;Gesundheitszustand;46,3;50,7;3
1993;10 StB Leuben;Wohlbefinden;47,1;49,5;3,4
1993;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);Gesundheitszustand;52,2;41,1;6,7
1993;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);Wohlbefinden;42;51,2;6,8
1993;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);Gesundheitszustand;47,1;47;5,9
1993;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);Wohlbefinden;42,9;51,9;5,2
1993;13 Südvorstadt, Zschertnitz;Gesundheitszustand;47,1;49,7;3,3
1993;13 Südvorstadt, Zschertnitz;Wohlbefinden;45,6;50,9;3,5
1993;14 Mockritz, Coschütz, Plauen;Gesundheitszustand;51,7;44,6;3,7
1993;14 Mockritz, Coschütz, Plauen;Wohlbefinden;48,1;49,5;2,4
1993;15 Cotta, Löbtau, Naußlitz, Dölzschen;Gesundheitszustand;50,8;44,6;4,6
1993;15 Cotta, Löbtau, Naußlitz, Dölzschen;Wohlbefinden;46;50,2;3,8
1993;16 Gorbitz;Gesundheitszustand;50,1;44,8;5,1
1993;16 Gorbitz;Wohlbefinden;48,4;48,1;3,5
1993;17 Briesnitz und westliche OS;Gesundheitszustand;39,7;53,5;6,8
1993;17 Briesnitz und westliche OS;Wohlbefinden;36,3;56,9;6,8
1993;18 Dresden gesamt;Gesundheitszustand;49,2;45,9;4,9
1993;18 Dresden gesamt;Wohlbefinden;45,1;50,2;4,7
1995;01 StB Altstadt ohne Johannstadt;Gesundheitszustand;48;42,8;9,2
1995;01 StB Altstadt ohne Johannstadt;Wohlbefinden;43,4;50,1;6,4
1995;02 Johannstadt;Gesundheitszustand;47,9;47;5,1
1995;02 Johannstadt;Wohlbefinden;48,8;46,1;5
1995;03 StB Neustadt ohne Leipziger Vorstadt;Gesundheitszustand;60,7;34,6;4,7
1995;03 StB Neustadt ohne Leipziger Vorstadt;Wohlbefinden;47;49,2;3,7
1995;04 Leipziger Vorstadt, Pieschen;Gesundheitszustand;49,3;46;4,7
1995;04 Leipziger Vorstadt, Pieschen;Wohlbefinden;45,9;52,2;1,9
1995;05 Mickten, Kaditz, Trachau;Gesundheitszustand;48;47,8;4,2
1995;05 Mickten, Kaditz, Trachau;Wohlbefinden;48,3;49,5;2,1
1995;06 StB Klotzsche und nördliche OS;Gesundheitszustand;55;40,3;4,8
1995;06 StB Klotzsche und nördliche OS;Wohlbefinden;47,7;49,5;2,7
1995;07 StB Loschwitz und OS Schönfeld-Weißig;Gesundheitszustand;51,6;40,2;8,1
1995;07 StB Loschwitz und OS Schönfeld-Weißig;Wohlbefinden;53,4;42,9;3,7
1995;08 Blasewitz, Striesen;Gesundheitszustand;55,2;37;7,8
1995;08 Blasewitz, Striesen;Wohlbefinden;47,8;47,8;4,4
1995;09 Tolkewitz, Seidnitz, Gruna;Gesundheitszustand;51;43,9;5,1
1995;09 Tolkewitz, Seidnitz, Gruna;Wohlbefinden;47,2;47,8;4,9
1995;10 StB Leuben;Gesundheitszustand;54,6;41,9;3,6
1995;10 StB Leuben;Wohlbefinden;47,5;47,9;4,7
1995;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);Gesundheitszustand;60,4;35;4,6
1995;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);Wohlbefinden;52,2;44,6;3,2
1995;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);Gesundheitszustand;58,6;38,5;2,9
1995;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);Wohlbefinden;53,8;42,4;3,8
1995;13 Südvorstadt, Zschertnitz;Gesundheitszustand;58,1;36,8;5,1
1995;13 Südvorstadt, Zschertnitz;Wohlbefinden;55,3;40,9;3,8
1995;14 Mockritz, Coschütz, Plauen;Gesundheitszustand;64,5;33,8;1,6
1995;14 Mockritz, Coschütz, Plauen;Wohlbefinden;58;39;3,1
1995;15 Cotta, Löbtau, Naußlitz, Dölzschen;Gesundheitszustand;50,5;42,5;7
1995;15 Cotta, Löbtau, Naußlitz, Dölzschen;Wohlbefinden;47,2;47,9;4,8
1995;16 Gorbitz;Gesundheitszustand;54,8;39,6;5,6
1995;16 Gorbitz;Wohlbefinden;52;44,6;3,4
1995;17 Briesnitz und westliche OS;Gesundheitszustand;50,7;43,2;6,1
1995;17 Briesnitz und westliche OS;Wohlbefinden;39,5;56;4,5
1995;18 Dresden gesamt;Gesundheitszustand;54,2;40,5;5,3
1995;18 Dresden gesamt;Wohlbefinden;49,4;46,7;4
1996;01 StB Altstadt ohne Johannstadt;Gesundheitszustand;49,4;42,7;7,9
1996;01 StB Altstadt ohne Johannstadt;Wohlbefinden;48,3;47,4;4,3
1996;02 Johannstadt;Gesundheitszustand;55;40,4;4,7
1996;02 Johannstadt;Wohlbefinden;52;44,9;3,1
1996;03 StB Neustadt ohne Leipziger Vorstadt;Gesundheitszustand;62;34;4
1996;03 StB Neustadt ohne Leipziger Vorstadt;Wohlbefinden;47,8;45,2;7
1996;04 Leipziger Vorstadt, Pieschen;Gesundheitszustand;58,9;33,8;7,3
1996;04 Leipziger Vorstadt, Pieschen;Wohlbefinden;51,6;41,9;6,5
1996;05 Mickten, Kaditz, Trachau;Gesundheitszustand;58,3;36,5;5,2
1996;05 Mickten, Kaditz, Trachau;Wohlbefinden;54,1;43,2;2,7
1996;06 StB Klotzsche und nördliche OS;Gesundheitszustand;62,8;33,2;4
1996;06 StB Klotzsche und nördliche OS;Wohlbefinden;61,2;36;2,9
1996;07 StB Loschwitz und OS Schönfeld-Weißig;Gesundheitszustand;57,9;36,3;5,9
1996;07 StB Loschwitz und OS Schönfeld-Weißig;Wohlbefinden;58,1;35,4;6,5
