Jahr;Stadtraum;Lärm durch Straßenverkehr;Lärm durch Eisenbahnverkehr;Lärm durch Flugverkehr;Lärm von Baustellen;Lärm von Gewerbe/Industrie;Lärm durch Anwohner
1993;01 StB Altstadt ohne Johannstadt;3,7;1,7;1,5;2,6;1,4;2
1993;02 Johannstadt;3,5;1,1;1,5;2,1;1,2;2,1
1993;03 StB Neustadt ohne Leipziger Vorstadt;3,5;1,2;1,6;2,4;1,5;2,3
1993;04 Leipziger Vorstadt, Pieschen;3,5;1,9;2,4;2,3;1,7;2,4
1993;05 Mickten, Kaditz, Trachau;3;1,6;3,3;1,6;1,3;1,9
1993;06 StB Klotzsche und nördliche OS;2,9;1,4;3,1;1,7;1,4;1,9
1993;07 StB Loschwitz und OS Schönfeld-Weißig;3;1,1;1,6;1,9;1,2;1,9
1993;08 Blasewitz, Striesen;3,1;1;1,5;2,1;1,4;2
1993;09 Tolkewitz, Seidnitz, Gruna;3,1;1,2;1,3;1,8;1,4;2,2
1993;10 StB Leuben;2,9;1,3;1,2;2;1,4;2,2
1993;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);3,1;1,4;1,2;1,8;1,3;2,8
1993;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);3,2;1,4;1,3;2;1,3;2,1
1993;13 Südvorstadt, Zschertnitz;3,3;1,4;1,3;2;1,2;2,3
1993;14 Mockritz, Coschütz, Plauen;2,9;1,2;1,4;2;1,4;2,1
1993;15 Cotta, Löbtau, Naußlitz, Dölzschen;3,2;1,3;1,6;2,3;1,4;2,2
1993;16 Gorbitz;2,8;1,1;2,4;2,1;1,2;2,9
1993;17 Briesnitz und westliche OS;2,6;1,4;2,7;1,7;1,2;1,7
1993;18 Dresden gesamt;3,2;1,3;1,7;2;1,4;2,2
1996;01 StB Altstadt ohne Johannstadt;3,6;1,8;1,4;2,3;1,4;2,1
1996;02 Johannstadt;3,2;1;1,3;2,3;1,2;2,2
1996;03 StB Neustadt ohne Leipziger Vorstadt;3,5;1,3;1,5;3,1;1,5;2,4
1996;04 Leipziger Vorstadt, Pieschen;3,6;1,7;2,2;2,6;1,4;2,3
1996;05 Mickten, Kaditz, Trachau;3;1,4;3,4;2,2;1,4;2,2
1996;06 StB Klotzsche und nördliche OS;3;1,5;3,1;2,1;1,4;2
1996;07 StB Loschwitz und OS Schönfeld-Weißig;2,8;1,1;1,4;2,3;1,2;1,9
1996;08 Blasewitz, Striesen;3,1;1,1;1,4;2,7;1,3;2
1996;09 Tolkewitz, Seidnitz, Gruna;3,2;1,2;1,3;2;1,3;2,2
1996;10 StB Leuben;2,8;1,3;1,2;1,8;1,2;2,3
1996;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);3,1;1,4;1,3;2;1,2;2,9
1996;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);2,8;1,5;1,4;2,3;1,4;2
1996;13 Südvorstadt, Zschertnitz;3,4;1,5;1,3;2,3;1,3;2,2
1996;14 Mockritz, Coschütz, Plauen;2,9;1,1;1,5;2;1,3;2,1
1996;15 Cotta, Löbtau, Naußlitz, Dölzschen;3,2;1,3;1,8;2,7;1,4;2,1
1996;16 Gorbitz;2,8;1,1;2,4;1,8;1,2;2,9
1996;17 Briesnitz und westliche OS;3,1;1,4;3;2,3;1,2;2,1
1996;18 Dresden gesamt;3,1;1,3;1,7;2,3;1,3;2,3
2002;01 StB Altstadt ohne Johannstadt;3,2;1,9;1,3;2;1,2;2,1
2002;02 Johannstadt;2,8;1,1;1,4;1,7;1,2;2,3
2002;03 StB Neustadt ohne Leipziger Vorstadt;2,8;1,3;1,3;1,9;1,2;2,4
2002;04 Leipziger Vorstadt, Pieschen;2,9;1,7;2;1,6;1,4;2,2
2002;05 Mickten, Kaditz, Trachau;2,7;1,5;3;1,3;1,2;1,8
2002;06 StB Klotzsche und nördliche OS;2,6;1,6;2,7;1,4;1,2;1,9
2002;07 StB Loschwitz und OS Schönfeld-Weißig;2,4;1,1;1,4;1,5;1,2;1,8
2002;08 Blasewitz, Striesen;2,7;1,1;1,3;1,4;1,2;1,7
2002;09 Tolkewitz, Seidnitz, Gruna;2,5;1,2;1,2;1,4;1,1;1,9
2002;10 StB Leuben;2,4;1,3;1,2;1,5;1,3;2,1
2002;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);2,4;1,3;1,2;1,4;1,4;2,6
2002;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);2,6;1,3;1,3;1,5;1,3;2
2002;13 Südvorstadt, Zschertnitz;2,8;1,3;1,2;1,6;1,1;2,1
2002;14 Mockritz, Coschütz, Plauen;2,5;1,2;1,3;2;1,3;2
2002;15 Cotta, Löbtau, Naußlitz, Dölzschen;2,7;1,4;1,6;1,7;1,3;2
2002;16 Gorbitz;2,3;1,1;2,5;1,6;1,3;2,7
2002;17 Briesnitz und westliche OS;2,5;1,6;2,5;1,5;1,2;1,7
2002;18 Dresden gesamt;2,6;1,3;1,7;1,6;1,2;2
2005;01 StB Altstadt ohne Johannstadt;3,1;1,7;1,4;2;1,5;2,1
2005;02 Johannstadt;3,1;1,1;1,6;1,8;1,3;2,2
2005;03 StB Neustadt ohne Leipziger Vorstadt;3,2;1,4;1,5;1,7;1,4;2,3
2005;04 Leipziger Vorstadt, Pieschen;3,2;1,8;2,1;1,9;1,3;2,4
2005;05 Mickten, Kaditz, Trachau;2,9;1,5;3,4;1,8;1,3;2
2005;06 StB Klotzsche und nördliche OS;2,7;1,5;3;1,4;1,3;1,9
2005;07 StB Loschwitz und OS Schönfeld-Weißig;2,5;1;1,5;1,5;1,2;1,9
2005;08 Blasewitz, Striesen;2,9;1,1;1,4;1,7;1,2;2
2005;09 Tolkewitz, Seidnitz, Gruna;2,8;1,3;1,3;1,4;1,2;2,1
2005;10 StB Leuben;2,5;1,4;1,3;1,5;1,3;2
2005;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);2,7;1,8;1,2;1,4;1,2;2,3
2005;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);2,6;1,3;1,3;1,6;1,3;2,1
2005;13 Südvorstadt, Zschertnitz;2,8;1,4;1,5;1,7;1,3;2,2
2005;14 Mockritz, Coschütz, Plauen;2,7;1,1;1,4;1,6;1,1;1,9
2005;15 Cotta, Löbtau, Naußlitz, Dölzschen;3;1,4;1,7;1,6;1,3;2,2
2005;16 Gorbitz;2,6;1,1;2,4;1,2;1,1;2,5
2005;17 Briesnitz und westliche OS;2,7;1,6;2,7;1,5;1,3;1,8
2005;18 Dresden gesamt;2,8;1,4;1,8;1,6;1,3;2,1
2007;01 StB Altstadt ohne Johannstadt;2,9;2,2;1,3;2,1;1,6;2,5
2007;02 Johannstadt;2,9;1,1;1,3;1,6;1,2;2,2
2007;03 StB Neustadt ohne Leipziger Vorstadt;2,8;1,3;1,3;1,9;1,4;2,7
2007;04 Leipziger Vorstadt, Pieschen;3;1,9;2,2;1,8;1,3;2,6
2007;05 Mickten, Kaditz, Trachau;2,7;1,5;3,6;1,6;1,5;2
2007;06 StB Klotzsche und nördliche OS;2,4;1,5;3,2;1,9;1,4;1,7
2007;07 StB Loschwitz und OS Schönfeld-Weißig;2,2;1;1,3;1,4;1,2;1,6
2007;08 Blasewitz, Striesen;2,7;1,1;1,3;1,7;1,2;2
2007;09 Tolkewitz, Seidnitz, Gruna;2,7;1,5;1,3;1,4;1,3;2,2
2007;10 StB Leuben;2,2;1,5;1,3;1,3;1,2;2
2007;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);2,4;1,7;1,2;1,5;1,2;2,3
2007;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);2,8;1,6;1,3;1,8;1,3;2
2007;13 Südvorstadt, Zschertnitz;2,7;1,5;1,2;1,7;1,2;2,1
2007;14 Mockritz, Coschütz, Plauen;2,5;1,1;1,3;1,5;1,3;1,9
2007;15 Cotta, Löbtau, Naußlitz, Dölzschen;2,7;1,4;1,6;1,7;1,3;2,3
2007;16 Gorbitz;2,1;1,1;2,1;1,7;1,1;2,6
2007;17 Briesnitz und westliche OS;2,5;1,6;2,5;1,7;1,3;1,8
2007;18 Dresden gesamt;2,6;1,5;1,7;1,7;1,3;2,1
2010;01 StB Altstadt ohne Johannstadt;2,8;2;1,3;1,8;1,4;2,5
2010;02 Johannstadt;2,8;1,2;1,5;1,4;1,2;2,1
2010;03 StB Neustadt ohne Leipziger Vorstadt;2,7;1,3;1,3;1,8;1,5;2,7
2010;04 Leipziger Vorstadt, Pieschen;2,9;1,8;2,1;1,9;1,3;2,5
2010;05 Mickten, Kaditz, Trachau;2,6;1,4;3,4;1,5;1,4;1,9
2010;06 StB Klotzsche und nördliche OS;2,3;1,4;2,8;1,4;1,3;1,7
2010;07 StB Loschwitz und OS Schönfeld-Weißig;2,4;1;1,4;1,5;1,3;1,9
2010;08 Blasewitz, Striesen;2,7;1,1;1,2;1,6;1,2;2,2
2010;09 Tolkewitz, Seidnitz, Gruna;2,5;1,4;1,2;1,4;1,1;2,1
2010;10 StB Leuben;2,4;1,6;1,4;1,5;1,3;2
2010;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);2,3;1,7;1,3;1,4;1,3;2,5
2010;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);2,6;1,6;1,4;1,7;1,3;2,1
2010;13 Südvorstadt, Zschertnitz;2,6;1,5;1,3;1,8;1,2;2,6
2010;14 Mockritz, Coschütz, Plauen;2,6;1,1;1,4;1,6;1,2;2,2
2010;15 Cotta, Löbtau, Naußlitz, Dölzschen;2,7;1,3;1,7;1,6;1,4;2,3
2010;16 Gorbitz;2,5;1,2;2,2;1,6;1,2;3
2010;17 Briesnitz und westliche OS;2,6;1,8;2,5;1,2;1,1;1,8
2010;18 Dresden gesamt;2,6;1,4;1,7;1,6;1,3;2,2
2012;01 StB Altstadt ohne Johannstadt;3;2;1,4;2,1;1,5;2,4
2012;02 Johannstadt;2,9;1;1,4;1,8;1,2;2,2
2012;03 StB Neustadt ohne Leipziger Vorstadt;2,9;1,3;1,3;1,9;1,5;2,9
2012;04 Leipziger Vorstadt, Pieschen;2,7;1,8;2,1;2;1,3;2,5
2012;05 Mickten, Kaditz, Trachau;3;1,7;3,7;2,1;1,4;2,4
2012;06 StB Klotzsche und nördliche OS;2,6;1,6;2,9;1,4;1,4;1,7
2012;07 StB Loschwitz und OS Schönfeld-Weißig;2,4;1,1;1,4;1,5;1,2;1,7
2012;08 Blasewitz, Striesen;2,7;1,2;1,3;1,9;1,2;2,1
2012;09 Tolkewitz, Seidnitz, Gruna;2,6;1,6;1,2;1,6;1,2;2,2
2012;10 StB Leuben;2,4;1,7;1,3;1,5;1,3;2,2
2012;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);2,4;1,8;1,3;1,7;1,5;2,7
2012;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);2,7;1,7;1,3;1,6;1,4;1,9
2012;13 Südvorstadt, Zschertnitz;2,7;1,9;1,4;1,8;1,3;2,5
2012;14 Mockritz, Coschütz, Plauen;2,7;1,3;1,3;1,6;1,4;2,3
2012;15 Cotta, Löbtau, Naußlitz, Dölzschen;3,1;1,1;1,6;1,8;1,4;2,5
2012;16 Gorbitz;2,2;1,2;2,2;1,9;1,1;2,7
2012;17 Briesnitz und westliche OS;2,5;2;2,5;1,4;1,2;1,6
2012;18 Dresden gesamt;2,7;1,5;1,7;1,8;1,3;2,3
2016;01 StB Altstadt ohne Johannstadt;2,8;2,2;1,4;2,1;1,5;2,4
2016;02 Johannstadt;2,9;1,3;1,3;1,8;1,2;2,5
2016;03 StB Neustadt ohne Leipziger Vorstadt;3;1,4;1,4;1,9;1,5;2,8
2016;04 Leipziger Vorstadt, Pieschen;2,9;1,8;2,1;1,9;1,3;2,5
2016;05 Mickten, Kaditz, Trachau;2,5;1,8;3,6;1,7;1,4;2,3
2016;06 StB Klotzsche und nördliche OS;2,6;1,6;3;1,9;1,4;1,8
2016;07 StB Loschwitz und OS Schönfeld-Weißig;2,5;1,3;1,6;1,5;1,3;1,8
2016;08 Blasewitz, Striesen;2,8;1,1;1,2;1,7;1,2;2
2016;09 Tolkewitz, Seidnitz, Gruna;2,6;1,7;1,4;1,8;1,4;2,1
2016;10 StB Leuben;2,3;1,7;1,2;1,6;1,4;1,9
2016;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);2,3;1,7;1,3;1,5;1,5;2,7
2016;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);2,5;1,9;1,3;1,6;1,4;1,8
2016;13 Südvorstadt, Zschertnitz;2,6;1,7;1,2;1,5;1,2;2,1
2016;14 Mockritz, Coschütz, Plauen;2,7;1,4;1,2;1,7;1,3;1,9
2016;15 Cotta, Löbtau, Naußlitz, Dölzschen;2,8;1,4;1,7;2;1,3;2,4
2016;16 Gorbitz;2,2;1,3;2,4;1,9;1,3;2,7
2016;17 Briesnitz und westliche OS;2,8;1,9;2,5;1,6;1,3;1,8
2016;18 Dresden gesamt;2,7;1,6;1,7;1,8;1,3;2,2
2018;01 StB Altstadt ohne Johannstadt;3,3;2,1;1,3;2,3;1,4;2,3
2018;02 Johannstadt;3;1,2;1,5;2,1;1,3;2,2
2018;03 StB Neustadt ohne Leipziger Vorstadt;3;1,3;1,4;1,9;1,4;2,8
2018;04 Leipziger Vorstadt, Pieschen;3;2,4;2,2;2,3;1,5;2,6
2018;05 Mickten, Kaditz, Trachau;2,7;1,9;3,2;1,8;1,6;2,1
2018;06 StB Klotzsche und nördliche OS;2,4;1,6;2,8;1,7;1,4;1,8
2018;07 StB Loschwitz und OS Schönfeld-Weißig;2,3;1,1;1,3;1,3;1,1;1,8
2018;08 Blasewitz, Striesen;2,7;1,2;1,3;1,8;1,2;2,2
2018;09 Tolkewitz, Seidnitz, Gruna;2,5;1,6;1,2;1,8;1,3;2
2018;10 StB Leuben;2,4;1,7;1,3;1,6;1,3;2,2
2018;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);2,3;1,7;1,3;1,8;1,3;2,5
2018;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);2,7;1,8;1,2;1,8;1,4;2
2018;13 Südvorstadt, Zschertnitz;3;1,7;1,2;2;1,3;2,4
2018;14 Mockritz, Coschütz, Plauen;2,6;1,3;1,3;1,8;1,3;2
2018;15 Cotta, Löbtau, Naußlitz, Dölzschen;2,8;1,3;1,7;1,9;1,3;2,5
2018;16 Gorbitz;2,3;1,3;2,5;1,6;1,2;2,9
2018;17 Briesnitz und westliche OS;2,7;2;2,7;1,6;1,2;1,7
2018;18 Dresden gesamt;2,7;1,6;1,6;1,8;1,3;2,2
2020;01 StB Altstadt ohne Johannstadt;2,8;2,1;1,4;2,2;1,5;2,4
2020;02 Johannstadt;2,9;1,3;1,6;2,1;1,4;2,4
2020;03 StB Neustadt ohne Leipziger Vorstadt;2,7;1,5;1,4;1,9;1,6;2,8
2020;04 Leipziger Vorstadt, Pieschen;2,8;2,2;1,9;2,4;1,4;2,8
2020;05 Mickten, Kaditz, Trachau;2,9;1,9;3,4;1,9;1,6;2,2
2020;06 StB Klotzsche und nördliche OS;2,4;1,6;2,8;1,6;1,4;2
2020;07 StB Loschwitz und OS Schönfeld-Weißig;2,5;1,1;1,5;1,6;1,3;1,9
2020;08 Blasewitz, Striesen;2,6;1,2;1,4;1,7;1,3;2,1
2020;09 Tolkewitz, Seidnitz, Gruna;2,8;1,5;1,2;1,7;1,3;2,2
2020;10 StB Leuben;2,4;1,6;1,3;1,6;1,3;2,2
2020;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);2,4;1,7;1,4;1,8;1,3;2,7
2020;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);2,6;2;1,4;1,8;1,5;2
2020;13 Südvorstadt, Zschertnitz;2,7;1,7;1,2;2;1,3;2,4
2020;14 Mockritz, Coschütz, Plauen;2,5;1,3;1,4;1,6;1,3;2,2
2020;15 Cotta, Löbtau, Naußlitz, Dölzschen;2,8;1,5;1,5;1,8;1,4;2,5
2020;16 Gorbitz;2,4;1,4;2,5;1,9;1,4;2,5
2020;17 Briesnitz und westliche OS;2,7;2;2,6;1,6;1,3;2,1
2020;18 Dresden gesamt;2,7;1,6;1,7;1,8;1,4;2,3
2022;01 StB Altstadt ohne Johannstadt;3,1;2;1,4;2,5;1,4;2,5
2022;02 Johannstadt;2,9;1,3;1,9;2,1;1,3;2,3
2022;03 StB Neustadt ohne Leipziger Vorstadt;2,8;1,5;1,5;1,8;1,3;2,9
2022;04 Leipziger Vorstadt, Pieschen;2,9;2,1;2;2;1,3;2,7
2022;05 Mickten, Kaditz, Trachau;2,8;1,6;3,2;1,8;1,4;2,2
2022;06 StB Klotzsche und nördliche OS;2,3;1,6;2,7;1,4;1,2;1,8
2022;07 StB Loschwitz und OS Schönfeld-Weißig;2,2;1;1,5;1,5;1,2;1,9
2022;08 Blasewitz, Striesen;2,5;1,1;1,5;1,7;1,3;2,1
2022;09 Tolkewitz, Seidnitz, Gruna;2,5;1,5;1,4;1,5;1,3;2,1
2022;10 StB Leuben;2,5;1,6;1,5;1,7;1,4;2,2
2022;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);2,4;1,6;1,4;1,9;1,3;2,9
2022;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);2,5;1,6;1,4;1,5;1,3;1,9
2022;13 Südvorstadt, Zschertnitz;2,6;1,5;1,4;1,8;1,2;2,4
2022;14 Mockritz, Coschütz, Plauen;2,7;1,1;1,5;1,7;1,3;1,8
2022;15 Cotta, Löbtau, Naußlitz, Dölzschen;2,6;1,3;1,7;1,8;1,2;2,1
2022;16 Gorbitz;2,3;1,2;2,2;2;1,1;2,8
2022;17 Briesnitz und westliche OS;2,6;1,7;2,6;1,5;1,2;1,8
2022;18 Dresden gesamt;2,6;1,5;1,7;1,8;1,3;2,3
2024;01 StB Altstadt ohne Johannstadt;2,9;2,1;1,4;2;1,5;2,5
2024;02 Johannstadt;2,8;1,1;1,5;2;1,2;2,3
2024;03 StB Neustadt ohne Leipziger Vorstadt;2,6;1,3;1,4;1,7;1,4;2,7
2024;04 Leipziger Vorstadt, Pieschen;2,6;1,9;2;1,8;1,3;2,5
2024;05 Mickten, Kaditz, Trachau;2,6;1,7;2,9;1,6;1,4;2,1
2024;06 StB Klotzsche und nördliche OS;2,3;1,4;2,7;1,4;1,4;2
2024;07 StB Loschwitz und OS Schönfeld-Weißig;2,3;1;1,4;1,5;1,1;1,6
2024;08 Blasewitz, Striesen;2,5;1,1;1,3;1,6;1,3;2,3
2024;09 Tolkewitz, Seidnitz, Gruna;2,6;1,3;1,2;1,6;1,2;2
2024;10 StB Leuben;2,4;1,5;1,3;1,5;1,2;2,1
2024;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);2,2;1,4;1,2;1,8;1,3;2,5
2024;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);2,6;1,6;1,2;1,5;1,2;2
2024;13 Südvorstadt, Zschertnitz;2,7;1,7;1,3;1,9;1,2;2,5
2024;14 Mockritz, Coschütz, Plauen;2,7;1,2;1,2;1,7;1,3;2
2024;15 Cotta, Löbtau, Naußlitz, Dölzschen;2,6;1,3;1,6;1,7;1,3;2,4
2024;16 Gorbitz;2,2;1,2;1,9;1,9;1,2;2,9
2024;17 Briesnitz und westliche OS;2,7;1,7;2,4;1,5;1,3;2
2024;18 Dresden gesamt;2,6;1,5;1,6;1,7;1,3;2,3
