Jahr;Stadtraum;Zeitfenster;"Anteil Benotung ""sehr gut""";"Anteil Benotung ""gut""";"Anteil Benotung ""teils/teils""";"Anteil Benotung ""schlecht""";"Anteil Benotung ""sehr schlecht""";"Anteil Benotung ""nicht beurteilt"""
1995;01 StB Altstadt ohne Johannstadt;vor einem Jahr;3,6;16,1;68;8,1;2,7;1,5
1995;01 StB Altstadt ohne Johannstadt;heute;2,1;53,3;32,5;10,1;0,7;1,3
1995;01 StB Altstadt ohne Johannstadt;in einem Jahr;2,1;10,3;42,2;18,1;6,7;20,6
1995;02 Johannstadt;vor einem Jahr;7;17,3;59,9;13,5;0,8;1,6
1995;02 Johannstadt;heute;4,7;40,4;43,4;8,1;2,6;0,8
1995;02 Johannstadt;in einem Jahr;2,9;10,5;43,2;18,7;1,9;22,7
1995;03 StB Neustadt ohne Leipziger Vorstadt;vor einem Jahr;2,9;16,1;62,3;14,8;1,9;2
1995;03 StB Neustadt ohne Leipziger Vorstadt;heute;1,8;34,5;46,2;10,8;2,7;4
1995;03 StB Neustadt ohne Leipziger Vorstadt;in einem Jahr;3;14,4;41,4;12,8;4,6;23,7
1995;04 Leipziger Vorstadt, Pieschen;vor einem Jahr;1,4;21;65;8,9;2,3;1,5
1995;04 Leipziger Vorstadt, Pieschen;heute;3,1;31,9;41,2;16,8;4,7;2,3
1995;04 Leipziger Vorstadt, Pieschen;in einem Jahr;4,6;13,4;38,1;16,2;3,7;23,9
1995;05 Mickten, Kaditz, Trachau;vor einem Jahr;2,5;18,6;60,1;14;3,3;1,5
1995;05 Mickten, Kaditz, Trachau;heute;1,6;45,7;44,6;6,1;0,7;1,4
1995;05 Mickten, Kaditz, Trachau;in einem Jahr;3,5;18;36,7;15,9;1,7;24,4
1995;06 StB Klotzsche und nördliche OS;vor einem Jahr;3,1;16,7;58,2;19,2;1,5;1,2
1995;06 StB Klotzsche und nördliche OS;heute;7,2;38,5;43,8;6,2;3;1,2
1995;06 StB Klotzsche und nördliche OS;in einem Jahr;5,3;13,9;37,6;18,7;1;23,6
1995;07 StB Loschwitz und OS Schönfeld-Weißig;vor einem Jahr;5,2;17,5;64,2;5,7;4,8;2,6
1995;07 StB Loschwitz und OS Schönfeld-Weißig;heute;3;55,2;28,8;4,4;5;3,6
1995;07 StB Loschwitz und OS Schönfeld-Weißig;in einem Jahr;2,3;12,8;39,5;7,6;6,5;31,3
1995;08 Blasewitz, Striesen;vor einem Jahr;3,9;20,6;63,7;9;1,4;1,5
1995;08 Blasewitz, Striesen;heute;2,3;44,8;43,9;5,5;1,9;1,6
1995;08 Blasewitz, Striesen;in einem Jahr;1,8;14,6;42,2;13,4;3,1;25
1995;09 Tolkewitz, Seidnitz, Gruna;vor einem Jahr;7,2;21,3;61,3;8,2;1;1,1
1995;09 Tolkewitz, Seidnitz, Gruna;heute;4,1;44,4;40,5;7,8;2,8;0,3
1995;09 Tolkewitz, Seidnitz, Gruna;in einem Jahr;4,6;8,9;35,9;16,3;5,2;29,1
1995;10 StB Leuben;vor einem Jahr;3,2;19,2;62,7;10,7;1,7;2,5
1995;10 StB Leuben;heute;3,2;45,9;41,5;5,9;1,6;1,9
1995;10 StB Leuben;in einem Jahr;3,2;15,4;40,5;14,2;2,7;24
1995;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);vor einem Jahr;2,6;17,5;62,8;12,1;2;3
1995;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);heute;1,5;41,9;40,7;9,7;3;3,2
1995;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);in einem Jahr;1,2;11,8;41,1;16,6;2,4;26,9
1995;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);vor einem Jahr;7,3;19,5;60,9;9;1,8;1,5
1995;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);heute;4,8;44,9;38,7;9;0,8;1,8
1995;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);in einem Jahr;2,5;14,1;45,3;11,8;1;25,3
1995;13 Südvorstadt, Zschertnitz;vor einem Jahr;4,7;21,4;60,2;7,5;1,4;4,7
1995;13 Südvorstadt, Zschertnitz;heute;3,1;34,8;46,5;9,2;1,3;5,1
1995;13 Südvorstadt, Zschertnitz;in einem Jahr;3,7;10;45,3;12,1;3,7;25,1
1995;14 Mockritz, Coschütz, Plauen;vor einem Jahr;6,8;23,3;60;7,8;0,9;1,1
1995;14 Mockritz, Coschütz, Plauen;heute;7;45,8;38,4;6;2,2;0,6
1995;14 Mockritz, Coschütz, Plauen;in einem Jahr;3,2;13,7;38,1;14;2,1;28,9
1995;15 Cotta, Löbtau, Naußlitz, Dölzschen;vor einem Jahr;2,2;18,2;58,3;16,1;1,8;3,5
1995;15 Cotta, Löbtau, Naußlitz, Dölzschen;heute;0,6;43;45,1;8,3;0,4;2,4
1995;15 Cotta, Löbtau, Naußlitz, Dölzschen;in einem Jahr;0,5;18,9;37,8;13,7;1,5;27,7
1995;16 Gorbitz;vor einem Jahr;5,5;17,2;58,3;15,7;0,8;2,5
1995;16 Gorbitz;heute;1,9;43,8;42,5;9;1,2;1,6
1995;16 Gorbitz;in einem Jahr;6,2;16,8;40;11,1;3,6;22,4
1995;17 Briesnitz und westliche OS;vor einem Jahr;3,8;24;62,6;9,6;0;0
1995;17 Briesnitz und westliche OS;heute;1,9;41,1;41,2;13,8;1,9;0
1995;17 Briesnitz und westliche OS;in einem Jahr;0;8,5;54;11,7;0;25,9
1995;18 Dresden gesamt;vor einem Jahr;4,3;19;61,7;11,1;1,7;2,1
1995;18 Dresden gesamt;heute;3,1;42,9;41,4;8,5;2,1;2
1995;18 Dresden gesamt;in einem Jahr;3;13,4;40,7;14,5;3,2;25,2
1996;01 StB Altstadt ohne Johannstadt;vor einem Jahr;3,7;18,4;64,2;9,8;1,7;2,1
1996;01 StB Altstadt ohne Johannstadt;heute;2,1;53,7;34,4;5,9;1,4;2,5
1996;01 StB Altstadt ohne Johannstadt;in einem Jahr;1,1;7,2;42,4;20,2;5,2;24
1996;02 Johannstadt;vor einem Jahr;2,6;19,9;65,3;11,4;0,9;0
1996;02 Johannstadt;heute;3,9;46,1;41,4;5,7;2,8;0
1996;02 Johannstadt;in einem Jahr;1,8;6,9;40,5;27,5;5,2;18,1
1996;03 StB Neustadt ohne Leipziger Vorstadt;vor einem Jahr;6,3;27,8;57,1;6,1;2,1;0,6
1996;03 StB Neustadt ohne Leipziger Vorstadt;heute;5,2;40,8;38,6;10,7;4,3;0,5
1996;03 StB Neustadt ohne Leipziger Vorstadt;in einem Jahr;2,5;8,6;38;23,9;5;22,1
1996;04 Leipziger Vorstadt, Pieschen;vor einem Jahr;4,7;20,7;55,7;14,7;2,7;1,6
1996;04 Leipziger Vorstadt, Pieschen;heute;2,7;41,8;40,5;10,2;3,9;0,9
1996;04 Leipziger Vorstadt, Pieschen;in einem Jahr;2,4;12,5;40;17,5;5,7;21,9
1996;05 Mickten, Kaditz, Trachau;vor einem Jahr;3,9;20,4;61;11,5;1,5;1,7
1996;05 Mickten, Kaditz, Trachau;heute;3,6;46,5;42,2;6,6;1;0
1996;05 Mickten, Kaditz, Trachau;in einem Jahr;0,6;11,5;37,5;20,1;6,4;23,9
1996;06 StB Klotzsche und nördliche OS;vor einem Jahr;6,1;15,5;67;7,2;2,1;2,1
1996;06 StB Klotzsche und nördliche OS;heute;4,3;47,4;37,9;8,3;0;2,2
1996;06 StB Klotzsche und nördliche OS;in einem Jahr;1;7,5;45,2;22,9;4,2;19,3
1996;07 StB Loschwitz und OS Schönfeld-Weißig;vor einem Jahr;3,9;29,2;54,9;8,1;1,4;2,4
1996;07 StB Loschwitz und OS Schönfeld-Weißig;heute;5,5;49;36,6;7,5;0,7;0,7
1996;07 StB Loschwitz und OS Schönfeld-Weißig;in einem Jahr;3,6;11;35,2;19,5;3,9;26,8
1996;08 Blasewitz, Striesen;vor einem Jahr;6,3;20,1;64,2;7,4;0,4;1,6
1996;08 Blasewitz, Striesen;heute;3;51,9;34,5;8,2;2;0,4
1996;08 Blasewitz, Striesen;in einem Jahr;0;11,3;46,9;16,7;3,9;21,2
1996;09 Tolkewitz, Seidnitz, Gruna;vor einem Jahr;3,4;22,3;59,9;11,6;2,2;0,6
1996;09 Tolkewitz, Seidnitz, Gruna;heute;2,7;44;44,1;7,4;1;0,8
1996;09 Tolkewitz, Seidnitz, Gruna;in einem Jahr;3;7,9;41,5;20;6,3;21,2
1996;10 StB Leuben;vor einem Jahr;8,7;23,6;58,3;8,1;0,8;0,4
1996;10 StB Leuben;heute;3,3;47,8;39,3;7,6;2;0
1996;10 StB Leuben;in einem Jahr;2,4;11,1;45,7;19;4,2;17,5
1996;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);vor einem Jahr;3,6;21,5;58,8;11,9;1,8;2,4
1996;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);heute;1,1;47,2;41,5;8,9;0,4;1
1996;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);in einem Jahr;3;12;34,1;26,5;5,4;19
1996;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);vor einem Jahr;6,3;21,5;60,5;7,5;1,4;2,8
1996;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);heute;5,6;47,6;36,9;4,8;2,2;2,9
1996;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);in einem Jahr;0,4;10,1;35,6;25,8;6,2;21,9
1996;13 Südvorstadt, Zschertnitz;vor einem Jahr;3,2;20,4;65,1;7;2,2;2,2
1996;13 Südvorstadt, Zschertnitz;heute;4,7;43;38,4;10,3;2,4;1,2
1996;13 Südvorstadt, Zschertnitz;in einem Jahr;3,5;12,9;38;19,6;4,1;21,9
1996;14 Mockritz, Coschütz, Plauen;vor einem Jahr;5,4;25,9;58;8,4;2,3;0
1996;14 Mockritz, Coschütz, Plauen;heute;1,1;49,1;42,6;6,2;1;0
