Jahr;Stadtraum;Wegezweck;Anteil Weg nur zu Fuß;Anteil Weg mit Fahrrad;Anteil Weg mit Straßenbahn;Anteil Weg mit Bus (Stadtverk.);Anteil Weg mit Bus (Regionalverk.);Anteil Weg mit S-Bahn/Bahn AG;Anteil Weg mit Motorrad etc.;Anteil Weg als Pkw-Mitfahrer;Anteil Weg als Pkw-Selbstfahrer;Anteil Weg mit sonstigem Verkehrsmittel
1995;01 StB Altstadt ohne Johannstadt;Weg zur Arbeit;8,4;7,7;29,2;8,1;0,9;2,3;0,3;2,6;39,7;1
1995;01 StB Altstadt ohne Johannstadt;Weg zum Einkaufen;16,1;4,6;25,7;9,8;1,3;0,9;0;5,3;35;1,4
1995;02 Johannstadt;Weg zur Arbeit;6,9;12,2;29,2;10,6;0,4;1,2;0,6;4,7;34,3;0
1995;02 Johannstadt;Weg zum Einkaufen;18,4;9,6;20,4;11;1,1;0,4;1;6,6;29,9;1,6
1995;03 StB Neustadt ohne Leipziger Vorstadt;Weg zur Arbeit;9,1;14,7;29,1;6,4;0;2,3;2,1;0,8;34,8;0,7
1995;03 StB Neustadt ohne Leipziger Vorstadt;Weg zum Einkaufen;10,7;16,6;23,2;4;0;0,3;1,1;8,4;35,1;0,6
1995;04 Leipziger Vorstadt, Pieschen;Weg zur Arbeit;6,4;10,7;30,5;7,5;0,9;2,7;0;3,2;38,1;0
1995;04 Leipziger Vorstadt, Pieschen;Weg zum Einkaufen;13,9;5,4;25,4;8,8;0,9;0,9;0,4;8,7;33,8;1,8
1995;05 Mickten, Kaditz, Trachau;Weg zur Arbeit;5,5;11,8;21,3;9,5;0;3,7;0,6;2,2;44,6;0,8
1995;05 Mickten, Kaditz, Trachau;Weg zum Einkaufen;2,8;9;20,9;12,4;1,3;2;0;9,4;41,6;0,6
1995;06 StB Klotzsche und nördliche OS;Weg zur Arbeit;6,3;11,2;22,6;11,5;1,1;0,3;0,8;3,6;41,3;1,3
