Jahr;Grundmiete in €/qm-Klassen;Anteil in %
1995;0,50 - 1,50 Euro;6
1995;1,51 - 2,00 Euro;12,9
1995;2,01 - 2,50 Euro;46,5
1995;2,51 - 3,00 Euro;13,6
1995;3,01 - 3,50 Euro;6,7
1995;3,51 - 4,00 Euro;3,3
1995;4,01 - 4,50 Euro;2
1995;4,51 - 5,00 Euro;1,4
1995;5,01 - 5,50 Euro;1,2
1995;5,51 - 6,00 Euro;0,8
1995;6,01 - 6,50 Euro;0,5
1995;6,51 - 7,00 Euro;0,5
1995;7,01 - 7,50 Euro;0,2
1995;7,51 Euro u.m.;4,4
1996;0,50 - 1,50 Euro;1,9
1996;1,51 - 2,00 Euro;6,6
1996;2,01 - 2,50 Euro;9,9
1996;2,51 - 3,00 Euro;26
1996;3,01 - 3,50 Euro;13,4
1996;3,51 - 4,00 Euro;9
1996;4,01 - 4,50 Euro;8,2
1996;4,51 - 5,00 Euro;5,2
1996;5,01 - 5,50 Euro;3,7
1996;5,51 - 6,00 Euro;2,3
1996;6,01 - 6,50 Euro;1,8
1996;6,51 - 7,00 Euro;2,1
1996;7,01 - 7,50 Euro;2,3
1996;7,51 Euro u.m.;7,6
1998;0,50 - 1,50 Euro;0,9
1998;1,51 - 2,00 Euro;2,4
1998;2,01 - 2,50 Euro;4,2
1998;2,51 - 3,00 Euro;11
1998;3,01 - 3,50 Euro;12,8
1998;3,51 - 4,00 Euro;10,2
1998;4,01 - 4,50 Euro;12,5
1998;4,51 - 5,00 Euro;9,7
1998;5,01 - 5,50 Euro;8,7
1998;5,51 - 6,00 Euro;6,3
1998;6,01 - 6,50 Euro;6,2
1998;6,51 - 7,00 Euro;5,2
1998;7,01 - 7,50 Euro;4
1998;7,51 Euro u.m.;5,8
2002;0,50 - 1,50 Euro;0,8
2002;1,51 - 2,00 Euro;1,4
2002;2,01 - 2,50 Euro;1,4
2002;2,51 - 3,00 Euro;7,7
2002;3,01 - 3,50 Euro;9,3
2002;3,51 - 4,00 Euro;8,2
2002;4,01 - 4,50 Euro;13,7
2002;4,51 - 5,00 Euro;16,8
2002;5,01 - 5,50 Euro;11,4
2002;5,51 - 6,00 Euro;10,3
2002;6,01 - 6,50 Euro;8,7
2002;6,51 - 7,00 Euro;4,9
2002;7,01 - 7,50 Euro;3,2
2002;7,51 Euro u.m.;2,1
2005;0,50 - 1,50 Euro;0,1
2005;1,51 - 2,00 Euro;0,5
2005;2,01 - 2,50 Euro;0,8
2005;2,51 - 3,00 Euro;3,5
2005;3,01 - 3,50 Euro;5,3
2005;3,51 - 4,00 Euro;6,5
2005;4,01 - 4,50 Euro;13,7
2005;4,51 - 5,00 Euro;18,4
2005;5,01 - 5,50 Euro;19,8
2005;5,51 - 6,00 Euro;13,4
2005;6,01 - 6,50 Euro;8,1
2005;6,51 - 7,00 Euro;4,8
2005;7,01 - 7,50 Euro;2,6
2005;7,51 Euro u.m.;2,5
2007;0,50 - 1,50 Euro;0,1
2007;1,51 - 2,00 Euro;0,8
2007;2,01 - 2,50 Euro;1,2
2007;2,51 - 3,00 Euro;2,8
2007;3,01 - 3,50 Euro;3,8
2007;3,51 - 4,00 Euro;5,5
2007;4,01 - 4,50 Euro;12,8
2007;4,51 - 5,00 Euro;20,6
2007;5,01 - 5,50 Euro;22,9
2007;5,51 - 6,00 Euro;14,6
2007;6,01 - 6,50 Euro;7,2
2007;6,51 - 7,00 Euro;3,8
2007;7,01 - 7,50 Euro;2,2
2007;7,51 Euro u.m.;1,5
2010;0,50 - 1,50 Euro;0,1
2010;1,51 - 2,00 Euro;0,3
2010;2,01 - 2,50 Euro;0,6
2010;2,51 - 3,00 Euro;1,6
2010;3,01 - 3,50 Euro;2,7
2010;3,51 - 4,00 Euro;5,2
2010;4,01 - 4,50 Euro;11,6
2010;4,51 - 5,00 Euro;17,5
2010;5,01 - 5,50 Euro;21,7
2010;5,51 - 6,00 Euro;17,9
2010;6,01 - 6,50 Euro;10
2010;6,51 - 7,00 Euro;6,1
2010;7,01 - 7,50 Euro;2,3
2010;7,51 Euro u.m.;2,3
2012;0,50 - 1,50 Euro;0,1
2012;1,51 - 2,00 Euro;0,2
2012;2,01 - 2,50 Euro;0,4
2012;2,51 - 3,00 Euro;0,8
2012;3,01 - 3,50 Euro;2,2
2012;3,51 - 4,00 Euro;3,8
2012;4,01 - 4,50 Euro;8,5
2012;4,51 - 5,00 Euro;17
