Jahr;Eigentümer des Gebäudes;Grundmiete;Grundmiete - Whg mit Bad und IWC;Betriebskosten - kalt;Betriebskosten - warm
1995;Eigentümer Wohnungsgenossenschaft;2,7;2,7;1;1,1
1995;Eigentümer Stadt;2,3;2,4;0,9;1
1995;Eigentümer privat;3,8;4,2;0,8;0,9
1996;Eigentümer Wohnungsgenossenschaft;3,5;3,6;1;1
1996;Eigentümer Stadt;3;3,1;1;1
1996;Eigentümer privat;5;5,4;1;0,9
1998;Eigentümer Wohnungsgenossenschaft;4,1;4,1;1;0,9
1998;Eigentümer Stadt;3,6;3,7;1;1
1998;Eigentümer privat;5,5;5,7;1,2;0,8
2002;Eigentümer Wohnungsgenossenschaft;4,1;4,1;1,2;1
2002;Eigentümer Stadt;4;4;1,4;0,9
2002;Eigentümer privat;5,4;5,4;1,5;1
2005;Eigentümer Wohnungsgenossenschaft;4,6;4,6;1,1;1
2005;Eigentümer Stadt;4,4;4,4;1,2;0,9
2005;Eigentümer privat;5,4;5,4;1,4;1,1
2007;Eigentümer Wohnungsgenossenschaft;4,6;4,6;1,1;1
2007;Eigentümer Stadt;4,6;4,6;1,2;1
2007;Eigentümer privat;5,4;5,4;1,1;1,1
2010;Eigentümer Wohnungsgenossenschaft;4,8;4,8;1,1;1
2010;Eigentümer Stadt;4,8;4,7;1,2;1
2010;Eigentümer privat;5,6;5,6;1,2;1,1
2012;Eigentümer Wohnungsgenossenschaft;5,1;5;1,1;1,1
2012;Eigentümer Stadt;5,2;5,2;1,3;1,1
2012;Eigentümer privat;5,7;5,7;1,2;1,2
2014;Eigentümer Wohnungsgenossenschaft;5,3;5,3;1;1,1
2014;Eigentümer Stadt;5,3;5,4;1,4;1,1
2014;Eigentümer privat;6;6,1;1,2;1,2
2016;Eigentümer Wohnungsgenossenschaft;5,4;5,4;1,1;1
2016;Eigentümer Stadt;5,5;5,5;1,4;1,2
2016;Eigentümer privat;6,3;6,3;1,1;1,2
2018;Eigentümer Wohnungsgenossenschaft;5,8;5,7;1,1;1,1
2018;Eigentümer Stadt;6;5,9;1,5;1,2
2018;Eigentümer privat;6,8;6,8;1,2;1,2
2020;Eigentümer Wohnungsgenossenschaft;6;6;1,2;1
2020;Eigentümer Stadt;6,4;6,4;1,6;1,2
2020;Eigentümer privat;7,1;7,1;1,2;1,2
2022;Eigentümer Wohnungsgenossenschaft;6,3;0;1,2;1
2022;Eigentümer Stadt;6,8;0;1,7;1,2
2022;Eigentümer privat;7,5;0;1,4;1,2
2024;Eigentümer Wohnungsgenossenschaft;6,7;0;1,4;1,5
2024;Eigentümer Stadt;7,2;0;2;2
2024;Eigentümer privat;8,2;0;1,5;1,5
