Jahr;Stadtraum;Grundmiete;Grundmiete - Whg mit Bad und IWC;Betriebskosten - kalt;Betriebskosten - warm
1995;01 StB Altstadt ohne Johannstadt;2,7;2,8;1;1,2
1995;02 Johannstadt;2,6;2,6;1;1
1995;03 StB Neustadt ohne Leipziger Vorstadt;2,8;3,2;0,8;1,2
1995;04 Leipziger Vorstadt, Pieschen;2,6;3,2;0,7;0,9
1995;05 Mickten, Kaditz, Trachau;2,9;3,3;0,9;1
1995;06 StB Klotzsche und nördliche OS;2,8;2,9;0,8;1
1995;07 StB Loschwitz und OS Schönfeld-Weißig;3;2,9;0,8;0,7
1995;08 Blasewitz, Striesen;2,6;2,8;0,8;0,8
1995;09 Tolkewitz, Seidnitz, Gruna;2,7;2,8;1;1,1
1995;10 StB Leuben;3;3,1;1;1
1995;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);2,7;2,7;1;1
1995;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);3,6;3,5;0,8;1
1995;13 Südvorstadt, Zschertnitz;2,9;2,9;1;1
1995;14 Mockritz, Coschütz, Plauen;3,2;3,2;0,9;0,9
1995;15 Cotta, Löbtau, Naußlitz, Dölzschen;3;3,6;0,8;1,2
1995;16 Gorbitz;2,6;2,6;1,2;1
1995;17 Briesnitz und westliche OS;3,2;3,7;0,9;0,8
1995;18 Dresden gesamt;2,8;2,9;0,9;1
1996;01 StB Altstadt ohne Johannstadt;3,4;3,4;1;1,1
1996;02 Johannstadt;3,6;3,6;1;1
1996;03 StB Neustadt ohne Leipziger Vorstadt;4,4;4,9;1;0,8
1996;04 Leipziger Vorstadt, Pieschen;3,7;4,3;0,8;0,8
1996;05 Mickten, Kaditz, Trachau;3,4;3,8;0,9;1
1996;06 StB Klotzsche und nördliche OS;4,1;4,4;1;1
1996;07 StB Loschwitz und OS Schönfeld-Weißig;4,2;3,7;0,9;1,2
1996;08 Blasewitz, Striesen;4;4,1;1;0,9
1996;09 Tolkewitz, Seidnitz, Gruna;3,8;3,7;1,1;1
1996;10 StB Leuben;4,1;4,2;1,1;0,9
1996;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);3,5;3,5;1,1;1
1996;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);4,4;4,5;1;0,8
1996;13 Südvorstadt, Zschertnitz;4;4;1,1;1
1996;14 Mockritz, Coschütz, Plauen;4;4,2;1;0,9
1996;15 Cotta, Löbtau, Naußlitz, Dölzschen;4,3;5;0,9;0,9
1996;16 Gorbitz;3,5;3,4;1,2;1,1
1996;17 Briesnitz und westliche OS;4;4,3;0,8;0,9
1996;18 Dresden gesamt;3,8;4;1;1
1998;01 StB Altstadt ohne Johannstadt;4,3;4,3;1,1;1,1
1998;02 Johannstadt;4,3;4,4;0,9;0,9
1998;03 StB Neustadt ohne Leipziger Vorstadt;4,8;5;1,1;0,9
1998;04 Leipziger Vorstadt, Pieschen;4,3;4,6;1;0,8
1998;05 Mickten, Kaditz, Trachau;4,6;4,8;1;0,9
1998;06 StB Klotzsche und nördliche OS;4,9;4,9;1;0,9
1998;07 StB Loschwitz und OS Schönfeld-Weißig;5,6;5,9;1,1;0,7
1998;08 Blasewitz, Striesen;5,1;5,3;1,1;0,9
1998;09 Tolkewitz, Seidnitz, Gruna;4,3;4,3;1,1;0,8
1998;10 StB Leuben;4,6;4,7;1,2;0,9
1998;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);4,2;4,2;1,1;0,8
1998;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);5;5;1,1;0,8
1998;13 Südvorstadt, Zschertnitz;4,2;4,3;1;0,8
1998;14 Mockritz, Coschütz, Plauen;4,8;4,8;1,1;0,8
1998;15 Cotta, Löbtau, Naußlitz, Dölzschen;5;5,4;1,1;0,8
1998;16 Gorbitz;4;4;1,1;1
1998;17 Briesnitz und westliche OS;4,5;4,8;1;1
1998;18 Dresden gesamt;4,6;4,7;1,1;0,9
2002;01 StB Altstadt ohne Johannstadt;4,5;4,5;1,6;1,1
2002;02 Johannstadt;4,4;4,5;1,5;0,9
2002;03 StB Neustadt ohne Leipziger Vorstadt;4,9;4,8;1,6;1
2002;04 Leipziger Vorstadt, Pieschen;4,6;4,7;1,6;1
2002;05 Mickten, Kaditz, Trachau;4,9;4,9;1,5;0,9
2002;06 StB Klotzsche und nördliche OS;5;5;1,6;1
2002;07 StB Loschwitz und OS Schönfeld-Weißig;5,2;5,2;1,2;1,1
2002;08 Blasewitz, Striesen;5,4;5,5;1,1;1
2002;09 Tolkewitz, Seidnitz, Gruna;4,8;4,7;1,3;1
2002;10 StB Leuben;4,9;5;1,4;0,9
2002;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);3,9;3,9;1,3;0,9
2002;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);4,8;4,7;1,5;1
2002;13 Südvorstadt, Zschertnitz;4,3;4,3;1,3;0,9
