Jahr;Stadtraum;Heizenergie;Anteil in %
1993;01 StB Altstadt ohne Johannstadt;Kohle;"85,2 "
1993;01 StB Altstadt ohne Johannstadt;Gas;"4,8  "
1993;01 StB Altstadt ohne Johannstadt;Öl;"7,7  "
1993;01 StB Altstadt ohne Johannstadt;Strom;"2,4  "
1993;01 StB Altstadt ohne Johannstadt;sonstige;"0    "
1993;02 Johannstadt;Kohle;"85,1 "
1993;02 Johannstadt;Gas;"6,8  "
1993;02 Johannstadt;Öl;"2,6  "
1993;02 Johannstadt;Strom;"5,5  "
1993;02 Johannstadt;sonstige;"0    "
1993;03 StB Neustadt ohne Leipziger Vorstadt;Kohle;"81,8 "
1993;03 StB Neustadt ohne Leipziger Vorstadt;Gas;"10   "
1993;03 StB Neustadt ohne Leipziger Vorstadt;Öl;"8,2  "
1993;03 StB Neustadt ohne Leipziger Vorstadt;Strom;"0    "
1993;03 StB Neustadt ohne Leipziger Vorstadt;sonstige;"0    "
1993;04 Leipziger Vorstadt, Pieschen;Kohle;"85,9 "
1993;04 Leipziger Vorstadt, Pieschen;Gas;"9,2  "
1993;04 Leipziger Vorstadt, Pieschen;Öl;"4,4  "
1993;04 Leipziger Vorstadt, Pieschen;Strom;"0,5  "
1993;04 Leipziger Vorstadt, Pieschen;sonstige;"0    "
1993;05 Mickten, Kaditz, Trachau;Kohle;"78,1 "
1993;05 Mickten, Kaditz, Trachau;Gas;"12,5 "
1993;05 Mickten, Kaditz, Trachau;Öl;"6    "
1993;05 Mickten, Kaditz, Trachau;Strom;"1,3  "
1993;05 Mickten, Kaditz, Trachau;sonstige;"2,2  "
1993;06 StB Klotzsche und nördliche OS;Kohle;"52,2 "
1993;06 StB Klotzsche und nördliche OS;Gas;"30,8 "
1993;06 StB Klotzsche und nördliche OS;Öl;"14,4 "
1993;06 StB Klotzsche und nördliche OS;Strom;"2,7  "
1993;06 StB Klotzsche und nördliche OS;sonstige;"0    "
1993;07 StB Loschwitz und OS Schönfeld-Weißig;Kohle;"56,2 "
1993;07 StB Loschwitz und OS Schönfeld-Weißig;Gas;"31,2 "
1993;07 StB Loschwitz und OS Schönfeld-Weißig;Öl;"11,6 "
1993;07 StB Loschwitz und OS Schönfeld-Weißig;Strom;"1    "
1993;07 StB Loschwitz und OS Schönfeld-Weißig;sonstige;"0    "
1993;08 Blasewitz, Striesen;Kohle;"77,8 "
1993;08 Blasewitz, Striesen;Gas;"14,5 "
1993;08 Blasewitz, Striesen;Öl;"4,2  "
1993;08 Blasewitz, Striesen;Strom;"3,6  "
1993;08 Blasewitz, Striesen;sonstige;"0    "
1993;09 Tolkewitz, Seidnitz, Gruna;Kohle;"73   "
1993;09 Tolkewitz, Seidnitz, Gruna;Gas;"23,2 "
1993;09 Tolkewitz, Seidnitz, Gruna;Öl;"1    "
1993;09 Tolkewitz, Seidnitz, Gruna;Strom;"0,6  "
1993;09 Tolkewitz, Seidnitz, Gruna;sonstige;"2,2  "
1993;10 StB Leuben;Kohle;"69   "
1993;10 StB Leuben;Gas;"25,4 "
1993;10 StB Leuben;Öl;"4,1  "
1993;10 StB Leuben;Strom;"1,5  "
1993;10 StB Leuben;sonstige;"0    "
1993;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);Kohle;"45,1 "
1993;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);Gas;"38,9 "
1993;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);Öl;"0    "
1993;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);Strom;"16   "
1993;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);sonstige;"0    "
1993;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);Kohle;"56,7 "
1993;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);Gas;"36,7 "
1993;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);Öl;"5,1  "
1993;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);Strom;"0,6  "
1993;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);sonstige;"0,8  "
1993;13 Südvorstadt, Zschertnitz;Kohle;"70,3 "
1993;13 Südvorstadt, Zschertnitz;Gas;"25,8 "
1993;13 Südvorstadt, Zschertnitz;Öl;"1,7  "
1993;13 Südvorstadt, Zschertnitz;Strom;"1,2  "
1993;13 Südvorstadt, Zschertnitz;sonstige;"1    "
1993;14 Mockritz, Coschütz, Plauen;Kohle;"59,2 "
1993;14 Mockritz, Coschütz, Plauen;Gas;"28   "
1993;14 Mockritz, Coschütz, Plauen;Öl;"7,5  "
1993;14 Mockritz, Coschütz, Plauen;Strom;"5,3  "
1993;14 Mockritz, Coschütz, Plauen;sonstige;"0    "
1993;15 Cotta, Löbtau, Naußlitz, Dölzschen;Kohle;"80,5 "
1993;15 Cotta, Löbtau, Naußlitz, Dölzschen;Gas;"12   "
1993;15 Cotta, Löbtau, Naußlitz, Dölzschen;Öl;"6,1  "
1993;15 Cotta, Löbtau, Naußlitz, Dölzschen;Strom;"0,5  "
1993;15 Cotta, Löbtau, Naußlitz, Dölzschen;sonstige;"0,9  "
1993;16 Gorbitz;Kohle;"0    "
1993;16 Gorbitz;Gas;"0    "
1993;16 Gorbitz;Öl;"0    "
1993;16 Gorbitz;Strom;"0    "
1993;16 Gorbitz;sonstige;"0    "
1993;17 Briesnitz und westliche OS;Kohle;"70,8 "
1993;17 Briesnitz und westliche OS;Gas;"22,2 "
1993;17 Briesnitz und westliche OS;Öl;"7    "
1993;17 Briesnitz und westliche OS;Strom;"0    "
1993;17 Briesnitz und westliche OS;sonstige;"0    "
1993;18 Dresden gesamt;Kohle;"72,4 "
1993;18 Dresden gesamt;Gas;"19,4 "
1993;18 Dresden gesamt;Öl;"5,8  "
1993;18 Dresden gesamt;Strom;"1,8  "
1993;18 Dresden gesamt;sonstige;"0,7  "
1995;01 StB Altstadt ohne Johannstadt;Kohle;"54   "
1995;01 StB Altstadt ohne Johannstadt;Gas;"28,5 "
1995;01 StB Altstadt ohne Johannstadt;Öl;"0    "
1995;01 StB Altstadt ohne Johannstadt;Strom;"9,8  "
1995;01 StB Altstadt ohne Johannstadt;sonstige;"7,8  "
1995;02 Johannstadt;Kohle;"74,8 "
1995;02 Johannstadt;Gas;"16   "
1995;02 Johannstadt;Öl;"0    "
1995;02 Johannstadt;Strom;"5    "
1995;02 Johannstadt;sonstige;"4,2  "
