Jahr;Stadtraum;Heizungsart;Anteil in %
1993;01 StB Altstadt ohne Johannstadt;Fernheizung;78,9
1993;01 StB Altstadt ohne Johannstadt;Zentralheizung oder Etagenheizung;0,3
1993;01 StB Altstadt ohne Johannstadt;Einzelraumheizung;20,7
1993;02 Johannstadt;Fernheizung;68,7
1993;02 Johannstadt;Zentralheizung oder Etagenheizung;2,3
1993;02 Johannstadt;Einzelraumheizung;29
1993;03 StB Neustadt ohne Leipziger Vorstadt;Fernheizung;24,1
1993;03 StB Neustadt ohne Leipziger Vorstadt;Zentralheizung oder Etagenheizung;9,5
1993;03 StB Neustadt ohne Leipziger Vorstadt;Einzelraumheizung;66,5
1993;04 Leipziger Vorstadt, Pieschen;Fernheizung;1,2
1993;04 Leipziger Vorstadt, Pieschen;Zentralheizung oder Etagenheizung;15,9
1993;04 Leipziger Vorstadt, Pieschen;Einzelraumheizung;83
1993;05 Mickten, Kaditz, Trachau;Fernheizung;16,3
1993;05 Mickten, Kaditz, Trachau;Zentralheizung oder Etagenheizung;15,2
1993;05 Mickten, Kaditz, Trachau;Einzelraumheizung;68,6
1993;06 StB Klotzsche und nördliche OS;Fernheizung;18,4
1993;06 StB Klotzsche und nördliche OS;Zentralheizung oder Etagenheizung;39,6
1993;06 StB Klotzsche und nördliche OS;Einzelraumheizung;42
1993;07 StB Loschwitz und OS Schönfeld-Weißig;Fernheizung;1
1993;07 StB Loschwitz und OS Schönfeld-Weißig;Zentralheizung oder Etagenheizung;45,4
1993;07 StB Loschwitz und OS Schönfeld-Weißig;Einzelraumheizung;53,5
1993;08 Blasewitz, Striesen;Fernheizung;16,6
1993;08 Blasewitz, Striesen;Zentralheizung oder Etagenheizung;11,8
1993;08 Blasewitz, Striesen;Einzelraumheizung;71,6
1993;09 Tolkewitz, Seidnitz, Gruna;Fernheizung;47,9
1993;09 Tolkewitz, Seidnitz, Gruna;Zentralheizung oder Etagenheizung;7,4
1993;09 Tolkewitz, Seidnitz, Gruna;Einzelraumheizung;44,7
1993;10 StB Leuben;Fernheizung;40
1993;10 StB Leuben;Zentralheizung oder Etagenheizung;15,5
1993;10 StB Leuben;Einzelraumheizung;44,5
1993;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);Fernheizung;86,3
1993;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);Zentralheizung oder Etagenheizung;4,6
1993;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);Einzelraumheizung;9,1
1993;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);Fernheizung;19,6
1993;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);Zentralheizung oder Etagenheizung;34
1993;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);Einzelraumheizung;46,4
1993;13 Südvorstadt, Zschertnitz;Fernheizung;56,7
1993;13 Südvorstadt, Zschertnitz;Zentralheizung oder Etagenheizung;12,5
1993;13 Südvorstadt, Zschertnitz;Einzelraumheizung;30,8
1993;14 Mockritz, Coschütz, Plauen;Fernheizung;28,1
1993;14 Mockritz, Coschütz, Plauen;Zentralheizung oder Etagenheizung;24
1993;14 Mockritz, Coschütz, Plauen;Einzelraumheizung;47,9
1993;15 Cotta, Löbtau, Naußlitz, Dölzschen;Fernheizung;1,6
1993;15 Cotta, Löbtau, Naußlitz, Dölzschen;Zentralheizung oder Etagenheizung;14,9
1993;15 Cotta, Löbtau, Naußlitz, Dölzschen;Einzelraumheizung;83,5
1993;16 Gorbitz;Fernheizung;97,4
1993;16 Gorbitz;Zentralheizung oder Etagenheizung;1,6
1993;16 Gorbitz;Einzelraumheizung;1
1993;17 Briesnitz und westliche OS;Fernheizung;1,5
1993;17 Briesnitz und westliche OS;Zentralheizung oder Etagenheizung;39
1993;17 Briesnitz und westliche OS;Einzelraumheizung;59,6
1993;18 Dresden gesamt;Fernheizung;40,6
1993;18 Dresden gesamt;Zentralheizung oder Etagenheizung;13,7
1993;18 Dresden gesamt;Einzelraumheizung;45,6
1995;01 StB Altstadt ohne Johannstadt;Fernheizung;80,5
1995;01 StB Altstadt ohne Johannstadt;Zentralheizung oder Etagenheizung;7,7
1995;01 StB Altstadt ohne Johannstadt;Einzelraumheizung;11,8
1995;02 Johannstadt;Fernheizung;72,9
1995;02 Johannstadt;Zentralheizung oder Etagenheizung;4,3
1995;02 Johannstadt;Einzelraumheizung;22,8
1995;03 StB Neustadt ohne Leipziger Vorstadt;Fernheizung;32,8
1995;03 StB Neustadt ohne Leipziger Vorstadt;Zentralheizung oder Etagenheizung;18,2
1995;03 StB Neustadt ohne Leipziger Vorstadt;Einzelraumheizung;49,1
1995;04 Leipziger Vorstadt, Pieschen;Fernheizung;3,5
1995;04 Leipziger Vorstadt, Pieschen;Zentralheizung oder Etagenheizung;9,7
1995;04 Leipziger Vorstadt, Pieschen;Einzelraumheizung;86,8
1995;05 Mickten, Kaditz, Trachau;Fernheizung;22,1
1995;05 Mickten, Kaditz, Trachau;Zentralheizung oder Etagenheizung;24,2
1995;05 Mickten, Kaditz, Trachau;Einzelraumheizung;53,7
1995;06 StB Klotzsche und nördliche OS;Fernheizung;28,5
1995;06 StB Klotzsche und nördliche OS;Zentralheizung oder Etagenheizung;35,1
1995;06 StB Klotzsche und nördliche OS;Einzelraumheizung;36,4
1995;07 StB Loschwitz und OS Schönfeld-Weißig;Fernheizung;2,4
1995;07 StB Loschwitz und OS Schönfeld-Weißig;Zentralheizung oder Etagenheizung;66,2
1995;07 StB Loschwitz und OS Schönfeld-Weißig;Einzelraumheizung;31,5
1995;08 Blasewitz, Striesen;Fernheizung;22,5
1995;08 Blasewitz, Striesen;Zentralheizung oder Etagenheizung;21,4
1995;08 Blasewitz, Striesen;Einzelraumheizung;56,1
1995;09 Tolkewitz, Seidnitz, Gruna;Fernheizung;52,1
1995;09 Tolkewitz, Seidnitz, Gruna;Zentralheizung oder Etagenheizung;10,1
1995;09 Tolkewitz, Seidnitz, Gruna;Einzelraumheizung;37,7
1995;10 StB Leuben;Fernheizung;41,5
1995;10 StB Leuben;Zentralheizung oder Etagenheizung;24,9
1995;10 StB Leuben;Einzelraumheizung;33,6
1995;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);Fernheizung;82,6
1995;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);Zentralheizung oder Etagenheizung;9,8
1995;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);Einzelraumheizung;7,7
1995;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);Fernheizung;22,5
1995;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);Zentralheizung oder Etagenheizung;47,8
1995;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);Einzelraumheizung;29,7
1995;13 Südvorstadt, Zschertnitz;Fernheizung;64,9
1995;13 Südvorstadt, Zschertnitz;Zentralheizung oder Etagenheizung;13
1995;13 Südvorstadt, Zschertnitz;Einzelraumheizung;22,1
1995;14 Mockritz, Coschütz, Plauen;Fernheizung;25
1995;14 Mockritz, Coschütz, Plauen;Zentralheizung oder Etagenheizung;41,9
1995;14 Mockritz, Coschütz, Plauen;Einzelraumheizung;33,1
1995;15 Cotta, Löbtau, Naußlitz, Dölzschen;Fernheizung;7,1
1995;15 Cotta, Löbtau, Naußlitz, Dölzschen;Zentralheizung oder Etagenheizung;25,8
1995;15 Cotta, Löbtau, Naußlitz, Dölzschen;Einzelraumheizung;67,1
1995;16 Gorbitz;Fernheizung;96,3
1995;16 Gorbitz;Zentralheizung oder Etagenheizung;3,3
1995;16 Gorbitz;Einzelraumheizung;0,4
1995;17 Briesnitz und westliche OS;Fernheizung;4,1
1995;17 Briesnitz und westliche OS;Zentralheizung oder Etagenheizung;50,6
1995;17 Briesnitz und westliche OS;Einzelraumheizung;45,4
1995;18 Dresden gesamt;Fernheizung;43,2
1995;18 Dresden gesamt;Zentralheizung oder Etagenheizung;20,4
1995;18 Dresden gesamt;Einzelraumheizung;36,3
1996;01 StB Altstadt ohne Johannstadt;Fernheizung;93,4
1996;01 StB Altstadt ohne Johannstadt;Zentralheizung oder Etagenheizung;2,3
1996;01 StB Altstadt ohne Johannstadt;Einzelraumheizung;4,4
1996;02 Johannstadt;Fernheizung;83,7
1996;02 Johannstadt;Zentralheizung oder Etagenheizung;5,9
1996;02 Johannstadt;Einzelraumheizung;10,3
1996;03 StB Neustadt ohne Leipziger Vorstadt;Fernheizung;40,5
1996;03 StB Neustadt ohne Leipziger Vorstadt;Zentralheizung oder Etagenheizung;20,2
1996;03 StB Neustadt ohne Leipziger Vorstadt;Einzelraumheizung;39,2
1996;04 Leipziger Vorstadt, Pieschen;Fernheizung;8,1
1996;04 Leipziger Vorstadt, Pieschen;Zentralheizung oder Etagenheizung;35,2
1996;04 Leipziger Vorstadt, Pieschen;Einzelraumheizung;56,7
1996;05 Mickten, Kaditz, Trachau;Fernheizung;21
1996;05 Mickten, Kaditz, Trachau;Zentralheizung oder Etagenheizung;39,3
1996;05 Mickten, Kaditz, Trachau;Einzelraumheizung;39,7
1996;06 StB Klotzsche und nördliche OS;Fernheizung;37,9
1996;06 StB Klotzsche und nördliche OS;Zentralheizung oder Etagenheizung;50,5
1996;06 StB Klotzsche und nördliche OS;Einzelraumheizung;11,6
1996;07 StB Loschwitz und OS Schönfeld-Weißig;Fernheizung;2,8
1996;07 StB Loschwitz und OS Schönfeld-Weißig;Zentralheizung oder Etagenheizung;63,6
1996;07 StB Loschwitz und OS Schönfeld-Weißig;Einzelraumheizung;33,7
1996;08 Blasewitz, Striesen;Fernheizung;39,4
