Jahr;Stadtraum;Eigentümer des Gebäudes;Anteil in %
1993;01 StB Altstadt ohne Johannstadt;Eigennutzung;0,3
1993;01 StB Altstadt ohne Johannstadt;Eigentümer Wohnungsgenossenschaft;38,9
1993;01 StB Altstadt ohne Johannstadt;Eigentümer Stadt;54,8
1993;01 StB Altstadt ohne Johannstadt;Eigentümer privat;5,9
1993;02 Johannstadt;Eigennutzung;1,1
1993;02 Johannstadt;Eigentümer Wohnungsgenossenschaft;50,2
1993;02 Johannstadt;Eigentümer Stadt;40,4
1993;02 Johannstadt;Eigentümer privat;8,3
1993;03 StB Neustadt ohne Leipziger Vorstadt;Eigennutzung;4
1993;03 StB Neustadt ohne Leipziger Vorstadt;Eigentümer Wohnungsgenossenschaft;7,9
1993;03 StB Neustadt ohne Leipziger Vorstadt;Eigentümer Stadt;59,1
1993;03 StB Neustadt ohne Leipziger Vorstadt;Eigentümer privat;29
1993;04 Leipziger Vorstadt, Pieschen;Eigennutzung;5,1
1993;04 Leipziger Vorstadt, Pieschen;Eigentümer Wohnungsgenossenschaft;18,5
1993;04 Leipziger Vorstadt, Pieschen;Eigentümer Stadt;47,5
1993;04 Leipziger Vorstadt, Pieschen;Eigentümer privat;28,9
1993;05 Mickten, Kaditz, Trachau;Eigennutzung;9,2
1993;05 Mickten, Kaditz, Trachau;Eigentümer Wohnungsgenossenschaft;24,1
1993;05 Mickten, Kaditz, Trachau;Eigentümer Stadt;45,8
1993;05 Mickten, Kaditz, Trachau;Eigentümer privat;20,8
1993;06 StB Klotzsche und nördliche OS;Eigennutzung;33,9
1993;06 StB Klotzsche und nördliche OS;Eigentümer Wohnungsgenossenschaft;36,8
1993;06 StB Klotzsche und nördliche OS;Eigentümer Stadt;16,1
1993;06 StB Klotzsche und nördliche OS;Eigentümer privat;13,2
1993;07 StB Loschwitz und OS Schönfeld-Weißig;Eigennutzung;46,9
1993;07 StB Loschwitz und OS Schönfeld-Weißig;Eigentümer Wohnungsgenossenschaft;2,6
1993;07 StB Loschwitz und OS Schönfeld-Weißig;Eigentümer Stadt;27
1993;07 StB Loschwitz und OS Schönfeld-Weißig;Eigentümer privat;23,4
1993;08 Blasewitz, Striesen;Eigennutzung;2,7
1993;08 Blasewitz, Striesen;Eigentümer Wohnungsgenossenschaft;28,4
1993;08 Blasewitz, Striesen;Eigentümer Stadt;44,9
1993;08 Blasewitz, Striesen;Eigentümer privat;24,1
1993;09 Tolkewitz, Seidnitz, Gruna;Eigennutzung;2,6
1993;09 Tolkewitz, Seidnitz, Gruna;Eigentümer Wohnungsgenossenschaft;48
1993;09 Tolkewitz, Seidnitz, Gruna;Eigentümer Stadt;40,6
1993;09 Tolkewitz, Seidnitz, Gruna;Eigentümer privat;8,8
1993;10 StB Leuben;Eigennutzung;7,7
1993;10 StB Leuben;Eigentümer Wohnungsgenossenschaft;47,4
1993;10 StB Leuben;Eigentümer Stadt;31,3
1993;10 StB Leuben;Eigentümer privat;13,6
1993;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);Eigennutzung;2,1
1993;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);Eigentümer Wohnungsgenossenschaft;45,9
1993;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);Eigentümer Stadt;51,2
1993;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);Eigentümer privat;0,9
1993;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);Eigennutzung;27,1
1993;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);Eigentümer Wohnungsgenossenschaft;23,3
1993;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);Eigentümer Stadt;28,1
1993;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);Eigentümer privat;21,5
1993;13 Südvorstadt, Zschertnitz;Eigennutzung;3,5
1993;13 Südvorstadt, Zschertnitz;Eigentümer Wohnungsgenossenschaft;39,2
1993;13 Südvorstadt, Zschertnitz;Eigentümer Stadt;49
1993;13 Südvorstadt, Zschertnitz;Eigentümer privat;8,3
1993;14 Mockritz, Coschütz, Plauen;Eigennutzung;12,5
1993;14 Mockritz, Coschütz, Plauen;Eigentümer Wohnungsgenossenschaft;35,5
1993;14 Mockritz, Coschütz, Plauen;Eigentümer Stadt;35,1
1993;14 Mockritz, Coschütz, Plauen;Eigentümer privat;16,9
1993;15 Cotta, Löbtau, Naußlitz, Dölzschen;Eigennutzung;10,2
1993;15 Cotta, Löbtau, Naußlitz, Dölzschen;Eigentümer Wohnungsgenossenschaft;21,2
1993;15 Cotta, Löbtau, Naußlitz, Dölzschen;Eigentümer Stadt;46,2
1993;15 Cotta, Löbtau, Naußlitz, Dölzschen;Eigentümer privat;22,3
1993;16 Gorbitz;Eigennutzung;0,4
1993;16 Gorbitz;Eigentümer Wohnungsgenossenschaft;68
1993;16 Gorbitz;Eigentümer Stadt;31,2
1993;16 Gorbitz;Eigentümer privat;0,4
1993;17 Briesnitz und westliche OS;Eigennutzung;32,6
1993;17 Briesnitz und westliche OS;Eigentümer Wohnungsgenossenschaft;24,9
1993;17 Briesnitz und westliche OS;Eigentümer Stadt;29,2
1993;17 Briesnitz und westliche OS;Eigentümer privat;13,3
1993;18 Dresden gesamt;Eigennutzung;8,3
1993;18 Dresden gesamt;Eigentümer Wohnungsgenossenschaft;35,5
1993;18 Dresden gesamt;Eigentümer Stadt;41,8
1993;18 Dresden gesamt;Eigentümer privat;14,5
1995;01 StB Altstadt ohne Johannstadt;Eigennutzung;0
1995;01 StB Altstadt ohne Johannstadt;Eigentümer Wohnungsgenossenschaft;44,6
1995;01 StB Altstadt ohne Johannstadt;Eigentümer Stadt;47,8
1995;01 StB Altstadt ohne Johannstadt;Eigentümer privat;7,6
1995;02 Johannstadt;Eigennutzung;2,5
1995;02 Johannstadt;Eigentümer Wohnungsgenossenschaft;49,9
1995;02 Johannstadt;Eigentümer Stadt;38,6
1995;02 Johannstadt;Eigentümer privat;9
1995;03 StB Neustadt ohne Leipziger Vorstadt;Eigennutzung;4,4
1995;03 StB Neustadt ohne Leipziger Vorstadt;Eigentümer Wohnungsgenossenschaft;11,9
1995;03 StB Neustadt ohne Leipziger Vorstadt;Eigentümer Stadt;29,9
1995;03 StB Neustadt ohne Leipziger Vorstadt;Eigentümer privat;53,8
1995;04 Leipziger Vorstadt, Pieschen;Eigennutzung;5
1995;04 Leipziger Vorstadt, Pieschen;Eigentümer Wohnungsgenossenschaft;23
1995;04 Leipziger Vorstadt, Pieschen;Eigentümer Stadt;31,3
1995;04 Leipziger Vorstadt, Pieschen;Eigentümer privat;40,7
1995;05 Mickten, Kaditz, Trachau;Eigennutzung;10,1
1995;05 Mickten, Kaditz, Trachau;Eigentümer Wohnungsgenossenschaft;23,3
1995;05 Mickten, Kaditz, Trachau;Eigentümer Stadt;40
1995;05 Mickten, Kaditz, Trachau;Eigentümer privat;26,6
1995;06 StB Klotzsche und nördliche OS;Eigennutzung;29,8
1995;06 StB Klotzsche und nördliche OS;Eigentümer Wohnungsgenossenschaft;22,2
1995;06 StB Klotzsche und nördliche OS;Eigentümer Stadt;29,4
1995;06 StB Klotzsche und nördliche OS;Eigentümer privat;18,6
1995;07 StB Loschwitz und OS Schönfeld-Weißig;Eigennutzung;33,4
1995;07 StB Loschwitz und OS Schönfeld-Weißig;Eigentümer Wohnungsgenossenschaft;3,4
1995;07 StB Loschwitz und OS Schönfeld-Weißig;Eigentümer Stadt;13,4
1995;07 StB Loschwitz und OS Schönfeld-Weißig;Eigentümer privat;49,8
1995;08 Blasewitz, Striesen;Eigennutzung;2,2
1995;08 Blasewitz, Striesen;Eigentümer Wohnungsgenossenschaft;27,5
1995;08 Blasewitz, Striesen;Eigentümer Stadt;36,5
1995;08 Blasewitz, Striesen;Eigentümer privat;33,8
1995;09 Tolkewitz, Seidnitz, Gruna;Eigennutzung;3,7
1995;09 Tolkewitz, Seidnitz, Gruna;Eigentümer Wohnungsgenossenschaft;43,3
1995;09 Tolkewitz, Seidnitz, Gruna;Eigentümer Stadt;39,9
1995;09 Tolkewitz, Seidnitz, Gruna;Eigentümer privat;13,1
1995;10 StB Leuben;Eigennutzung;12
1995;10 StB Leuben;Eigentümer Wohnungsgenossenschaft;42,1
1995;10 StB Leuben;Eigentümer Stadt;32,2
1995;10 StB Leuben;Eigentümer privat;13,7
1995;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);Eigennutzung;2,1
1995;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);Eigentümer Wohnungsgenossenschaft;48,4
