Jahr;Stadtraum;Anteil Wohnungen mit Bad;Anteil Wohnungen mit IWC;Anteil Wohnungen mit Balkon o.ä.
1993;01 StB Altstadt ohne Johannstadt;73,7;94,1;61,1
1993;02 Johannstadt;89;95,9;75,5
1993;03 StB Neustadt ohne Leipziger Vorstadt;64,3;64,4;39,9
1993;04 Leipziger Vorstadt, Pieschen;54,5;64,4;22,2
1993;05 Mickten, Kaditz, Trachau;69,3;81,7;46,2
1993;06 StB Klotzsche und nördliche OS;91,7;94;55,7
1993;07 StB Loschwitz und OS Schönfeld-Weißig;83,5;88,9;52,7
1993;08 Blasewitz, Striesen;82,7;85,7;51,9
1993;09 Tolkewitz, Seidnitz, Gruna;90,4;95,2;65
1993;10 StB Leuben;83,6;88,4;58,3
1993;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);93,2;96,8;67,4
1993;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);80;88,9;46,9
1993;13 Südvorstadt, Zschertnitz;88,7;95,6;62
1993;14 Mockritz, Coschütz, Plauen;78,6;84,4;49,6
1993;15 Cotta, Löbtau, Naußlitz, Dölzschen;50,7;63,3;37,6
1993;16 Gorbitz;95,5;96,7;80,6
1993;17 Briesnitz und westliche OS;73,7;73,8;22,1
1993;18 Dresden gesamt;79,6;86,3;55
1995;01 StB Altstadt ohne Johannstadt;85,3;96,9;56,3
1995;02 Johannstadt;90,6;91,8;68,4
1995;03 StB Neustadt ohne Leipziger Vorstadt;71,9;80,3;33,8
1995;04 Leipziger Vorstadt, Pieschen;58,9;66,7;25,6
1995;05 Mickten, Kaditz, Trachau;74,7;86,8;46,2
1995;06 StB Klotzsche und nördliche OS;82,6;86,3;50,7
1995;07 StB Loschwitz und OS Schönfeld-Weißig;76,8;86,3;48,6
1995;08 Blasewitz, Striesen;81,5;83,5;55,3
1995;09 Tolkewitz, Seidnitz, Gruna;89,3;96,3;71,9
1995;10 StB Leuben;89;94,5;58,3
1995;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);98,4;96;62,4
1995;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);79,3;88,3;51,6
1995;13 Südvorstadt, Zschertnitz;93,7;95,7;66,5
1995;14 Mockritz, Coschütz, Plauen;88,1;89,6;56,8
1995;15 Cotta, Löbtau, Naußlitz, Dölzschen;60,6;72,4;37,2
1995;16 Gorbitz;96,4;97,8;78,3
1995;17 Briesnitz und westliche OS;76,3;86,1;22,3
1995;18 Dresden gesamt;82,7;88,5;54,6
1996;01 StB Altstadt ohne Johannstadt;94,4;95,7;72,3
1996;02 Johannstadt;96,4;92,3;63,1
1996;03 StB Neustadt ohne Leipziger Vorstadt;85,5;84,5;40,9
1996;04 Leipziger Vorstadt, Pieschen;72,7;83,3;40,5
1996;05 Mickten, Kaditz, Trachau;80,4;86,4;51,3
1996;06 StB Klotzsche und nördliche OS;94,3;95,4;47,3
1996;07 StB Loschwitz und OS Schönfeld-Weißig;82,5;92,7;54,9
1996;08 Blasewitz, Striesen;94;94,7;66,3
1996;09 Tolkewitz, Seidnitz, Gruna;94,9;95,3;77,5
1996;10 StB Leuben;94,2;95,5;67,1
1996;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);99,2;98,8;64
1996;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);94,6;93,4;62,4
