Jahr;Geschlecht Kinder (KTP);Anzahl Kinder (KTP)
2012;männlich;780
2012;weiblich;797
2013;männlich;873
2013;weiblich;868
2014;männlich;980
2014;weiblich;904
2015;männlich;908
2015;weiblich;838
2016;männlich;870
2016;weiblich;850
2017;männlich;857
2017;weiblich;836
2018;männlich;863
2018;weiblich;838
2019;männlich;856
2019;weiblich;846
2020;männlich;826
2020;weiblich;826
2021;männlich;766
2021;weiblich;761
2022;männlich;714
2022;weiblich;706
2023;männlich;685
2023;weiblich;682
2024;männlich;620
2024;weiblich;571
2025;männlich;530
2025;weiblich;508
2026;männlich;479
2026;weiblich;423
