Jahr;Geschlecht Personal (KTP);Anzahl Personal (KTP)
2012;männlich;19
2012;weiblich;364
2013;männlich;30
2013;weiblich;386
2014;männlich;34
2014;weiblich;427
2015;männlich;27
2015;weiblich;370
2016;männlich;27
2016;weiblich;369
2017;männlich;30
2017;weiblich;363
2018;männlich;29
2018;weiblich;366
2019;männlich;32
2019;weiblich;365
2020;männlich;30
2020;weiblich;367
2021;männlich;32
2021;weiblich;342
2022;männlich;33
2022;weiblich;319
2023;männlich;31
2023;weiblich;303
2024;männlich;27
2024;weiblich;270
2025;männlich;23
2025;weiblich;235
