Jahr;Spielstätten;Leinwände;Besucher;Sitzplätze;Einwohner pro Leinwand;Besucher pro Leinwand;Besucher pro Sitzplatz;Kinobesuche pro Einwohner;Bruttoumsatz in Euro
1991;-;19;845258;-;25820;44487;-;1,7;-
1992;-;15;945968;-;32342;63065;-;2;-
1993;-;23;1184728;7601;20942;51510;156;2,5;-
1994;-;25;1319734;-;19171;52789;103;2,8;-
1995;-;22;1189785;4632;21566;54081;257;2,5;-
1996;-;23;1300371;4176;20396;56538;311;2,8;-
1997;17;39;1828695;8145;11828;46890;225;4;-
1998;17;46;2271376;10874;9983;49378;209;5;-
1999;16;46;2187451;13867;9844;47553;158;4,8;-
2000;15;52;2017983;12541;9167;38807;161;4,2;-
2001;14;51;2348854;12052;9369;46056;195;4,9;-
2002;16;53;2130240;12677;9031;40193;168;4,4;-
2003;16;48;2122379;10660;10005;44216;199;4,4;-
2004;18;50;2150440;10818;9673;43009;199;4,4;-
2005;19;50;1722635;10498;9748;34453;164;3,5;-
2006;20;53;1847648;10755;9343;34861;172;3,7;-
2007;21;54;1614708;10705;9348;29902;151;3,2;9144964
2008;20;58;1677833;12035;8750;28928;139;3,3;9753544
2009;17;54;1931538;10704;9486;35769;180;3,8;12609735
2010;18;55;1686085;10701;9401;30656;158;3,3;11493251
2011;18;55;1668255;10693;9510;30332;156;3,2;11312201
2012;17;54;1797567;10693;9588;33288;168;3,5;12558142
2013;17;54;1751804;10703;9724;32441;164;3,3;12574760
2014;17;54;1664744;10703;9829;30829;156;3,1;12182286
2015;17;54;1841090;10702;9932;34094;172;3,4;14351442
2016;18;55;1636341;10772;9888;29752;152;3;12832838
2017;18;55;1636044;10772;9949;29746;152;3;13225615
2018;16;55;1461690;10631;10019;26576;137;2,6;11690957
2019;16;56;1617186;10684;9904;28878;151;2,9;13130061
2020;16;56;641541;10649;9943;11456;60;1,2;4961410
2021;16;54;533976;10841;10301;9888;49;1;4256672
2022;16;53;1167406;10341;10478;22027;113;2,1;9410268
2023;15;53;1370900;10184;10629;25866;135;2,4;11927919
2024;16;47;1344718;7596;12047;28611;177;2,4;12091101
2025;16;53;1307828;11329;10683;24676;115;2,3;12537142
