Jahr;Kirchengemeinden;Gemeindepfarrer;Kirchenmitglieder;Taufen;Austritte;Aufnahmen, Über-, Rücktritte
1992;41;-;95683;656;3273;91
1993;41;-;93741;591;1787;62
1994;41;-;89728;503;1324;60
1995;42;61;83166;424;3135;57
1996;42;55;80959;505;1353;50
1997;43;53;77851;487;1360;47
1998;43;47;75832;524;1020;59
1999;44;55;79462;580;961;68
2000;42;52;78053;650;822;62
2001;41;52;77666;662;723;91
2002;41;55;76742;695;569;73
2003;41;53;75819;746;610;70
2004;41;53;75611;766;657;94
2005;41;52;76489;723;537;91
2006;30;50;77399;711;508;95
2007;30;47;78261;768;634;87
2008;30;49;78196;876;814;95
2009;30;47;78749;832;726;108
2010;30;48;79233;840;743;88
2011;30;47;79864;877;750;91
2012;30;47;80661;826;720;77
2013;30;47;80993;839;835;81
2014;30;50;80504;735;1640;81
2015;30;47;79521;746;1241;63
2016;30;42;79317;693;1007;77
2017;30;42;78423;620;1107;64
2018;30;43;77341;614;1165;60
2019;30;46;76159;549;1487;76
2020;26;43;74229;292;1126;53
2021;19;42;72089;356;1406;36
2022;18;44;69526;437;1562;33
2023;-;-;67909;-;-;-
2024;-;-;65620;-;-;-
