Jahr;Pfarreien;Pfarrseelsorger;Kirchenmitglieder;Taufen;Austritte
1997;13;16;21059;151;62
1998;13;16;21465;170;62
1999;13;16;20919;194;161
2000;13;16;21642;232;122
2001;13;16;21262;209;107
2002;13;16;22214;204;145
2003;13;16;20901;198;80
2004;13;16;21041;194;112
2005;11;15;21317;209;137
2006;11;15;23142;229;127
2007;11;15;22963;214;95
2008;11;15;23226;262;169
2009;11;13;23334;213;196
2010;11;13;23790;238;254
2011;10;14;25629;196;225
2012;11;14;26388;207;224
2013;11;14;27082;204;303
2014;11;13;27368;203;387
2015;11;14;26439;194;377
2016;11;12;26770;189;343
2017;11;12;26777;204;376
2018;9;10;26822;190;434
2019;9;10;26438;156;544
2020;4;10;26135;114;467
2021;4;10;25556;116;683
2022;4;11;24759;141;883
2023;4;10;24056;137;766
2024;4;9;23470;101;652
